# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.5401609727519
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Co 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.5961384525
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:23:29
# Scan.end_time: 02/21/2022  12:23:52
# Scan.duration: 00:23
# Scan.transient_id: 196829
# Scan.uid: 2fc05f44-a17d-4f80-83d5-fac7434616d7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.570127e-05 -1.606456e-06 -2.722656e-07 -5.627450e-08 -7.428748e-05 -3.228111e-05 -3.617305e-05 -2.550714e-05
 7614.000000 -2.325311e-05 -2.389825e-06 -4.056340e-07 -8.374956e-08 -1.127407e-04 -4.994805e-05 -5.565980e-05 -4.126282e-05
 7619.000000 -2.337773e-05 -2.415899e-06 -4.108037e-07 -8.469393e-08 -1.177814e-04 -5.714353e-05 -5.438453e-05 -4.103125e-05
 7624.000000 -2.342176e-05 -2.434320e-06 -4.147197e-07 -8.536123e-08 -1.125950e-04 -5.849737e-05 -5.025758e-05 -3.705323e-05
 7629.000000 -2.341733e-05 -2.448483e-06 -4.178899e-07 -8.587837e-08 -1.013196e-04 -6.102031e-05 -4.207122e-05 -2.929702e-05
 7634.000000 -2.343439e-05 -2.464471e-06 -4.213775e-07 -8.646262e-08 -1.015903e-04 -5.890800e-05 -4.841846e-05 -3.074051e-05
 7639.000000 -2.349867e-05 -2.485242e-06 -4.256441e-07 -8.723351e-08 -1.125541e-04 -6.330150e-05 -5.930861e-05 -3.035964e-05
 7644.000000 -2.350732e-05 -2.499469e-06 -4.287725e-07 -8.781384e-08 -1.147761e-04 -5.892852e-05 -6.268012e-05 -3.413360e-05
 7649.000000 -2.345343e-05 -2.507672e-06 -4.308317e-07 -8.814105e-08 -1.097189e-04 -5.660065e-05 -6.717522e-05 -2.987630e-05
 7654.000000 -2.345969e-05 -2.522552e-06 -4.339716e-07 -8.875942e-08 -1.102687e-04 -5.966791e-05 -6.161513e-05 -3.394308e-05
 7659.000000 -2.361549e-05 -2.553223e-06 -4.397630e-07 -8.993821e-08 -1.204691e-04 -5.967693e-05 -5.609770e-05 -3.482457e-05
 7664.000000 -2.357648e-05 -2.564002e-06 -4.421897e-07 -9.037910e-08 -1.226754e-04 -5.717273e-05 -4.868445e-05 -3.978878e-05
 7669.000000 -2.352420e-05 -2.572499e-06 -4.442026e-07 -9.076857e-08 -1.216981e-04 -5.956014e-05 -5.522047e-05 -4.554963e-05
 7674.000000 -2.364709e-05 -2.599387e-06 -4.495406e-07 -9.184233e-08 -1.216573e-04 -5.862099e-05 -6.943817e-05 -4.675317e-05
 7679.000000 -2.368838e-05 -2.617851e-06 -4.533086e-07 -9.264729e-08 -1.172005e-04 -5.657582e-05 -6.069797e-05 -4.531597e-05
 7683.000000 -2.368347e-05 -2.628468e-06 -4.553377e-07 -9.315328e-08 -1.097321e-04 -5.353055e-05 -6.268731e-05 -4.118367e-05
 7686.000000 -2.372775e-05 -2.641420e-06 -4.575811e-07 -9.373997e-08 -1.079106e-04 -6.012567e-05 -6.877451e-05 -3.644751e-05
 7688.000000 -2.377299e-05 -2.651982e-06 -4.594558e-07 -9.420556e-08 -1.035155e-04 -7.273495e-05 -6.621172e-05 -4.214151e-05
 7689.000000 -2.373954e-05 -2.651372e-06 -4.592455e-07 -9.418789e-08 -1.034128e-04 -7.684513e-05 -7.201466e-05 -4.522412e-05
 7689.200000 -2.369138e-05 -2.646870e-06 -4.584825e-07 -9.397575e-08 -1.019518e-04 -8.402983e-05 -7.558195e-05 -4.705763e-05
 7689.400000 -2.364221e-05 -2.642248e-06 -4.578700e-07 -9.387323e-08 -1.088758e-04 -7.270629e-05 -7.422887e-05 -4.230077e-05
 7689.600000 -2.366436e-05 -2.645885e-06 -4.582381e-07 -9.397399e-08 -1.106715e-04 -6.892109e-05 -7.616110e-05 -4.431651e-05
 7689.800000 -2.359774e-05 -2.638492e-06 -4.569673e-07 -9.381717e-08 -1.118118e-04 -6.482303e-05 -7.639318e-05 -3.839878e-05
 7690.000000 -2.364054e-05 -2.643729e-06 -4.580469e-07 -9.404913e-08 -1.060682e-04 -6.277858e-05 -7.048840e-05 -3.621732e-05
 7690.200000 -2.363615e-05 -2.643991e-06 -4.580431e-07 -9.408201e-08 -1.064713e-04 -6.868508e-05 -7.559088e-05 -3.400319e-05
 7690.400000 -2.365146e-05 -2.646255e-06 -4.586358e-07 -9.409844e-08 -1.078944e-04 -6.732388e-05 -6.993791e-05 -3.510018e-05
 7690.600000 -2.369746e-05 -2.651275e-06 -4.594366e-07 -9.420255e-08 -1.013941e-04 -6.286718e-05 -5.679953e-05 -3.120785e-05
 7690.800000 -2.371841e-05 -2.654408e-06 -4.599624e-07 -9.430566e-08 -1.011457e-04 -7.037152e-05 -6.320144e-05 -3.164966e-05
 7691.000000 -2.372938e-05 -2.656485e-06 -4.600284e-07 -9.444096e-08 -1.032324e-04 -6.345185e-05 -6.488756e-05 -4.169765e-05
 7691.200000 -2.373846e-05 -2.657968e-06 -4.604381e-07 -9.453194e-08 -1.021663e-04 -7.844629e-05 -5.139778e-05 -3.567757e-05
 7691.400000 -2.372969e-05 -2.657182e-06 -4.603163e-07 -9.459328e-08 -1.062063e-04 -7.961092e-05 -5.860902e-05 -3.176636e-05
 7691.600000 -2.382129e-05 -2.666578e-06 -4.619939e-07 -9.495306e-08 -1.001722e-04 -7.312623e-05 -5.595396e-05 -3.108471e-05
 7691.800000 -2.375726e-05 -2.660119e-06 -4.607649e-07 -9.479204e-08 -1.067576e-04 -7.638351e-05 -6.720416e-05 -3.262866e-05
 7692.000000 -2.380078e-05 -2.665598e-06 -4.617080e-07 -9.504988e-08 -9.969500e-05 -6.927321e-05 -5.295281e-05 -2.992605e-05
 7692.200000 -2.379087e-05 -2.665266e-06 -4.616413e-07 -9.493421e-08 -1.054261e-04 -6.005306e-05 -5.856298e-05 -3.532182e-05
 7692.400000 -2.380120e-05 -2.667015e-06 -4.617619e-07 -9.501710e-08 -1.070335e-04 -6.172006e-05 -5.219390e-05 -3.214600e-05
 7692.600000 -2.381138e-05 -2.668504e-06 -4.620225e-07 -9.513491e-08 -1.096556e-04 -7.975940e-05 -4.251635e-05 -2.871037e-05
 7692.800000 -2.380986e-05 -2.668675e-06 -4.621701e-07 -9.515933e-08 -1.082962e-04 -8.043349e-05 -5.117055e-05 -3.441818e-05
 7693.000000 -2.374940e-05 -2.664290e-06 -4.612461e-07 -9.486957e-08 -1.083504e-04 -8.178237e-05 -4.614654e-05 -3.203279e-05
 7693.200000 -2.371353e-05 -2.661626e-06 -4.608952e-07 -9.480704e-08 -1.024431e-04 -8.254545e-05 -5.079416e-05 -4.122366e-05
 7693.400000 -2.377483e-05 -2.667973e-06 -4.619230e-07 -9.508251e-08 -1.124537e-04 -8.679768e-05 -5.982157e-05 -3.849406e-05
 7693.600000 -2.380447e-05 -2.670846e-06 -4.624391e-07 -9.526292e-08 -1.071179e-04 -8.388853e-05 -6.996744e-05 -3.336516e-05
 7693.800000 -2.379624e-05 -2.670169e-06 -4.623706e-07 -9.525893e-08 -1.032679e-04 -7.749224e-05 -6.872875e-05 -2.923150e-05
 7694.000000 -2.382189e-05 -2.673741e-06 -4.630313e-07 -9.536085e-08 -9.454644e-05 -6.482627e-05 -6.799147e-05 -3.630357e-05
 7694.200000 -2.384805e-05 -2.676975e-06 -4.635574e-07 -9.548141e-08 -9.274129e-05 -6.043513e-05 -7.108188e-05 -4.283872e-05
 7694.400000 -2.385020e-05 -2.677079e-06 -4.637459e-07 -9.547307e-08 -9.511915e-05 -6.184886e-05 -6.332352e-05 -3.419875e-05
 7694.600000 -2.383897e-05 -2.676736e-06 -4.634688e-07 -9.548391e-08 -9.372066e-05 -6.240378e-05 -7.144303e-05 -4.206218e-05
