# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.94093014079453
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Mn 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:24:24
# Scan.end_time: 02/21/2022  12:24:47
# Scan.duration: 00:23
# Scan.transient_id: 196830
# Scan.uid: c5030940-06ea-4b70-a46d-35b8b2c97e29
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.443439e-06 -2.791116e-07 -2.547186e-08 -2.052885e-09 -7.844159e-05 -5.442798e-05 -3.900499e-05 -4.581580e-05
 6444.000000 -1.280025e-05 -4.262540e-07 -3.898695e-08 -3.137537e-09 -1.204450e-04 -8.053572e-05 -5.986198e-05 -7.226527e-05
 6449.000000 -1.291521e-05 -4.341858e-07 -3.986327e-08 -3.198647e-09 -1.216863e-04 -8.744695e-05 -6.071734e-05 -8.326158e-05
 6454.000000 -1.295444e-05 -4.394068e-07 -4.043835e-08 -3.243153e-09 -1.094567e-04 -8.303113e-05 -6.190433e-05 -8.570521e-05
 6459.000000 -1.304170e-05 -4.461621e-07 -4.120759e-08 -3.298429e-09 -1.049342e-04 -8.369161e-05 -6.713829e-05 -7.843361e-05
 6464.000000 -1.308205e-05 -4.517122e-07 -4.190004e-08 -3.346110e-09 -1.027892e-04 -7.896894e-05 -7.085681e-05 -7.266656e-05
 6469.000000 -1.310986e-05 -4.569736e-07 -4.247821e-08 -3.388433e-09 -1.001512e-04 -8.955907e-05 -5.800839e-05 -7.096212e-05
 6474.000000 -1.320229e-05 -4.643986e-07 -4.334833e-08 -3.438717e-09 -9.592494e-05 -1.007856e-04 -5.835636e-05 -7.658678e-05
 6479.000000 -1.325785e-05 -4.699781e-07 -4.405957e-08 -3.494487e-09 -1.000904e-04 -9.261358e-05 -5.637952e-05 -7.559124e-05
 6484.000000 -1.333366e-05 -4.768248e-07 -4.486970e-08 -3.558400e-09 -9.950934e-05 -8.534403e-05 -6.580160e-05 -7.607778e-05
 6489.000000 -1.336933e-05 -4.828661e-07 -4.557653e-08 -3.597124e-09 -9.637273e-05 -8.448296e-05 -6.610908e-05 -7.543580e-05
 6494.000000 -1.340653e-05 -4.883400e-07 -4.621422e-08 -3.647927e-09 -1.039102e-04 -8.534423e-05 -5.407779e-05 -7.192959e-05
 6499.000000 -1.346610e-05 -4.947889e-07 -4.699493e-08 -3.706499e-09 -1.136217e-04 -7.869089e-05 -4.498686e-05 -6.889506e-05
 6504.000000 -1.349738e-05 -5.000537e-07 -4.766709e-08 -3.760830e-09 -1.099010e-04 -8.339999e-05 -5.088008e-05 -7.788428e-05
 6509.000000 -1.351638e-05 -5.050492e-07 -4.829509e-08 -3.815969e-09 -1.106999e-04 -6.846626e-05 -5.059336e-05 -7.269382e-05
 6513.000000 -1.351001e-05 -5.078220e-07 -4.875408e-08 -3.858612e-09 -1.012828e-04 -6.934663e-05 -5.261665e-05 -6.928390e-05
 6516.000000 -1.362127e-05 -5.152707e-07 -4.958395e-08 -3.907731e-09 -1.021065e-04 -6.750137e-05 -5.668489e-05 -7.345552e-05
 6518.000000 -1.372016e-05 -5.207142e-07 -5.011752e-08 -3.955425e-09 -1.104993e-04 -7.876422e-05 -4.683657e-05 -6.697126e-05
 6519.000000 -1.370567e-05 -5.211218e-07 -5.018512e-08 -3.975942e-09 -1.124905e-04 -7.752514e-05 -4.689701e-05 -7.521735e-05
 6519.200000 -1.371990e-05 -5.214169e-07 -5.018567e-08 -3.983154e-09 -1.179934e-04 -7.536836e-05 -4.552282e-05 -8.808209e-05
 6519.400000 -1.370225e-05 -5.212508e-07 -5.026349e-08 -3.977659e-09 -1.145179e-04 -6.967000e-05 -4.160720e-05 -7.768737e-05
 6519.600000 -1.367747e-05 -5.201785e-07 -5.016303e-08 -3.954204e-09 -1.150921e-04 -7.452524e-05 -3.501456e-05 -6.451506e-05
 6519.800000 -1.366057e-05 -5.198756e-07 -5.017930e-08 -3.967565e-09 -1.139991e-04 -7.525067e-05 -2.763631e-05 -5.330984e-05
 6520.000000 -1.366917e-05 -5.200304e-07 -5.020892e-08 -3.961208e-09 -1.184789e-04 -6.192959e-05 -2.896274e-05 -5.238298e-05
 6520.200000 -1.368644e-05 -5.221273e-07 -5.026819e-08 -3.977467e-09 -1.124262e-04 -5.284244e-05 -2.683343e-05 -4.796056e-05
 6520.400000 -1.368678e-05 -5.224051e-07 -5.042492e-08 -3.988676e-09 -1.140070e-04 -6.215890e-05 -2.848030e-05 -4.630580e-05
 6520.600000 -1.369999e-05 -5.228857e-07 -5.045346e-08 -3.978628e-09 -1.135718e-04 -6.179532e-05 -3.756853e-05 -4.624681e-05
 6520.800000 -1.370356e-05 -5.223996e-07 -5.027427e-08 -3.977632e-09 -1.074950e-04 -6.432878e-05 -3.729385e-05 -5.590444e-05
 6521.000000 -1.372536e-05 -5.240979e-07 -5.051224e-08 -3.999847e-09 -1.006755e-04 -7.279379e-05 -3.567690e-05 -4.265590e-05
 6521.200000 -1.370667e-05 -5.233695e-07 -5.050412e-08 -3.982694e-09 -1.019126e-04 -7.901331e-05 -4.359780e-05 -4.609979e-05
