# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.63574450286103
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Mn 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:24:56
# Scan.end_time: 02/21/2022  12:25:22
# Scan.duration: 00:25
# Scan.transient_id: 196831
# Scan.uid: ded773ba-86e3-4495-aba8-023588cead0a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.441900e-06 -2.791204e-07 -2.548208e-08 -2.059683e-09 -8.228003e-05 -4.862056e-05 -2.519380e-05 -1.430076e-05
 6444.000000 -1.281031e-05 -4.266027e-07 -3.906633e-08 -3.150869e-09 -1.289991e-04 -7.784655e-05 -5.001249e-05 -3.174198e-05
 6449.000000 -1.287115e-05 -4.324527e-07 -3.973404e-08 -3.200375e-09 -1.312172e-04 -7.947716e-05 -5.236406e-05 -3.252682e-05
 6454.000000 -1.283281e-05 -4.354750e-07 -4.018093e-08 -3.217030e-09 -1.283160e-04 -7.763510e-05 -5.260105e-05 -2.880473e-05
 6459.000000 -1.299175e-05 -4.449211e-07 -4.121293e-08 -3.299134e-09 -1.291558e-04 -7.667176e-05 -4.662651e-05 -2.149689e-05
 6464.000000 -1.306234e-05 -4.512876e-07 -4.193584e-08 -3.359203e-09 -1.240219e-04 -7.431398e-05 -3.404557e-05 -2.250272e-05
 6469.000000 -1.306972e-05 -4.559932e-07 -4.251513e-08 -3.384566e-09 -1.190303e-04 -7.748855e-05 -2.144879e-05 -1.785098e-05
 6474.000000 -1.317896e-05 -4.635895e-07 -4.338452e-08 -3.446106e-09 -1.181823e-04 -8.153767e-05 -3.284377e-05 -2.484114e-05
 6479.000000 -1.323810e-05 -4.697503e-07 -4.410815e-08 -3.503085e-09 -1.204304e-04 -8.285211e-05 -4.197785e-05 -2.560074e-05
 6484.000000 -1.331641e-05 -4.770281e-07 -4.487054e-08 -3.560048e-09 -1.185757e-04 -8.483025e-05 -3.976098e-05 -2.900297e-05
 6489.000000 -1.336438e-05 -4.830665e-07 -4.561291e-08 -3.613805e-09 -1.179135e-04 -7.628173e-05 -3.178403e-05 -2.347470e-05
 6494.000000 -1.340606e-05 -4.889087e-07 -4.635261e-08 -3.661692e-09 -1.269223e-04 -8.237420e-05 -3.494347e-05 -2.516617e-05
 6499.000000 -1.347237e-05 -4.957735e-07 -4.716438e-08 -3.727418e-09 -1.266203e-04 -8.430466e-05 -4.049097e-05 -2.653290e-05
 6504.000000 -1.353457e-05 -5.019253e-07 -4.789931e-08 -3.783698e-09 -1.205412e-04 -8.204483e-05 -3.891620e-05 -3.332783e-05
 6509.000000 -1.355456e-05 -5.070984e-07 -4.857354e-08 -3.841376e-09 -1.176197e-04 -7.122813e-05 -3.337426e-05 -3.357436e-05
 6513.000000 -1.350094e-05 -5.090628e-07 -4.893668e-08 -3.869629e-09 -1.217995e-04 -7.260456e-05 -3.533632e-05 -2.461046e-05
 6516.000000 -1.362116e-05 -5.168586e-07 -4.978052e-08 -3.926395e-09 -1.192105e-04 -7.736039e-05 -3.700964e-05 -2.209947e-05
 6518.000000 -1.363910e-05 -5.193786e-07 -5.019919e-08 -3.949867e-09 -1.160236e-04 -8.254554e-05 -3.497373e-05 -2.117075e-05
 6519.000000 -1.363257e-05 -5.200251e-07 -5.032686e-08 -3.961160e-09 -1.148757e-04 -7.881799e-05 -3.671530e-05 -2.862670e-05
 6519.200000 -1.359144e-05 -5.190068e-07 -5.019443e-08 -3.948129e-09 -1.152938e-04 -8.180034e-05 -3.723888e-05 -2.205153e-05
 6519.400000 -1.358897e-05 -5.184161e-07 -5.007553e-08 -3.942348e-09 -1.225881e-04 -8.777147e-05 -5.101721e-05 -2.217677e-05
 6519.600000 -1.354562e-05 -5.164053e-07 -4.993576e-08 -3.942423e-09 -1.187982e-04 -8.519288e-05 -3.260995e-05 -1.492497e-05
 6519.800000 -1.357954e-05 -5.181965e-07 -5.022916e-08 -3.952416e-09 -1.214361e-04 -8.538975e-05 -4.218099e-05 -1.570553e-05
 6520.000000 -1.357486e-05 -5.181158e-07 -5.010808e-08 -3.953182e-09 -1.197370e-04 -8.493093e-05 -3.831023e-05 -1.216625e-05
 6520.200000 -1.359600e-05 -5.195769e-07 -5.036713e-08 -3.947295e-09 -1.189676e-04 -8.069323e-05 -3.331205e-05 -2.242439e-05
 6520.400000 -1.363272e-05 -5.207787e-07 -5.040775e-08 -3.959035e-09 -1.299869e-04 -7.688346e-05 -4.632562e-05 -2.661260e-05
 6520.600000 -1.363619e-05 -5.211544e-07 -5.043375e-08 -3.974250e-09 -1.267063e-04 -7.908385e-05 -4.570985e-05 -1.595934e-05
 6520.800000 -1.364893e-05 -5.212141e-07 -5.041516e-08 -3.996652e-09 -1.226531e-04 -8.351041e-05 -3.237859e-05 -1.546077e-05
 6521.000000 -1.365152e-05 -5.224077e-07 -5.048383e-08 -3.983822e-09 -1.210132e-04 -9.304659e-05 -2.816088e-05 -8.293235e-06
 6521.200000 -1.366191e-05 -5.230227e-07 -5.052206e-08 -3.998689e-09 -1.195801e-04 -9.526077e-05 -3.605934e-05 -1.182982e-05
 6521.400000 -1.367395e-05 -5.236181e-07 -5.068276e-08 -3.994203e-09 -1.251660e-04 -9.047629e-05 -4.618088e-05 -2.446917e-06
 6521.600000 -1.364593e-05 -5.226556e-07 -5.048210e-08 -3.987032e-09 -1.276852e-04 -8.255057e-05 -5.043421e-05 -9.561860e-06
 6521.800000 -1.364884e-05 -5.229712e-07 -5.051505e-08 -3.988093e-09 -1.314724e-04 -8.263109e-05 -5.253569e-05 -1.584765e-05
