# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.85873443774966
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Mn 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:25:31
# Scan.end_time: 02/21/2022  12:25:56
# Scan.duration: 00:24
# Scan.transient_id: 196832
# Scan.uid: 79d3e03c-9e40-45b5-b7e2-151e5328d59a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.438752e-06 -2.787805e-07 -2.543992e-08 -2.067254e-09 -8.031873e-05 -6.189914e-05 -2.800938e-05 -3.175473e-05
 6444.000000 -1.281496e-05 -4.265942e-07 -3.903929e-08 -3.160120e-09 -1.279916e-04 -9.208128e-05 -3.761706e-05 -5.016836e-05
 6449.000000 -1.287705e-05 -4.324679e-07 -3.973973e-08 -3.212661e-09 -1.234201e-04 -8.418320e-05 -4.084218e-05 -4.553033e-05
 6454.000000 -1.288839e-05 -4.365104e-07 -4.026413e-08 -3.250739e-09 -1.174869e-04 -7.517187e-05 -4.257255e-05 -3.368200e-05
 6459.000000 -1.299404e-05 -4.440148e-07 -4.111767e-08 -3.307820e-09 -1.110827e-04 -8.767087e-05 -4.954640e-05 -4.084334e-05
 6464.000000 -1.309988e-05 -4.524822e-07 -4.194915e-08 -3.371320e-09 -1.136131e-04 -9.854368e-05 -4.445284e-05 -4.200209e-05
 6469.000000 -1.314340e-05 -4.577831e-07 -4.261788e-08 -3.416083e-09 -1.114332e-04 -9.203359e-05 -4.402629e-05 -3.834660e-05
 6474.000000 -1.319711e-05 -4.635161e-07 -4.330858e-08 -3.464681e-09 -1.074113e-04 -1.043656e-04 -4.248040e-05 -3.482193e-05
 6479.000000 -1.323711e-05 -4.687755e-07 -4.392434e-08 -3.510582e-09 -1.110043e-04 -1.066998e-04 -4.631605e-05 -3.534341e-05
 6484.000000 -1.336576e-05 -4.774947e-07 -4.485131e-08 -3.592617e-09 -1.104285e-04 -1.049553e-04 -4.399559e-05 -3.772134e-05
 6489.000000 -1.338165e-05 -4.822008e-07 -4.541369e-08 -3.634511e-09 -1.091466e-04 -1.075460e-04 -5.766536e-05 -4.198557e-05
 6494.000000 -1.338730e-05 -4.871671e-07 -4.604837e-08 -3.667431e-09 -1.149364e-04 -1.101836e-04 -6.248906e-05 -4.581062e-05
 6499.000000 -1.345529e-05 -4.937764e-07 -4.683927e-08 -3.729322e-09 -1.122771e-04 -1.037372e-04 -6.199252e-05 -4.635042e-05
 6504.000000 -1.353614e-05 -5.011246e-07 -4.765930e-08 -3.794156e-09 -1.064508e-04 -9.581749e-05 -5.821532e-05 -4.569396e-05
 6509.000000 -1.357511e-05 -5.063337e-07 -4.835292e-08 -3.856174e-09 -1.125103e-04 -1.106997e-04 -4.515842e-05 -4.243742e-05
 6513.000000 -1.359171e-05 -5.105480e-07 -4.888321e-08 -3.911567e-09 -1.215392e-04 -1.060145e-04 -4.537239e-05 -3.250752e-05
 6516.000000 -1.375454e-05 -5.193878e-07 -4.984261e-08 -3.974233e-09 -1.244481e-04 -1.092754e-04 -4.698676e-05 -3.112577e-05
 6518.000000 -1.371261e-05 -5.200735e-07 -4.997304e-08 -3.983671e-09 -1.166496e-04 -1.047996e-04 -5.878440e-05 -3.151750e-05
 6519.000000 -1.374022e-05 -5.218324e-07 -5.017019e-08 -4.007232e-09 -1.039073e-04 -1.004929e-04 -4.690390e-05 -2.830961e-05
