# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.5100495041279
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Mn 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.5961003055
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:26:05
# Scan.end_time: 02/21/2022  12:26:29
# Scan.duration: 00:24
# Scan.transient_id: 196833
# Scan.uid: 96ac045b-cf4d-418c-a5ad-7a56dd45c010
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.384416e-06 -2.780042e-07 -2.542395e-08 -2.054039e-09 -9.675811e-05 -4.494184e-05 -3.081760e-05 -2.486112e-05
 6444.000000 -1.275617e-05 -4.259145e-07 -3.901665e-08 -3.154393e-09 -1.429267e-04 -7.246821e-05 -4.319226e-05 -4.394084e-05
 6449.000000 -1.286059e-05 -4.331743e-07 -3.984372e-08 -3.212745e-09 -1.361021e-04 -6.851506e-05 -4.075642e-05 -4.530388e-05
 6454.000000 -1.287905e-05 -4.376713e-07 -4.042995e-08 -3.257261e-09 -1.340497e-04 -6.491713e-05 -3.450063e-05 -4.658865e-05
 6459.000000 -1.297210e-05 -4.444005e-07 -4.116657e-08 -3.307215e-09 -1.341828e-04 -5.150609e-05 -4.492342e-05 -4.085315e-05
 6464.000000 -1.306706e-05 -4.515938e-07 -4.193577e-08 -3.371374e-09 -1.371471e-04 -5.279166e-05 -4.589844e-05 -5.027244e-05
 6469.000000 -1.311038e-05 -4.569429e-07 -4.259130e-08 -3.412024e-09 -1.364362e-04 -6.384066e-05 -4.477763e-05 -5.340482e-05
 6474.000000 -1.320344e-05 -4.642571e-07 -4.338253e-08 -3.474533e-09 -1.356215e-04 -6.897415e-05 -3.520112e-05 -4.654233e-05
 6479.000000 -1.328506e-05 -4.712175e-07 -4.416530e-08 -3.525766e-09 -1.365630e-04 -7.069174e-05 -3.117819e-05 -4.770730e-05
 6484.000000 -1.333976e-05 -4.769411e-07 -4.484935e-08 -3.581436e-09 -1.364046e-04 -6.799550e-05 -3.707142e-05 -4.969339e-05
 6489.000000 -1.338779e-05 -4.826160e-07 -4.550517e-08 -3.642103e-09 -1.341564e-04 -6.754393e-05 -3.695233e-05 -5.520260e-05
 6494.000000 -1.345443e-05 -4.894037e-07 -4.629651e-08 -3.696395e-09 -1.289859e-04 -6.872125e-05 -3.780223e-05 -5.839970e-05
 6499.000000 -1.350586e-05 -4.955067e-07 -4.703005e-08 -3.749474e-09 -1.339478e-04 -6.390754e-05 -5.793264e-05 -5.491376e-05
 6504.000000 -1.354682e-05 -5.015453e-07 -4.778403e-08 -3.805392e-09 -1.355351e-04 -7.690109e-05 -5.301359e-05 -4.716878e-05
 6509.000000 -1.353189e-05 -5.054899e-07 -4.833107e-08 -3.850058e-09 -1.429078e-04 -8.322934e-05 -5.542116e-05 -3.703019e-05
 6513.000000 -1.352617e-05 -5.088390e-07 -4.876722e-08 -3.901135e-09 -1.384913e-04 -8.048712e-05 -5.329106e-05 -2.931668e-05
 6516.000000 -1.368043e-05 -5.173390e-07 -4.969926e-08 -3.959255e-09 -1.368334e-04 -8.317320e-05 -5.016281e-05 -2.089118e-05
 6518.000000 -1.370844e-05 -5.200349e-07 -5.002255e-08 -3.989263e-09 -1.368569e-04 -8.466837e-05 -4.959078e-05 -2.563359e-05
 6519.000000 -1.372765e-05 -5.211896e-07 -5.013585e-08 -4.000978e-09 -1.341379e-04 -8.027933e-05 -3.875681e-05 -3.211138e-05
 6519.200000 -1.374609e-05 -5.223929e-07 -5.020714e-08 -4.013144e-09 -1.347570e-04 -7.818918e-05 -4.139573e-05 -2.305693e-05
 6519.400000 -1.372980e-05 -5.219255e-07 -5.018896e-08 -3.992978e-09 -1.373238e-04 -9.116383e-05 -3.353477e-05 -2.790379e-05
 6519.600000 -1.368951e-05 -5.205285e-07 -5.004936e-08 -3.980440e-09 -1.336660e-04 -9.792334e-05 -3.690373e-05 -2.631733e-05
 6519.800000 -1.373037e-05 -5.215929e-07 -5.015942e-08 -3.983759e-09 -1.261528e-04 -9.491753e-05 -3.886698e-05 -3.597418e-05
 6520.000000 -1.371869e-05 -5.219426e-07 -5.026291e-08 -4.012346e-09 -1.266413e-04 -9.441872e-05 -4.265496e-05 -4.102523e-05
 6520.200000 -1.373465e-05 -5.228004e-07 -5.038293e-08 -4.023184e-09 -1.229797e-04 -9.316944e-05 -5.392175e-05 -4.936763e-05
 6520.400000 -1.375363e-05 -5.235815e-07 -5.042418e-08 -4.027428e-09 -1.235722e-04 -9.344567e-05 -5.452194e-05 -4.429251e-05
 6520.600000 -1.373767e-05 -5.232635e-07 -5.033066e-08 -4.010204e-09 -1.228929e-04 -1.011201e-04 -3.244952e-05 -3.309176e-05
 6520.800000 -1.372538e-05 -5.235832e-07 -5.047076e-08 -4.011876e-09 -1.192945e-04 -8.958411e-05 -5.101330e-05 -3.619173e-05
 6521.000000 -1.374015e-05 -5.233745e-07 -5.045838e-08 -4.030897e-09 -1.211819e-04 -8.159568e-05 -3.480772e-05 -2.008364e-05
 6521.200000 -1.370097e-05 -5.222535e-07 -5.040301e-08 -4.028131e-09 -1.191726e-04 -7.974765e-05 -3.623527e-05 -2.958110e-05
 6521.400000 -1.369971e-05 -5.234578e-07 -5.043058e-08 -4.002408e-09 -1.235224e-04 -8.000466e-05 -4.318829e-05 -3.421058e-05
 6521.600000 -1.367001e-05 -5.221523e-07 -5.041224e-08 -4.029883e-09 -1.280090e-04 -8.496284e-05 -4.115752e-05 -3.444894e-05
 6521.800000 -1.362295e-05 -5.205526e-07 -5.024502e-08 -4.027043e-09 -1.166188e-04 -9.539071e-05 -3.079939e-05 -2.832131e-05
 6522.000000 -1.365164e-05 -5.223453e-07 -5.037854e-08 -4.025636e-09 -1.120791e-04 -8.302096e-05 -4.639040e-05 -3.713282e-05
 6522.200000 -1.367855e-05 -5.236798e-07 -5.052586e-08 -4.013517e-09 -1.176534e-04 -6.855727e-05 -4.327566e-05 -3.024321e-05
 6522.400000 -1.368542e-05 -5.237693e-07 -5.058941e-08 -4.040204e-09 -1.176722e-04 -7.189554e-05 -4.875913e-05 -3.102554e-05
 6522.600000 -1.368896e-05 -5.242877e-07 -5.065225e-08 -4.049517e-09 -1.142396e-04 -8.180053e-05 -4.595152e-05 -2.922855e-05
 6522.800000 -1.371338e-05 -5.245351e-07 -5.068426e-08 -4.065730e-09 -1.223805e-04 -7.776922e-05 -3.991473e-05 -3.550127e-05
 6523.000000 -1.372094e-05 -5.252756e-07 -5.077266e-08 -4.030458e-09 -1.273566e-04 -8.050099e-05 -6.187550e-05 -3.538395e-05
 6523.200000 -1.373700e-05 -5.261390e-07 -5.094404e-08 -4.050154e-09 -1.338149e-04 -8.452825e-05 -5.855743e-05 -2.951847e-05
 6523.400000 -1.375106e-05 -5.264091e-07 -5.087884e-08 -4.063598e-09 -1.278442e-04 -7.810891e-05 -4.250475e-05 -3.305121e-05
 6523.600000 -1.375942e-05 -5.266577e-07 -5.104296e-08 -4.067004e-09 -1.326847e-04 -9.395682e-05 -4.213695e-05 -3.279008e-05
 6523.800000 -1.373363e-05 -5.252460e-07 -5.090030e-08 -4.071928e-09 -1.383985e-04 -1.026757e-04 -6.240062e-05 -4.104897e-05
 6524.000000 -1.374126e-05 -5.258992e-07 -5.085220e-08 -4.078604e-09 -1.392414e-04 -8.741644e-05 -6.156694e-05 -3.619583e-05
 6524.200000 -1.375849e-05 -5.268511e-07 -5.098249e-08 -4.065968e-09 -1.378811e-04 -9.763381e-05 -5.046749e-05 -3.151255e-05
 6524.400000 -1.376770e-05 -5.278763e-07 -5.111084e-08 -4.078385e-09 -1.383106e-04 -9.918192e-05 -5.503548e-05 -3.198334e-05
 6524.600000 -1.378440e-05 -5.287941e-07 -5.118431e-08 -4.076769e-09 -1.404932e-04 -9.781202e-05 -5.492271e-05 -3.652962e-05
 6524.800000 -1.377533e-05 -5.284162e-07 -5.118946e-08 -4.087770e-09 -1.345761e-04 -9.473218e-05 -6.516495e-05 -3.143455e-05
 6525.000000 -1.372926e-05 -5.258830e-07 -5.087973e-08 -4.068250e-09 -1.333083e-04 -8.626301e-05 -4.476113e-05 -1.892574e-05
 6525.200000 -1.376919e-05 -5.281477e-07 -5.114491e-08 -4.074750e-09 -1.326160e-04 -8.785345e-05 -5.327711e-05 -2.811529e-05
 6525.400000 -1.375276e-05 -5.278708e-07 -5.115174e-08 -4.074739e-09 -1.229570e-04 -8.561325e-05 -6.072196e-05 -3.255795e-05
 6525.600000 -1.378064e-05 -5.295530e-07 -5.117433e-08 -4.099137e-09 -1.310479e-04 -9.322925e-05 -6.067734e-05 -3.968254e-05
 6525.800000 -1.372126e-05 -5.272952e-07 -5.103693e-08 -4.075987e-09 -1.338922e-04 -9.159884e-05 -6.881294e-05 -3.503776e-05
 6526.000000 -1.370162e-05 -5.262758e-07 -5.103000e-08 -4.079032e-09 -1.347045e-04 -9.321736e-05 -5.248812e-05 -3.293326e-05
 6526.200000 -1.367735e-05 -5.265061e-07 -5.090859e-08 -4.065169e-09 -1.334970e-04 -9.008314e-05 -4.984950e-05 -3.028094e-05
 6526.400000 -1.370000e-05 -5.274555e-07 -5.106237e-08 -4.090940e-09 -1.328838e-04 -8.726004e-05 -5.862583e-05 -3.428951e-05
 6526.600000 -1.369951e-05 -5.269955e-07 -5.101910e-08 -4.076998e-09 -1.369979e-04 -8.666240e-05 -6.021761e-05 -3.539025e-05
 6526.800000 -1.369805e-05 -5.269883e-07 -5.096589e-08 -4.088423e-09 -1.435439e-04 -8.886644e-05 -5.630840e-05 -3.609350e-05
 6527.000000 -1.364264e-05 -5.254404e-07 -5.084287e-08 -4.064849e-09 -1.440962e-04 -9.015119e-05 -5.075320e-05 -3.334143e-05
 6527.200000 -1.356450e-05 -5.228056e-07 -5.063162e-08 -4.055992e-09 -1.504288e-04 -9.589728e-05 -5.044314e-05 -3.777722e-05
 6527.400000 -1.361568e-05 -5.248790e-07 -5.086629e-08 -4.072649e-09 -1.538444e-04 -9.034228e-05 -4.663010e-05 -3.933726e-05
 6527.600000 -1.365198e-05 -5.266563e-07 -5.101208e-08 -4.052125e-09 -1.538168e-04 -9.044441e-05 -4.683846e-05 -3.053080e-05
 6527.800000 -1.365288e-05 -5.270896e-07 -5.100490e-08 -4.076576e-09 -1.508648e-04 -8.736675e-05 -5.252009e-05 -3.306595e-05
 6528.000000 -1.369330e-05 -5.288716e-07 -5.139102e-08 -4.101038e-09 -1.406874e-04 -8.929228e-05 -4.651364e-05 -4.134067e-05
 6528.200000 -1.369966e-05 -5.297312e-07 -5.133030e-08 -4.109262e-09 -1.340886e-04 -9.683920e-05 -3.686758e-05 -3.719727e-05
 6528.400000 -1.369846e-05 -5.296083e-07 -5.125533e-08 -4.099025e-09 -1.383299e-04 -9.116172e-05 -4.441076e-05 -2.845520e-05
 6528.600000 -1.370862e-05 -5.288398e-07 -5.130854e-08 -4.094244e-09 -1.408158e-04 -9.540910e-05 -4.905855e-05 -3.062548e-05
 6528.800000 -1.374884e-05 -5.313084e-07 -5.153951e-08 -4.116741e-09 -1.478187e-04 -8.596980e-05 -5.074223e-05 -3.031551e-05
 6529.000000 -1.374950e-05 -5.306371e-07 -5.142202e-08 -4.106077e-09 -1.504442e-04 -8.793421e-05 -4.444080e-05 -3.621415e-05
 6529.200000 -1.381077e-05 -5.330366e-07 -5.163996e-08 -4.154550e-09 -1.436626e-04 -8.095943e-05 -5.625904e-05 -4.134528e-05
 6529.400000 -1.377943e-05 -5.330297e-07 -5.176194e-08 -4.136904e-09 -1.498382e-04 -8.739286e-05 -4.913431e-05 -3.947825e-05
 6529.600000 -1.382202e-05 -5.339791e-07 -5.186536e-08 -4.158989e-09 -1.469021e-04 -9.387897e-05 -5.484338e-05 -3.880462e-05
 6529.800000 -1.381008e-05 -5.339150e-07 -5.190982e-08 -4.163782e-09 -1.440348e-04 -8.437194e-05 -4.777771e-05 -3.617013e-05
 6530.000000 -1.381934e-05 -5.349071e-07 -5.197483e-08 -4.184395e-09 -1.532364e-04 -8.536530e-05 -2.136016e-05 -3.527200e-05
 6530.200000 -1.381253e-05 -5.346013e-07 -5.198403e-08 -4.181387e-09 -1.519861e-04 -8.731586e-05 -2.699550e-05 -3.517010e-05
 6530.400000 -1.380751e-05 -5.347447e-07 -5.193366e-08 -4.184199e-09 -1.496331e-04 -8.703482e-05 -3.485003e-05 -3.296613e-05
 6530.600000 -1.377831e-05 -5.343520e-07 -5.195676e-08 -4.175358e-09 -1.484391e-04 -8.185532e-05 -3.028652e-05 -3.745197e-05
 6530.800000 -1.376134e-05 -5.339754e-07 -5.202866e-08 -4.152927e-09 -1.477909e-04 -9.178833e-05 -3.422262e-05 -4.216639e-05
 6531.000000 -1.376834e-05 -5.346476e-07 -5.200091e-08 -4.161123e-09 -1.542110e-04 -9.987613e-05 -4.350546e-05 -5.124262e-05
 6531.200000 -1.378174e-05 -5.357989e-07 -5.216708e-08 -4.194159e-09 -1.455649e-04 -9.758779e-05 -4.964933e-05 -4.528459e-05
 6531.400000 -1.376770e-05 -5.350273e-07 -5.201023e-08 -4.185410e-09 -1.432552e-04 -8.682405e-05 -4.248484e-05 -3.077178e-05
 6531.600000 -1.377477e-05 -5.350527e-07 -5.208193e-08 -4.208997e-09 -1.385129e-04 -7.870669e-05 -4.043777e-05 -3.343437e-05
 6531.800000 -1.377020e-05 -5.357797e-07 -5.236495e-08 -4.201172e-09 -1.326191e-04 -7.801494e-05 -3.268279e-05 -3.561681e-05
 6532.000000 -1.376915e-05 -5.353907e-07 -5.214704e-08 -4.185302e-09 -1.326853e-04 -7.545017e-05 -3.459909e-05 -4.530418e-05
 6532.200000 -1.376289e-05 -5.349471e-07 -5.221903e-08 -4.187664e-09 -1.387700e-04 -7.335075e-05 -3.240089e-05 -3.467263e-05
 6532.400000 -1.375946e-05 -5.351892e-07 -5.225911e-08 -4.188696e-09 -1.395388e-04 -8.317479e-05 -4.456151e-05 -3.701873e-05
 6532.600000 -1.374565e-05 -5.350492e-07 -5.210235e-08 -4.189963e-09 -1.428482e-04 -8.314870e-05 -3.870929e-05 -4.348787e-05
 6532.800000 -1.374375e-05 -5.343359e-07 -5.217438e-08 -4.199987e-09 -1.453988e-04 -8.494735e-05 -3.590213e-05 -4.836920e-05
 6533.000000 -1.375018e-05 -5.351430e-07 -5.230306e-08 -4.197525e-09 -1.460749e-04 -7.847343e-05 -4.235156e-05 -5.367199e-05
 6533.200000 -1.373837e-05 -5.348133e-07 -5.223897e-08 -4.192045e-09 -1.432130e-04 -8.296318e-05 -3.318853e-05 -4.562447e-05
 6533.400000 -1.374580e-05 -5.355613e-07 -5.239187e-08 -4.200117e-09 -1.379104e-04 -8.299933e-05 -3.298492e-05 -3.916342e-05
 6533.600000 -1.372113e-05 -5.341052e-07 -5.235452e-08 -4.203624e-09 -1.314896e-04 -8.429401e-05 -2.906763e-05 -2.846448e-05
 6533.800000 -1.372121e-05 -5.347779e-07 -5.234160e-08 -4.193752e-09 -1.329150e-04 -8.061474e-05 -4.007051e-05 -3.216559e-05
 6534.000000 -1.370150e-05 -5.351216e-07 -5.230247e-08 -4.192464e-09 -1.287158e-04 -8.272422e-05 -2.402715e-05 -2.734496e-05
 6534.200000 -1.371806e-05 -5.352246e-07 -5.235097e-08 -4.208243e-09 -1.401671e-04 -8.511366e-05 -3.223418e-05 -2.780607e-05
 6534.400000 -1.371842e-05 -5.347892e-07 -5.237755e-08 -4.202696e-09 -1.405214e-04 -9.235197e-05 -3.804592e-05 -2.440421e-05
 6534.600000 -1.364544e-05 -5.321285e-07 -5.212303e-08 -4.199816e-09 -1.315388e-04 -9.108145e-05 -3.825859e-05 -2.182319e-05
 6534.800000 -1.365524e-05 -5.327661e-07 -5.228103e-08 -4.204205e-09 -1.349450e-04 -8.135788e-05 -3.388622e-05 -2.927889e-05
 6535.000000 -1.366620e-05 -5.339774e-07 -5.239295e-08 -4.195820e-09 -1.358754e-04 -7.481497e-05 -3.798659e-05 -3.629564e-05
 6535.200000 -1.366473e-05 -5.339739e-07 -5.242779e-08 -4.216850e-09 -1.351798e-04 -7.152207e-05 -4.032091e-05 -3.948366e-05
 6535.400000 -1.363290e-05 -5.328382e-07 -5.222613e-08 -4.208843e-09 -1.411020e-04 -6.591666e-05 -3.756761e-05 -3.566857e-05
 6535.600000 -1.369434e-05 -5.341109e-07 -5.239788e-08 -4.258294e-09 -1.348320e-04 -6.366565e-05 -5.018561e-05 -4.352306e-05
 6535.800000 -1.370731e-05 -5.362597e-07 -5.256231e-08 -4.271102e-09 -1.424783e-04 -6.280924e-05 -5.339829e-05 -4.885753e-05
 6536.000000 -1.369114e-05 -5.354449e-07 -5.247324e-08 -4.257011e-09 -1.392212e-04 -6.013169e-05 -5.859882e-05 -4.428676e-05
 6536.200000 -1.367581e-05 -5.350255e-07 -5.259625e-08 -4.251270e-09 -1.399045e-04 -5.993882e-05 -5.078392e-05 -4.226096e-05
 6536.400000 -1.366337e-05 -5.346118e-07 -5.250873e-08 -4.281636e-09 -1.366222e-04 -6.523752e-05 -5.743963e-05 -4.517238e-05
 6536.600000 -1.365384e-05 -5.339745e-07 -5.233057e-08 -4.278785e-09 -1.433907e-04 -7.179508e-05 -4.460336e-05 -3.260136e-05
 6536.800000 -1.365671e-05 -5.342591e-07 -5.252010e-08 -4.283679e-09 -1.489943e-04 -7.194998e-05 -5.684433e-05 -4.973863e-05
 6537.000000 -1.365002e-05 -5.340175e-07 -5.256935e-08 -4.295330e-09 -1.486607e-04 -6.752909e-05 -5.045468e-05 -4.277884e-05
 6537.200000 -1.364333e-05 -5.326984e-07 -5.246244e-08 -4.313287e-09 -1.472875e-04 -7.313543e-05 -5.492437e-05 -2.966580e-05
 6537.400000 -1.365477e-05 -5.331913e-07 -5.248387e-08 -4.331835e-09 -1.505079e-04 -6.258125e-05 -5.868300e-05 -3.291723e-05
 6537.600000 -1.363558e-05 -5.320354e-07 -5.231627e-08 -4.364807e-09 -1.494867e-04 -5.663442e-05 -4.999712e-05 -4.048326e-05
 6537.800000 -1.366742e-05 -5.328289e-07 -5.237463e-08 -4.407036e-09 -1.429168e-04 -5.643243e-05 -3.617110e-05 -4.703338e-05
 6538.000000 -1.366179e-05 -5.310155e-07 -5.232737e-08 -4.452972e-09 -1.417030e-04 -5.528886e-05 -4.640802e-05 -4.391817e-05
