# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.16037437943646
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Mn 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.5961384525
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:26:39
# Scan.end_time: 02/21/2022  12:27:03
# Scan.duration: 00:24
# Scan.transient_id: 196834
# Scan.uid: f6d8eb50-4ba7-4faa-b27a-65805e66725a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.461700e-06 -2.797944e-07 -2.550326e-08 -2.075812e-09 -8.382888e-05 -4.296856e-05 -3.390979e-05 -2.258223e-05
 6444.000000 -1.285144e-05 -4.277670e-07 -3.911241e-08 -3.182042e-09 -1.279116e-04 -6.529931e-05 -4.095172e-05 -3.657845e-05
 6449.000000 -1.292949e-05 -4.342964e-07 -3.981425e-08 -3.234028e-09 -1.296145e-04 -5.723523e-05 -3.970603e-05 -3.614093e-05
 6454.000000 -1.291822e-05 -4.382219e-07 -4.031722e-08 -3.266087e-09 -1.328869e-04 -6.536948e-05 -4.052417e-05 -3.344717e-05
 6459.000000 -1.300163e-05 -4.453542e-07 -4.105155e-08 -3.320844e-09 -1.362112e-04 -6.363295e-05 -4.430008e-05 -4.118922e-05
 6464.000000 -1.307358e-05 -4.514057e-07 -4.177945e-08 -3.367440e-09 -1.408303e-04 -5.500388e-05 -4.424942e-05 -4.740814e-05
 6469.000000 -1.310896e-05 -4.565818e-07 -4.242206e-08 -3.416616e-09 -1.409636e-04 -5.733787e-05 -4.477494e-05 -4.934063e-05
 6474.000000 -1.317594e-05 -4.628770e-07 -4.316809e-08 -3.472564e-09 -1.337265e-04 -4.950964e-05 -4.137473e-05 -5.299240e-05
 6479.000000 -1.324042e-05 -4.694386e-07 -4.389582e-08 -3.529648e-09 -1.387766e-04 -5.000914e-05 -5.484292e-05 -5.899478e-05
 6484.000000 -1.330719e-05 -4.759703e-07 -4.464741e-08 -3.576924e-09 -1.453754e-04 -5.771529e-05 -5.528869e-05 -4.710732e-05
 6489.000000 -1.332325e-05 -4.808822e-07 -4.527159e-08 -3.618138e-09 -1.481444e-04 -5.930874e-05 -6.393989e-05 -4.844383e-05
 6494.000000 -1.343460e-05 -4.885001e-07 -4.615125e-08 -3.697856e-09 -1.547028e-04 -6.011697e-05 -7.112290e-05 -4.511544e-05
 6499.000000 -1.348988e-05 -4.950759e-07 -4.695883e-08 -3.750306e-09 -1.539332e-04 -5.153078e-05 -6.592410e-05 -4.000786e-05
 6504.000000 -1.354867e-05 -5.011345e-07 -4.770149e-08 -3.809673e-09 -1.542244e-04 -5.223165e-05 -5.626097e-05 -3.794191e-05
 6509.000000 -1.357765e-05 -5.064453e-07 -4.833098e-08 -3.869460e-09 -1.588921e-04 -5.511059e-05 -4.700004e-05 -3.739986e-05
 6513.000000 -1.357961e-05 -5.098562e-07 -4.879990e-08 -3.917453e-09 -1.535589e-04 -5.982623e-05 -4.310679e-05 -4.000317e-05
 6516.000000 -1.372062e-05 -5.181804e-07 -4.971253e-08 -3.970167e-09 -1.568959e-04 -6.003366e-05 -3.649231e-05 -3.799377e-05
 6518.000000 -1.374139e-05 -5.206389e-07 -5.006049e-08 -3.995731e-09 -1.542806e-04 -5.582422e-05 -4.313713e-05 -3.162146e-05
 6519.000000 -1.374245e-05 -5.215905e-07 -5.022674e-08 -4.020883e-09 -1.512587e-04 -5.970866e-05 -5.594596e-05 -3.063208e-05
 6519.200000 -1.370509e-05 -5.208203e-07 -5.022078e-08 -4.013807e-09 -1.545750e-04 -5.646582e-05 -6.286376e-05 -3.702030e-05
 6519.400000 -1.368680e-05 -5.209394e-07 -5.013326e-08 -3.995532e-09 -1.498286e-04 -5.386263e-05 -5.897510e-05 -4.342571e-05
 6519.600000 -1.367944e-05 -5.206131e-07 -5.009196e-08 -3.988178e-09 -1.545045e-04 -5.159365e-05 -5.778758e-05 -3.562824e-05
 6519.800000 -1.367045e-05 -5.199761e-07 -5.000948e-08 -3.988246e-09 -1.456937e-04 -5.703445e-05 -4.991132e-05 -3.391699e-05
 6520.000000 -1.363837e-05 -5.190559e-07 -4.992277e-08 -3.973363e-09 -1.474229e-04 -5.221869e-05 -4.867029e-05 -3.386785e-05
 6520.200000 -1.361119e-05 -5.176922e-07 -4.989087e-08 -3.986437e-09 -1.547756e-04 -4.443374e-05 -4.258191e-05 -3.026332e-05
 6520.400000 -1.366499e-05 -5.206684e-07 -5.013572e-08 -4.016835e-09 -1.548932e-04 -5.085270e-05 -4.824859e-05 -2.770301e-05
 6520.600000 -1.370814e-05 -5.224567e-07 -5.038359e-08 -4.016269e-09 -1.543138e-04 -5.333024e-05 -4.349799e-05 -3.037581e-05
 6520.800000 -1.375795e-05 -5.244203e-07 -5.048034e-08 -4.034204e-09 -1.560994e-04 -4.509746e-05 -3.855312e-05 -3.269309e-05
 6521.000000 -1.374806e-05 -5.239348e-07 -5.055067e-08 -4.040813e-09 -1.567413e-04 -4.616041e-05 -3.487295e-05 -3.253561e-05
 6521.200000 -1.376329e-05 -5.240046e-07 -5.052063e-08 -4.044661e-09 -1.516988e-04 -5.070794e-05 -4.886285e-05 -4.184025e-05
 6521.400000 -1.378372e-05 -5.247078e-07 -5.062028e-08 -4.056022e-09 -1.578758e-04 -4.863422e-05 -4.495711e-05 -4.138548e-05
 6521.600000 -1.379525e-05 -5.252474e-07 -5.059996e-08 -4.052923e-09 -1.544468e-04 -4.503858e-05 -5.589760e-05 -4.493417e-05
 6521.800000 -1.379778e-05 -5.257067e-07 -5.067691e-08 -4.072994e-09 -1.591111e-04 -4.987384e-05 -5.874042e-05 -5.397314e-05
 6522.000000 -1.379707e-05 -5.265445e-07 -5.065138e-08 -4.063871e-09 -1.565252e-04 -5.446713e-05 -4.833653e-05 -5.053127e-05
 6522.200000 -1.379101e-05 -5.266281e-07 -5.072230e-08 -4.056417e-09 -1.627396e-04 -5.858559e-05 -4.600086e-05 -5.109601e-05
 6522.400000 -1.380457e-05 -5.267117e-07 -5.076036e-08 -4.068072e-09 -1.653575e-04 -5.434901e-05 -5.101731e-05 -4.722084e-05
 6522.600000 -1.380158e-05 -5.269171e-07 -5.078900e-08 -4.090021e-09 -1.625544e-04 -4.904452e-05 -4.995979e-05 -4.942736e-05
 6522.800000 -1.379560e-05 -5.263926e-07 -5.080097e-08 -4.071798e-09 -1.573910e-04 -5.055342e-05 -4.057645e-05 -4.355266e-05
 6523.000000 -1.379697e-05 -5.272115e-07 -5.088728e-08 -4.070746e-09 -1.582686e-04 -4.699611e-05 -2.955273e-05 -3.944302e-05
 6523.200000 -1.378305e-05 -5.267063e-07 -5.072032e-08 -4.067572e-09 -1.492730e-04 -5.209925e-05 -3.885708e-05 -4.178922e-05
 6523.400000 -1.376579e-05 -5.266128e-07 -5.074479e-08 -4.086057e-09 -1.411208e-04 -5.278806e-05 -3.132860e-05 -3.723845e-05
 6523.600000 -1.377844e-05 -5.268534e-07 -5.076374e-08 -4.068510e-09 -1.409502e-04 -6.386688e-05 -3.753844e-05 -3.216191e-05
