# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.10377212282805
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Ni 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.8717414645
# ISS.sample_y_position: 16.5961003055
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:18:19
# Scan.end_time: 02/21/2022  12:18:45
# Scan.duration: 00:25
# Scan.transient_id: 196820
# Scan.uid: 702aa274-ac97-4c88-bf48-c86dcf4624c0
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.802902e-05 -2.671657e-06 -1.682947e-07 -2.540138e-07 -5.030719e-05 -2.210848e-05 -2.566736e-05 -1.333717e-05
 8238.000000 -2.598107e-05 -3.863351e-06 -2.436790e-07 -3.654782e-07 -7.212269e-05 -2.556189e-05 -4.038905e-05 -2.756457e-05
 8243.000000 -2.603293e-05 -3.888334e-06 -2.455485e-07 -3.658972e-07 -7.084203e-05 -2.295480e-05 -3.729114e-05 -3.102806e-05
 8248.000000 -2.609783e-05 -3.915995e-06 -2.472733e-07 -3.650681e-07 -6.358996e-05 -1.694526e-05 -3.054915e-05 -3.112084e-05
 8253.000000 -2.606385e-05 -3.929179e-06 -2.479964e-07 -3.644956e-07 -5.644090e-05 -1.938621e-05 -1.592309e-05 -3.108824e-05
 8258.000000 -2.594747e-05 -3.930833e-06 -2.480162e-07 -3.643303e-07 -5.403749e-05 -2.298899e-05 -2.402086e-05 -3.770094e-05
 8263.000000 -2.620234e-05 -3.987479e-06 -2.515328e-07 -3.628727e-07 -6.049263e-05 -2.426526e-05 -2.335870e-05 -3.195091e-05
 8268.000000 -2.616770e-05 -4.001077e-06 -2.528291e-07 -3.627935e-07 -6.610915e-05 -2.514761e-05 -2.505308e-05 -3.461434e-05
 8273.000000 -2.614190e-05 -4.015325e-06 -2.547110e-07 -3.630308e-07 -6.307127e-05 -2.650322e-05 -2.287349e-05 -2.893791e-05
 8278.000000 -2.615637e-05 -4.034796e-06 -2.571625e-07 -3.629750e-07 -5.218840e-05 -1.717361e-05 -3.151167e-05 -3.147565e-05
 8283.000000 -2.615608e-05 -4.052286e-06 -2.596031e-07 -3.633071e-07 -4.883254e-05 -2.747584e-05 -2.560406e-05 -2.964679e-05
 8288.000000 -2.620946e-05 -4.077561e-06 -2.625375e-07 -3.642291e-07 -4.942841e-05 -2.856500e-05 -3.075466e-05 -2.879126e-05
 8293.000000 -2.624117e-05 -4.098228e-06 -2.652807e-07 -3.652935e-07 -5.298757e-05 -3.393236e-05 -4.239637e-05 -3.016345e-05
 8298.000000 -2.627154e-05 -4.118126e-06 -2.678506e-07 -3.670971e-07 -6.172059e-05 -1.999706e-05 -3.959252e-05 -3.501993e-05
 8303.000000 -2.634477e-05 -4.143955e-06 -2.708435e-07 -3.688206e-07 -4.613736e-05 -2.422155e-05 -2.344171e-05 -3.342081e-05
 8307.000000 -2.623901e-05 -4.138300e-06 -2.715543e-07 -3.693048e-07 -5.240332e-05 -1.866392e-05 -2.618827e-05 -3.015665e-05
 8310.000000 -2.621624e-05 -4.142459e-06 -2.725697e-07 -3.701522e-07 -5.558955e-05 -1.662936e-05 -2.486111e-05 -4.460075e-05
 8312.000000 -2.620379e-05 -4.144661e-06 -2.730651e-07 -3.709179e-07 -4.999801e-05 -1.739059e-05 -3.747548e-05 -5.117385e-05
 8313.000000 -2.610968e-05 -4.131784e-06 -2.724598e-07 -3.706642e-07 -5.035563e-05 -1.574609e-05 -4.295654e-05 -5.324245e-05
 8313.200000 -2.616399e-05 -4.141436e-06 -2.730068e-07 -3.708670e-07 -5.212125e-05 -1.877474e-05 -4.108275e-05 -5.572489e-05
 8313.400000 -2.621938e-05 -4.149456e-06 -2.734603e-07 -3.714712e-07 -5.809046e-05 -2.504533e-05 -4.404234e-05 -5.968215e-05
 8313.600000 -2.615234e-05 -4.140472e-06 -2.729928e-07 -3.711535e-07 -5.458395e-05 -2.111190e-05 -4.131121e-05 -5.571097e-05
 8313.800000 -2.614344e-05 -4.139158e-06 -2.729012e-07 -3.709144e-07 -5.195675e-05 -8.739770e-06 -3.958787e-05 -4.404415e-05
 8314.000000 -2.616461e-05 -4.142333e-06 -2.731575e-07 -3.710934e-07 -5.093108e-05 -1.077421e-05 -3.478603e-05 -5.229853e-05
 8314.200000 -2.617919e-05 -4.144881e-06 -2.735037e-07 -3.712407e-07 -5.506525e-05 -9.790481e-06 -2.890312e-05 -5.038829e-05
 8314.400000 -2.620087e-05 -4.149680e-06 -2.737927e-07 -3.714530e-07 -5.729185e-05 -1.175502e-05 -3.508946e-05 -4.828995e-05
 8314.600000 -2.623827e-05 -4.155974e-06 -2.743110e-07 -3.719320e-07 -5.207609e-05 -2.008572e-05 -4.839067e-05 -4.735363e-05
 8314.800000 -2.627852e-05 -4.163326e-06 -2.747424e-07 -3.724146e-07 -5.542281e-05 -2.130467e-05 -4.668320e-05 -4.750663e-05
 8315.000000 -2.615085e-05 -4.144105e-06 -2.735662e-07 -3.717341e-07 -5.646594e-05 -1.965688e-05 -4.779646e-05 -5.108763e-05
 8315.200000 -2.626406e-05 -4.161701e-06 -2.747087e-07 -3.724931e-07 -5.303455e-05 -1.808133e-05 -5.162749e-05 -4.405604e-05
