# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.77174755656836
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Ni 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.8698341145
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:18:53
# Scan.end_time: 02/21/2022  12:19:18
# Scan.duration: 00:25
# Scan.transient_id: 196821
# Scan.uid: fdf2c7df-a6d5-4e23-aa7c-f76201abf3e4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.807791e-05 -2.677634e-06 -1.688748e-07 -2.545885e-07 -6.036136e-05 -4.541821e-05 -3.744048e-05 -2.583089e-05
 8238.000000 -2.597505e-05 -3.861125e-06 -2.438375e-07 -3.657540e-07 -7.961380e-05 -7.136758e-05 -5.875853e-05 -3.956886e-05
 8243.000000 -2.609137e-05 -3.896049e-06 -2.463455e-07 -3.659752e-07 -9.253691e-05 -7.696831e-05 -6.005445e-05 -3.050996e-05
 8248.000000 -2.614044e-05 -3.921313e-06 -2.479677e-07 -3.651959e-07 -8.848737e-05 -6.530951e-05 -6.046606e-05 -3.214738e-05
 8253.000000 -2.602770e-05 -3.922397e-06 -2.480203e-07 -3.649496e-07 -9.447640e-05 -6.943566e-05 -6.007660e-05 -3.556191e-05
 8258.000000 -2.592018e-05 -3.924854e-06 -2.480928e-07 -3.647266e-07 -9.907650e-05 -6.568430e-05 -6.058049e-05 -3.632137e-05
 8263.000000 -2.612445e-05 -3.974907e-06 -2.512375e-07 -3.634751e-07 -9.320404e-05 -6.479551e-05 -6.548918e-05 -3.540333e-05
 8268.000000 -2.617201e-05 -4.000185e-06 -2.532278e-07 -3.628310e-07 -9.627923e-05 -5.937596e-05 -5.770997e-05 -3.405809e-05
 8273.000000 -2.616982e-05 -4.017506e-06 -2.552092e-07 -3.628695e-07 -9.116206e-05 -4.223964e-05 -5.825528e-05 -4.552801e-05
 8278.000000 -2.615108e-05 -4.031830e-06 -2.572956e-07 -3.631180e-07 -9.030926e-05 -5.428945e-05 -5.947482e-05 -4.867000e-05
 8283.000000 -2.603078e-05 -4.030979e-06 -2.586234e-07 -3.637653e-07 -8.890606e-05 -5.892951e-05 -5.452289e-05 -5.167536e-05
 8288.000000 -2.612788e-05 -4.063178e-06 -2.619065e-07 -3.642502e-07 -8.780228e-05 -4.468273e-05 -4.416856e-05 -4.932608e-05
 8293.000000 -2.623109e-05 -4.095136e-06 -2.651944e-07 -3.652934e-07 -8.708792e-05 -4.748784e-05 -5.346766e-05 -4.714403e-05
 8298.000000 -2.628295e-05 -4.118564e-06 -2.679587e-07 -3.668376e-07 -7.939495e-05 -4.520478e-05 -6.575389e-05 -4.701743e-05
 8303.000000 -2.631073e-05 -4.137796e-06 -2.704186e-07 -3.685353e-07 -8.067736e-05 -4.194561e-05 -8.181564e-05 -5.133228e-05
 8307.000000 -2.633363e-05 -4.152192e-06 -2.722376e-07 -3.700123e-07 -8.087404e-05 -4.205166e-05 -9.022219e-05 -5.008806e-05
 8310.000000 -2.631538e-05 -4.157054e-06 -2.731560e-07 -3.709156e-07 -8.092823e-05 -4.365731e-05 -8.383119e-05 -5.614036e-05
 8312.000000 -2.629537e-05 -4.158028e-06 -2.736220e-07 -3.714355e-07 -8.361973e-05 -4.621507e-05 -7.731903e-05 -5.040018e-05
 8313.000000 -2.637660e-05 -4.172321e-06 -2.746999e-07 -3.723731e-07 -8.354416e-05 -4.597756e-05 -7.444409e-05 -4.093526e-05
 8313.200000 -2.638684e-05 -4.174313e-06 -2.749768e-07 -3.725234e-07 -8.367534e-05 -4.150016e-05 -7.898911e-05 -4.062352e-05
 8313.400000 -2.630397e-05 -4.161892e-06 -2.743111e-07 -3.720648e-07 -7.984241e-05 -3.475444e-05 -7.628640e-05 -3.956356e-05
 8313.600000 -2.636394e-05 -4.171677e-06 -2.749437e-07 -3.726074e-07 -8.684657e-05 -4.041096e-05 -8.476737e-05 -4.966534e-05
 8313.800000 -2.636243e-05 -4.171627e-06 -2.749820e-07 -3.725648e-07 -8.947820e-05 -3.631288e-05 -8.197795e-05 -4.731889e-05
 8314.000000 -2.638390e-05 -4.175138e-06 -2.751623e-07 -3.727824e-07 -8.218495e-05 -3.335978e-05 -7.442964e-05 -3.916977e-05
 8314.200000 -2.637182e-05 -4.174333e-06 -2.750227e-07 -3.727384e-07 -8.519955e-05 -3.261424e-05 -7.115705e-05 -3.560349e-05
 8314.400000 -2.634300e-05 -4.170237e-06 -2.752430e-07 -3.726848e-07 -8.289897e-05 -3.339889e-05 -6.491681e-05 -3.529121e-05
 8314.600000 -2.625580e-05 -4.156863e-06 -2.743387e-07 -3.723004e-07 -7.834611e-05 -2.781493e-05 -7.220854e-05 -4.139253e-05
 8314.800000 -2.626439e-05 -4.158927e-06 -2.745910e-07 -3.724218e-07 -7.815200e-05 -3.826086e-05 -7.232757e-05 -4.505779e-05
 8315.000000 -2.617062e-05 -4.144570e-06 -2.735596e-07 -3.717318e-07 -8.340448e-05 -3.416445e-05 -8.059439e-05 -4.573162e-05
 8315.200000 -2.617346e-05 -4.144882e-06 -2.736113e-07 -3.718450e-07 -8.146234e-05 -4.313215e-05 -7.637661e-05 -4.237010e-05
 8315.400000 -2.612490e-05 -4.136731e-06 -2.731740e-07 -3.713190e-07 -8.516751e-05 -4.520008e-05 -8.629789e-05 -4.712858e-05
 8315.600000 -2.624054e-05 -4.155258e-06 -2.743221e-07 -3.722062e-07 -8.655969e-05 -4.210407e-05 -8.124262e-05 -4.969656e-05
 8315.800000 -2.617851e-05 -4.144921e-06 -2.740127e-07 -3.718028e-07 -9.310530e-05 -4.225142e-05 -7.932048e-05 -4.974925e-05
 8316.000000 -2.623399e-05 -4.153882e-06 -2.743534e-07 -3.723990e-07 -8.703405e-05 -3.412559e-05 -8.799120e-05 -4.905992e-05
 8316.200000 -2.620270e-05 -4.150223e-06 -2.741338e-07 -3.724243e-07 -8.916409e-05 -2.712656e-05 -7.865251e-05 -4.526508e-05
 8316.400000 -2.623175e-05 -4.155850e-06 -2.744717e-07 -3.728250e-07 -9.662015e-05 -2.794862e-05 -6.525103e-05 -4.354115e-05
 8316.600000 -2.627744e-05 -4.162533e-06 -2.748832e-07 -3.732431e-07 -9.777523e-05 -3.341806e-05 -7.807894e-05 -3.988321e-05
 8316.800000 -2.633395e-05 -4.171731e-06 -2.756986e-07 -3.736018e-07 -9.592908e-05 -3.270011e-05 -7.739554e-05 -3.595232e-05
 8317.000000 -2.638555e-05 -4.179544e-06 -2.761759e-07 -3.739037e-07 -8.948922e-05 -3.112194e-05 -8.439334e-05 -4.095763e-05
 8317.200000 -2.634221e-05 -4.173032e-06 -2.757845e-07 -3.737366e-07 -9.436132e-05 -3.047642e-05 -8.396775e-05 -3.726292e-05
 8317.400000 -2.633900e-05 -4.172583e-06 -2.756684e-07 -3.737846e-07 -9.280452e-05 -3.040722e-05 -8.116182e-05 -2.941181e-05
 8317.600000 -2.635163e-05 -4.174481e-06 -2.758680e-07 -3.738493e-07 -9.112171e-05 -3.227621e-05 -7.652628e-05 -3.050763e-05
