# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.42950312305265
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Ni 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869948555499999
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:19:27
# Scan.end_time: 02/21/2022  12:19:50
# Scan.duration: 00:23
# Scan.transient_id: 196822
# Scan.uid: 1450b3bb-8008-4232-84bd-e32132f88568
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.812815e-05 -2.685801e-06 -1.693791e-07 -2.561920e-07 -5.788100e-05 -3.653393e-05 -3.581972e-05 -3.462533e-05
 8238.000000 -2.584638e-05 -3.842845e-06 -2.426033e-07 -3.650010e-07 -8.554360e-05 -3.888937e-05 -4.462064e-05 -4.096326e-05
 8243.000000 -2.610869e-05 -3.899068e-06 -2.462507e-07 -3.655692e-07 -8.538982e-05 -3.039710e-05 -4.866254e-05 -3.528173e-05
 8248.000000 -2.621581e-05 -3.932907e-06 -2.483651e-07 -3.646074e-07 -8.771114e-05 -2.883628e-05 -5.100238e-05 -4.227282e-05
 8253.000000 -2.606683e-05 -3.930007e-06 -2.480879e-07 -3.646379e-07 -7.280087e-05 -2.948872e-05 -5.462054e-05 -4.418632e-05
 8258.000000 -2.610326e-05 -3.952943e-06 -2.493376e-07 -3.639316e-07 -7.836243e-05 -3.551751e-05 -5.756849e-05 -3.514819e-05
 8263.000000 -2.618619e-05 -3.984411e-06 -2.514066e-07 -3.631352e-07 -7.722290e-05 -3.527910e-05 -6.263810e-05 -4.135250e-05
 8268.000000 -2.634224e-05 -4.026173e-06 -2.543776e-07 -3.621499e-07 -8.122562e-05 -4.147780e-05 -7.117015e-05 -3.590888e-05
 8273.000000 -2.628387e-05 -4.035559e-06 -2.558730e-07 -3.628584e-07 -8.354979e-05 -4.095778e-05 -6.463753e-05 -3.434569e-05
 8278.000000 -2.609931e-05 -4.025261e-06 -2.565489e-07 -3.635499e-07 -7.846507e-05 -4.708344e-05 -6.518529e-05 -4.103446e-05
 8283.000000 -2.628315e-05 -4.070450e-06 -2.606485e-07 -3.638129e-07 -6.986823e-05 -4.756520e-05 -5.563321e-05 -3.472120e-05
