# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.98759477895686
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Ni 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:19:59
# Scan.end_time: 02/21/2022  12:20:24
# Scan.duration: 00:25
# Scan.transient_id: 196823
# Scan.uid: 77f2c6e5-e066-4e64-b054-95bcaea210b6
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.811653e-05 -2.682763e-06 -1.690028e-07 -2.546349e-07 -7.528132e-05 -2.328198e-05 -4.036017e-05 -2.424132e-05
 8238.000000 -2.610947e-05 -3.879484e-06 -2.447195e-07 -3.653047e-07 -1.051640e-04 -3.265352e-05 -5.039127e-05 -3.379312e-05
 8243.000000 -2.615783e-05 -3.904365e-06 -2.464979e-07 -3.655674e-07 -1.013127e-04 -3.578035e-05 -5.093219e-05 -3.811838e-05
 8248.000000 -2.621842e-05 -3.931037e-06 -2.481817e-07 -3.647005e-07 -9.496884e-05 -2.348825e-05 -5.664617e-05 -4.075429e-05
 8253.000000 -2.625504e-05 -3.955059e-06 -2.495312e-07 -3.638919e-07 -9.095366e-05 -1.727056e-05 -5.326144e-05 -4.612278e-05
 8258.000000 -2.621473e-05 -3.968220e-06 -2.502426e-07 -3.635259e-07 -9.262533e-05 -1.743903e-05 -5.992840e-05 -4.469740e-05
 8263.000000 -2.626448e-05 -3.993811e-06 -2.519550e-07 -3.627011e-07 -1.001263e-04 -2.161975e-05 -6.019620e-05 -4.680938e-05
 8268.000000 -2.628106e-05 -4.015123e-06 -2.537054e-07 -3.624009e-07 -1.059389e-04 -2.237399e-05 -6.287049e-05 -5.075025e-05
 8273.000000 -2.629943e-05 -4.036303e-06 -2.559287e-07 -3.624604e-07 -9.891462e-05 -2.364153e-05 -6.068838e-05 -4.574756e-05
 8278.000000 -2.627807e-05 -4.050800e-06 -2.580457e-07 -3.629433e-07 -9.520952e-05 -3.337345e-05 -6.810907e-05 -4.151540e-05
 8283.000000 -2.631709e-05 -4.073343e-06 -2.609087e-07 -3.633181e-07 -8.811479e-05 -4.335670e-05 -6.014452e-05 -3.790944e-05
 8288.000000 -2.624610e-05 -4.080344e-06 -2.628484e-07 -3.644437e-07 -8.485049e-05 -4.046577e-05 -5.168230e-05 -4.491337e-05
