# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.6358382785173
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Ni 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:20:32
# Scan.end_time: 02/21/2022  12:20:58
# Scan.duration: 00:25
# Scan.transient_id: 196824
# Scan.uid: badaacde-f99a-4623-aacd-eb0c7a39350b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.811227e-05 -2.681809e-06 -1.688236e-07 -2.545084e-07 -8.181691e-05 -1.499209e-05 -4.579810e-05 -1.953771e-05
 8238.000000 -2.605796e-05 -3.871660e-06 -2.440834e-07 -3.656301e-07 -1.169612e-04 -2.263377e-05 -5.955591e-05 -3.168233e-05
 8243.000000 -2.618056e-05 -3.907099e-06 -2.465334e-07 -3.655448e-07 -1.204108e-04 -3.509812e-05 -6.167654e-05 -3.088828e-05
 8248.000000 -2.608843e-05 -3.911450e-06 -2.470642e-07 -3.650263e-07 -1.180589e-04 -2.873028e-05 -5.859327e-05 -3.495760e-05
 8253.000000 -2.586216e-05 -3.895757e-06 -2.461929e-07 -3.647209e-07 -1.187626e-04 -2.711570e-05 -5.388497e-05 -3.416266e-05
 8258.000000 -2.601349e-05 -3.936861e-06 -2.484873e-07 -3.641544e-07 -1.107380e-04 -2.956620e-05 -5.103586e-05 -3.159189e-05
 8263.000000 -2.629707e-05 -3.998333e-06 -2.521651e-07 -3.625266e-07 -1.136793e-04 -3.249934e-05 -5.768936e-05 -2.433232e-05
 8268.000000 -2.614242e-05 -3.993195e-06 -2.524536e-07 -3.630041e-07 -1.140239e-04 -4.113515e-05 -6.248217e-05 -2.977429e-05
 8273.000000 -2.595850e-05 -3.983635e-06 -2.528819e-07 -3.635845e-07 -1.208073e-04 -4.629098e-05 -6.743496e-05 -3.081137e-05
 8278.000000 -2.616365e-05 -4.031909e-06 -2.570139e-07 -3.631745e-07 -1.133070e-04 -4.071813e-05 -7.162992e-05 -3.391949e-05
 8283.000000 -2.630517e-05 -4.070784e-06 -2.607504e-07 -3.633639e-07 -1.183662e-04 -4.246131e-05 -7.495121e-05 -3.402661e-05
