# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4524481364659
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Co 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 12.996110695
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:31:37
# Scan.end_time: 02/21/2022  11:32:03
# Scan.duration: 00:25
# Scan.transient_id: 196761
# Scan.uid: 77ef4f4f-3e70-44d6-b847-197c1be4a97f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.567739e-05 -1.548973e-06 -2.628300e-07 -8.962855e-08 -2.570958e-05 -1.010236e-05 -3.325706e-05 -2.320780e-05
 7614.000000 -2.324122e-05 -2.306337e-06 -3.918121e-07 -1.332970e-07 -3.621031e-05 -1.867013e-05 -6.129584e-05 -3.273824e-05
 7619.000000 -2.328298e-05 -2.325087e-06 -3.957039e-07 -1.341132e-07 -4.430325e-05 -1.717049e-05 -5.011537e-05 -4.200465e-05
 7624.000000 -2.339317e-05 -2.346109e-06 -3.998808e-07 -1.353852e-07 -5.194913e-05 -1.199109e-05 -4.738025e-05 -5.013665e-05
 7629.000000 -2.344933e-05 -2.363431e-06 -4.034548e-07 -1.363416e-07 -4.660149e-05 -1.354503e-06 -4.233156e-05 -5.825875e-05
 7634.000000 -2.330197e-05 -2.365990e-06 -4.047131e-07 -1.359603e-07 -3.874357e-05 -3.182834e-06 -4.445387e-05 -5.269120e-05
 7639.000000 -2.347611e-05 -2.394298e-06 -4.101867e-07 -1.376819e-07 -4.011472e-05 -7.391068e-06 -4.462881e-05 -4.747865e-05
 7644.000000 -2.356075e-05 -2.415070e-06 -4.144512e-07 -1.387932e-07 -3.897181e-05 -1.569634e-05 -4.370599e-05 -4.261757e-05
 7649.000000 -2.347279e-05 -2.421357e-06 -4.162190e-07 -1.388138e-07 -4.598425e-05 -8.904425e-06 -4.141150e-05 -4.268746e-05
 7654.000000 -2.345963e-05 -2.432723e-06 -4.188059e-07 -1.393787e-07 -3.854934e-05 3.800588e-06 -4.056874e-05 -4.665340e-05
 7659.000000 -2.359430e-05 -2.458878e-06 -4.239248e-07 -1.409042e-07 -4.050522e-05 -3.663944e-06 -4.741654e-05 -5.189027e-05
 7664.000000 -2.368027e-05 -2.479654e-06 -4.280486e-07 -1.420869e-07 -4.336301e-05 1.899507e-06 -4.636945e-05 -5.440211e-05
 7669.000000 -2.370956e-05 -2.495426e-06 -4.312588e-07 -1.429325e-07 -4.784569e-05 -1.471322e-05 -4.607639e-05 -4.578064e-05
 7674.000000 -2.365444e-05 -2.504991e-06 -4.334884e-07 -1.432594e-07 -5.205540e-05 -1.021747e-05 -5.176477e-05 -2.735053e-05
 7679.000000 -2.369221e-05 -2.522086e-06 -4.369301e-07 -1.441847e-07 -5.492061e-05 -8.674723e-06 -5.225317e-05 1.030668e-07
 7683.000000 -2.371172e-05 -2.536718e-06 -4.398435e-07 -1.449109e-07 -4.755462e-05 -9.762098e-06 -5.199879e-05 -6.360164e-06
 7686.000000 -2.369866e-05 -2.545280e-06 -4.415689e-07 -1.452445e-07 -5.056141e-05 -4.004889e-06 -4.487908e-05 -3.848853e-06
 7688.000000 -2.378899e-05 -2.558134e-06 -4.437016e-07 -1.461136e-07 -3.736530e-05 -2.667329e-06 -5.272587e-05 -8.702609e-06
 7689.000000 -2.371907e-05 -2.555701e-06 -4.432281e-07 -1.457900e-07 -3.732780e-05 5.968219e-07 -5.345195e-05 -4.573427e-05
 7689.200000 -2.369401e-05 -2.552696e-06 -4.427614e-07 -1.456757e-07 -4.145596e-05 -1.988541e-06 -5.550479e-05 -5.451323e-05
 7689.400000 -2.366831e-05 -2.552915e-06 -4.429746e-07 -1.455322e-07 -4.422375e-05 -6.230934e-06 -4.580488e-05 -4.820824e-05
 7689.600000 -2.370090e-05 -2.556434e-06 -4.436155e-07 -1.457366e-07 -4.625595e-05 -1.514652e-05 -4.149648e-05 -3.939079e-05
