# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.66500274051805
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Co 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.229780885
# ISS.sample_y_position: 12.996110695
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:27:37
# Scan.end_time: 02/21/2022  11:28:00
# Scan.duration: 00:23
# Scan.transient_id: 196759
# Scan.uid: b155fd83-8068-4793-b409-a017544cdb16
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.591464e-05 -1.571820e-06 -2.669665e-07 -9.078718e-08 -3.307711e-05 -8.705346e-06 -4.113936e-05 -2.820781e-05
 7614.000000 -2.317960e-05 -2.298158e-06 -3.908792e-07 -1.327174e-07 -4.869118e-05 -3.690732e-06 -5.213720e-05 -4.128105e-05
 7619.000000 -2.324681e-05 -2.317421e-06 -3.948878e-07 -1.336693e-07 -5.495217e-05 -7.170779e-06 -4.759099e-05 -4.544529e-05
 7624.000000 -2.333806e-05 -2.339471e-06 -3.992709e-07 -1.347932e-07 -4.744058e-05 -9.050297e-06 -5.437616e-05 -4.329119e-05
 7629.000000 -2.337702e-05 -2.357481e-06 -4.030911e-07 -1.355994e-07 -4.175939e-05 -1.848018e-05 -5.441138e-05 -4.560994e-05
 7634.000000 -2.342939e-05 -2.374385e-06 -4.066470e-07 -1.364820e-07 -4.408893e-05 -1.068042e-05 -4.702605e-05 -5.159520e-05
 7639.000000 -2.346138e-05 -2.389952e-06 -4.099429e-07 -1.373257e-07 -5.392031e-05 -8.518519e-06 -5.708585e-05 -4.687059e-05
 7644.000000 -2.332887e-05 -2.392345e-06 -4.110389e-07 -1.370529e-07 -4.444588e-05 -1.719980e-06 -5.428844e-05 -4.530175e-05
 7649.000000 -2.339222e-05 -2.410013e-06 -4.146911e-07 -1.381100e-07 -5.188753e-05 -3.529262e-06 -4.788206e-05 -4.472025e-05
 7654.000000 -2.353194e-05 -2.433085e-06 -4.192308e-07 -1.396945e-07 -5.056805e-05 3.129831e-06 -5.773488e-05 -4.167958e-05
 7659.000000 -2.352748e-05 -2.447749e-06 -4.224164e-07 -1.402375e-07 -6.485432e-05 -8.891947e-08 -5.212879e-05 -4.531686e-05
