# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.11441585237185
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Co 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 12.996110695
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:32:11
# Scan.end_time: 02/21/2022  11:32:34
# Scan.duration: 00:23
# Scan.transient_id: 196762
# Scan.uid: 9b720fc2-d2d2-4d5f-bb15-d1465d8b4ffd
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.569776e-05 -1.552835e-06 -2.635272e-07 -8.964203e-08 -2.864378e-05 -1.709632e-05 -3.906525e-05 -2.956035e-05
 7614.000000 -2.327218e-05 -2.311204e-06 -3.926857e-07 -1.333656e-07 -4.181963e-05 -2.320467e-05 -6.528751e-05 -4.196720e-05
 7619.000000 -2.332461e-05 -2.330099e-06 -3.965073e-07 -1.342485e-07 -4.928672e-05 -1.443708e-05 -6.597788e-05 -3.772599e-05
 7624.000000 -2.336650e-05 -2.345916e-06 -3.998234e-07 -1.350781e-07 -4.722274e-05 -2.434687e-05 -5.686916e-05 -4.491717e-05
 7629.000000 -2.335106e-05 -2.357676e-06 -4.025417e-07 -1.355825e-07 -4.016380e-05 -2.342758e-05 -6.188332e-05 -4.374412e-05
 7634.000000 -2.349256e-05 -2.382808e-06 -4.074686e-07 -1.370115e-07 -3.315999e-05 -2.399542e-05 -6.273198e-05 -4.020047e-05
 7639.000000 -2.344986e-05 -2.393761e-06 -4.102216e-07 -1.373124e-07 -3.031949e-05 -1.745551e-05 -5.156379e-05 -4.377603e-05
 7644.000000 -2.335614e-05 -2.400725e-06 -4.122083e-07 -1.372826e-07 -3.899810e-05 -1.346447e-05 -4.958767e-05 -4.665244e-05
 7649.000000 -2.347144e-05 -2.422816e-06 -4.165544e-07 -1.386652e-07 -5.227474e-05 -1.699605e-05 -5.037426e-05 -4.417889e-05
 7654.000000 -2.349920e-05 -2.437427e-06 -4.195814e-07 -1.395194e-07 -4.769797e-05 -2.292420e-05 -4.551330e-05 -3.894012e-05
 7659.000000 -2.359201e-05 -2.459525e-06 -4.239855e-07 -1.407241e-07 -4.516711e-05 -2.845694e-05 -5.537573e-05 -4.251296e-05
 7664.000000 -2.367302e-05 -2.479600e-06 -4.280270e-07 -1.418964e-07 -4.479172e-05 -1.953219e-05 -5.856115e-05 -4.631455e-05
 7669.000000 -2.371382e-05 -2.496076e-06 -4.314324e-07 -1.428542e-07 -5.368021e-05 -1.327284e-05 -5.788666e-05 -4.878463e-05
 7674.000000 -2.377023e-05 -2.513959e-06 -4.348963e-07 -1.439305e-07 -4.440223e-05 -1.955894e-05 -5.658719e-05 -4.451793e-05
 7679.000000 -2.380234e-05 -2.531428e-06 -4.384146e-07 -1.448130e-07 -3.956140e-05 -1.398143e-05 -5.306464e-05 -3.340758e-05
 7683.000000 -2.377030e-05 -2.541165e-06 -4.404524e-07 -1.451783e-07 -3.840722e-05 -1.177878e-05 -4.837154e-05 -3.240450e-05
 7686.000000 -2.380602e-05 -2.553164e-06 -4.426523e-07 -1.458465e-07 -3.720434e-05 -9.956777e-06 -5.321733e-05 -3.372984e-05
 7688.000000 -2.384454e-05 -2.562686e-06 -4.443365e-07 -1.463721e-07 -2.761793e-05 -3.998328e-06 -5.746634e-05 -3.639839e-05
 7689.000000 -2.386140e-05 -2.566769e-06 -4.450539e-07 -1.466428e-07 -1.735677e-05 2.901483e-06 -5.042711e-05 -3.560731e-05
 7689.200000 -2.385296e-05 -2.566770e-06 -4.449685e-07 -1.467089e-07 -1.795340e-05 1.039528e-05 -4.852260e-05 -3.474110e-05
 7689.400000 -2.380308e-05 -2.562878e-06 -4.443207e-07 -1.464000e-07 -3.032763e-05 1.393289e-05 -5.491179e-05 -3.473185e-05
 7689.600000 -2.383616e-05 -2.565748e-06 -4.449323e-07 -1.466030e-07 -3.303896e-05 5.203582e-06 -4.529033e-05 -3.022034e-05
 7689.800000 -2.378535e-05 -2.561865e-06 -4.442334e-07 -1.462753e-07 -3.537063e-05 6.114382e-06 -4.359166e-05 -2.042924e-05
 7690.000000 -2.380281e-05 -2.565740e-06 -4.449960e-07 -1.464446e-07 -4.124503e-05 5.913690e-06 -3.941085e-05 -2.437112e-05
 7690.200000 -2.385052e-05 -2.569042e-06 -4.453913e-07 -1.467922e-07 -3.730314e-05 1.583421e-06 -4.601209e-05 -3.684384e-05
 7690.400000 -2.376944e-05 -2.562773e-06 -4.443555e-07 -1.463666e-07 -3.629648e-05 -3.925217e-06 -4.082338e-05 -1.538967e-05
 7690.600000 -2.386689e-05 -2.572031e-06 -4.457896e-07 -1.468641e-07 -3.103198e-05 -4.058239e-06 -4.186773e-05 -1.381202e-05
 7690.800000 -2.384716e-05 -2.570138e-06 -4.455540e-07 -1.468839e-07 -2.687748e-05 -2.729318e-06 -4.977872e-05 -2.099914e-05
 7691.000000 -2.389474e-05 -2.575570e-06 -4.465667e-07 -1.472043e-07 -2.065414e-05 -8.113306e-06 -4.997658e-05 -2.136328e-05
 7691.200000 -2.387230e-05 -2.572046e-06 -4.458763e-07 -1.472237e-07 -2.528656e-05 -1.633534e-05 -6.214645e-05 -2.228244e-05
 7691.400000 -2.385080e-05 -2.573097e-06 -4.460134e-07 -1.470524e-07 -2.067280e-05 -1.416111e-05 -4.160449e-05 -1.675413e-05
 7691.600000 -2.389665e-05 -2.576941e-06 -4.466419e-07 -1.473683e-07 -2.457906e-05 -1.004886e-05 -4.147660e-05 -3.023697e-05
 7691.800000 -2.389521e-05 -2.577694e-06 -4.467951e-07 -1.473972e-07 -2.853848e-05 -1.179899e-05 -5.787774e-05 -3.309581e-05
 7692.000000 -2.389424e-05 -2.578459e-06 -4.470061e-07 -1.474321e-07 -3.160975e-05 -3.782413e-06 -6.727070e-05 -4.726498e-05
 7692.200000 -2.389788e-05 -2.579932e-06 -4.473028e-07 -1.473763e-07 -2.709205e-05 1.834853e-06 -4.848413e-05 -3.835801e-05
 7692.400000 -2.386865e-05 -2.578215e-06 -4.470338e-07 -1.473363e-07 -1.652467e-05 4.460625e-06 -5.773489e-05 -4.172970e-05
 7692.600000 -2.389927e-05 -2.582295e-06 -4.477436e-07 -1.475185e-07 -2.504654e-05 9.760617e-08 -4.243123e-05 -3.032333e-05
 7692.800000 -2.386876e-05 -2.579748e-06 -4.472953e-07 -1.474098e-07 -2.863110e-05 -2.452701e-06 -4.841567e-05 -3.501048e-05
 7693.000000 -2.385111e-05 -2.580209e-06 -4.472866e-07 -1.473932e-07 -3.893407e-05 -5.001450e-06 -5.715213e-05 -2.766077e-05
 7693.200000 -2.384294e-05 -2.578991e-06 -4.468528e-07 -1.472994e-07 -3.970868e-05 -1.703012e-05 -5.365914e-05 -1.641238e-05
 7693.400000 -2.380438e-05 -2.576161e-06 -4.465521e-07 -1.471989e-07 -3.841817e-05 -1.136506e-05 -6.716837e-05 -2.764180e-05
 7693.600000 -2.381832e-05 -2.576682e-06 -4.465040e-07 -1.472759e-07 -3.731151e-05 -1.678347e-05 -5.777480e-05 -2.774870e-05
 7693.800000 -2.365329e-05 -2.565963e-06 -4.450015e-07 -1.460806e-07 -3.736074e-05 -8.706337e-06 -5.572606e-05 -2.874259e-05
 7694.000000 -2.375518e-05 -2.571613e-06 -4.456856e-07 -1.469798e-07 -4.780563e-05 -8.795301e-06 -5.387915e-05 -2.191059e-05
 7694.200000 -2.370972e-05 -2.573857e-06 -4.463847e-07 -1.467173e-07 -3.034814e-05 -6.314565e-06 -5.027001e-05 -1.337908e-05
 7694.400000 -2.379361e-05 -2.578210e-06 -4.466448e-07 -1.472758e-07 -3.189752e-05 -9.990087e-06 -5.190387e-05 -1.326147e-05
 7694.600000 -2.374459e-05 -2.574701e-06 -4.461688e-07 -1.470417e-07 -3.215967e-05 4.707374e-07 -5.148819e-05 -8.749424e-06
 7694.800000 -2.379091e-05 -2.576318e-06 -4.460975e-07 -1.474372e-07 -3.201820e-05 -1.110694e-06 -5.227356e-05 -1.504492e-05
 7695.000000 -2.369308e-05 -2.572862e-06 -4.458078e-07 -1.467238e-07 -3.352415e-05 -2.004245e-06 -5.920397e-05 -1.381526e-05
 7695.200000 -2.372648e-05 -2.575917e-06 -4.466212e-07 -1.470176e-07 -3.035942e-05 -3.248681e-06 -4.838529e-05 -1.060804e-05
 7695.400000 -2.372654e-05 -2.576914e-06 -4.467318e-07 -1.469912e-07 -3.663047e-05 -6.565893e-07 -5.944996e-05 -1.514030e-05
 7695.600000 -2.377077e-05 -2.579224e-06 -4.470071e-07 -1.474415e-07 -3.355080e-05 4.554072e-06 -6.326518e-05 -1.672890e-05
 7695.800000 -2.381439e-05 -2.583551e-06 -4.474773e-07 -1.477941e-07 -2.742720e-05 3.784565e-06 -5.224394e-05 -1.218306e-05
 7696.000000 -2.375147e-05 -2.577921e-06 -4.464897e-07 -1.474726e-07 -1.739211e-05 -5.919009e-07 -4.602655e-05 -2.053390e-05
 7696.200000 -2.385842e-05 -2.587341e-06 -4.480389e-07 -1.479955e-07 -2.768986e-05 4.228537e-06 -4.461464e-05 -1.988076e-05
