# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.7656494482395
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Co 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 12.996110695
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:32:43
# Scan.end_time: 02/21/2022  11:33:08
# Scan.duration: 00:25
# Scan.transient_id: 196763
# Scan.uid: 01a14240-50b6-40fd-bb23-e6a8a0be71e6
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.556460e-05 -1.541115e-06 -2.616594e-07 -8.879035e-08 -2.427932e-05 -9.640467e-06 -3.718101e-05 -1.549435e-06
 7614.000000 -2.303490e-05 -2.293507e-06 -3.901722e-07 -1.317764e-07 -3.530845e-05 -1.855845e-05 -5.362644e-05 -8.489489e-06
 7619.000000 -2.309092e-05 -2.312387e-06 -3.940890e-07 -1.327057e-07 -3.392426e-05 -1.899437e-05 -5.076054e-05 -9.825865e-06
 7624.000000 -2.321894e-05 -2.335358e-06 -3.986003e-07 -1.340688e-07 -3.515422e-05 -1.415398e-05 -4.392890e-05 -5.903204e-06
 7629.000000 -2.331535e-05 -2.357599e-06 -4.029935e-07 -1.352351e-07 -3.065048e-05 -7.737251e-06 -4.122155e-05 -3.785898e-06
 7634.000000 -2.338712e-05 -2.377846e-06 -4.072107e-07 -1.362096e-07 -3.076346e-05 -1.759306e-05 -4.801483e-05 -1.083163e-05
 7639.000000 -2.344724e-05 -2.395813e-06 -4.109474e-07 -1.372037e-07 -2.236746e-05 -1.490918e-05 -5.562310e-05 -7.004025e-06
 7644.000000 -2.342219e-05 -2.406686e-06 -4.134762e-07 -1.376586e-07 -2.834840e-05 -8.155432e-06 -6.404035e-05 -1.114733e-05
 7649.000000 -2.348318e-05 -2.424894e-06 -4.171715e-07 -1.386346e-07 -3.692686e-05 -9.154238e-06 -6.479288e-05 -1.160982e-05
 7654.000000 -2.347328e-05 -2.437616e-06 -4.201036e-07 -1.391883e-07 -2.638097e-05 -6.685376e-06 -6.029990e-05 -9.074904e-06
 7659.000000 -2.355601e-05 -2.459288e-06 -4.244945e-07 -1.403733e-07 -2.434099e-05 -6.935232e-06 -5.905079e-05 -6.921973e-06
 7664.000000 -2.355082e-05 -2.471819e-06 -4.272330e-07 -1.409920e-07 -3.202573e-05 -1.682949e-05 -5.352108e-05 -6.726103e-06
 7669.000000 -2.356470e-05 -2.487069e-06 -4.304978e-07 -1.417345e-07 -2.849480e-05 -1.692805e-05 -5.380638e-05 -7.182690e-06
 7674.000000 -2.354167e-05 -2.501215e-06 -4.335526e-07 -1.421915e-07 -3.393534e-05 -1.924096e-05 -6.208265e-05 -2.155783e-05
 7679.000000 -2.356541e-05 -2.517472e-06 -4.368122e-07 -1.430634e-07 -3.655288e-05 -1.255556e-05 -5.727855e-05 -2.072446e-05
 7683.000000 -2.361532e-05 -2.533144e-06 -4.398255e-07 -1.439954e-07 -3.867296e-05 -1.903626e-05 -5.916712e-05 -2.319180e-05
