# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4160234200121
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Co 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 12.996110695
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:33:16
# Scan.end_time: 02/21/2022  11:33:40
# Scan.duration: 00:23
# Scan.transient_id: 196764
# Scan.uid: 11eb1247-d575-4820-bf27-8afffa1473a1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.569518e-05 -1.548011e-06 -2.625993e-07 -8.976799e-08 -2.681501e-05 -2.894399e-05 -2.746399e-05 -2.783447e-06
 7614.000000 -2.324963e-05 -2.303266e-06 -3.913341e-07 -1.334129e-07 -3.471787e-05 -4.131306e-05 -3.686177e-05 1.255242e-05
 7619.000000 -2.336159e-05 -2.327819e-06 -3.962237e-07 -1.345900e-07 -3.770787e-05 -3.955817e-05 -4.111665e-05 6.685920e-06
 7624.000000 -2.339330e-05 -2.344312e-06 -3.997640e-07 -1.353719e-07 -3.616452e-05 -3.664617e-05 -4.321205e-05 1.941668e-05
 7629.000000 -2.344057e-05 -2.361030e-06 -4.031748e-07 -1.362560e-07 -3.476381e-05 -3.697248e-05 -4.254230e-05 1.327249e-05
 7634.000000 -2.347789e-05 -2.377424e-06 -4.065612e-07 -1.371048e-07 -3.754001e-05 -3.980301e-05 -3.933945e-05 1.752561e-05
 7639.000000 -2.349950e-05 -2.391775e-06 -4.097472e-07 -1.378995e-07 -3.263349e-05 -4.233363e-05 -3.709912e-05 1.186580e-05
 7644.000000 -2.351185e-05 -2.406649e-06 -4.129627e-07 -1.385911e-07 -3.970041e-05 -3.806635e-05 -4.579850e-05 1.395283e-05
 7649.000000 -2.352803e-05 -2.421318e-06 -4.161536e-07 -1.392751e-07 -3.785507e-05 -3.149008e-05 -3.411378e-05 1.332729e-05
 7654.000000 -2.354418e-05 -2.435095e-06 -4.191745e-07 -1.400312e-07 -4.658202e-05 -3.116586e-05 -2.820642e-05 9.082346e-06
 7659.000000 -2.366705e-05 -2.459581e-06 -4.240344e-07 -1.414008e-07 -4.352779e-05 -3.239724e-05 -3.504336e-05 2.224786e-06
 7664.000000 -2.368615e-05 -2.474742e-06 -4.271530e-07 -1.421906e-07 -4.512563e-05 -2.313938e-05 -4.682429e-05 -2.415501e-07
 7669.000000 -2.371980e-05 -2.491519e-06 -4.305290e-07 -1.431053e-07 -4.179939e-05 -2.224734e-05 -4.389973e-05 4.816286e-06
 7674.000000 -2.374752e-05 -2.508594e-06 -4.341186e-07 -1.439288e-07 -4.084735e-05 -2.762434e-05 -4.987732e-05 1.181250e-05
 7679.000000 -2.377014e-05 -2.525919e-06 -4.376940e-07 -1.447418e-07 -4.139395e-05 -2.047797e-05 -6.273740e-05 1.255929e-05
 7683.000000 -2.378484e-05 -2.538738e-06 -4.401470e-07 -1.454176e-07 -4.327311e-05 -1.716558e-05 -5.479690e-05 1.249886e-05
 7686.000000 -2.377796e-05 -2.546026e-06 -4.415240e-07 -1.458728e-07 -4.602593e-05 -1.930446e-05 -5.131135e-05 1.046288e-05
 7688.000000 -2.381065e-05 -2.554082e-06 -4.429490e-07 -1.464658e-07 -5.785557e-05 -1.139129e-05 -5.026433e-05 1.296652e-06
 7689.000000 -2.377703e-05 -2.554457e-06 -4.429453e-07 -1.463697e-07 -6.151630e-05 -5.775773e-06 -4.485428e-05 -4.793781e-06
 7689.200000 -2.373941e-05 -2.550693e-06 -4.422444e-07 -1.462055e-07 -6.104016e-05 -6.951824e-06 -4.569979e-05 -2.886939e-06
 7689.400000 -2.376555e-05 -2.554982e-06 -4.430700e-07 -1.463541e-07 -5.786385e-05 -1.288484e-05 -4.406979e-05 -1.099679e-05
 7689.600000 -2.377994e-05 -2.558023e-06 -4.437427e-07 -1.465128e-07 -5.546000e-05 -8.565211e-06 -3.829468e-05 -8.329991e-06
 7689.800000 -2.381573e-05 -2.560094e-06 -4.437880e-07 -1.468163e-07 -4.716858e-05 -3.741740e-06 -3.982529e-05 -2.399659e-06
 7690.000000 -2.378139e-05 -2.556566e-06 -4.431919e-07 -1.465958e-07 -5.100574e-05 -8.584118e-06 -3.866749e-05 -1.634155e-06
 7690.200000 -2.367145e-05 -2.550063e-06 -4.422138e-07 -1.458203e-07 -5.591384e-05 2.853494e-06 -2.742088e-05 -2.816734e-06
 7690.400000 -2.368569e-05 -2.550070e-06 -4.420948e-07 -1.458595e-07 -5.424421e-05 4.873550e-06 -3.692268e-05 -6.185500e-06
 7690.600000 -2.375372e-05 -2.556917e-06 -4.434484e-07 -1.464510e-07 -5.436184e-05 -4.113268e-07 -2.923568e-05 -8.638513e-06
 7690.800000 -2.381619e-05 -2.562052e-06 -4.442634e-07 -1.469384e-07 -4.935934e-05 5.713763e-07 -3.743715e-05 -2.006873e-05
 7691.000000 -2.385143e-05 -2.567074e-06 -4.451702e-07 -1.471339e-07 -5.543243e-05 -3.069237e-06 -3.614690e-05 -1.743247e-05
 7691.200000 -2.385603e-05 -2.567122e-06 -4.452163e-07 -1.472142e-07 -5.957788e-05 -4.474866e-06 -4.131219e-05 -2.618814e-06
 7691.400000 -2.385409e-05 -2.567549e-06 -4.453719e-07 -1.472446e-07 -6.752039e-05 -6.071816e-06 -3.327232e-05 3.189339e-06
 7691.600000 -2.385210e-05 -2.568997e-06 -4.454736e-07 -1.472935e-07 -5.791229e-05 1.211513e-06 -3.751109e-05 3.358364e-06
