# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.10172790372167
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Co 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 12.996110695
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:33:48
# Scan.end_time: 02/21/2022  11:34:11
# Scan.duration: 00:23
# Scan.transient_id: 196765
# Scan.uid: a4315d9e-f1a1-44ce-816d-f1f61709915d
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.566249e-05 -1.545287e-06 -2.621329e-07 -8.949296e-08 -2.169760e-05 -3.057673e-05 -2.795654e-05 -6.563566e-06
 7614.000000 -2.311472e-05 -2.293643e-06 -3.896711e-07 -1.324607e-07 -3.467669e-05 -3.190854e-05 -5.245435e-05 -2.825286e-07
 7619.000000 -2.324146e-05 -2.318533e-06 -3.946029e-07 -1.338545e-07 -3.582070e-05 -3.981873e-05 -5.685313e-05 -1.095328e-05
 7624.000000 -2.326466e-05 -2.334299e-06 -3.980066e-07 -1.345494e-07 -3.895014e-05 -5.050362e-05 -6.223697e-05 -9.506963e-06
 7629.000000 -2.335797e-05 -2.354956e-06 -4.021518e-07 -1.356612e-07 -4.856718e-05 -4.603518e-05 -5.269729e-05 -1.985612e-06
 7634.000000 -2.341670e-05 -2.372820e-06 -4.058151e-07 -1.366389e-07 -4.565592e-05 -3.425590e-05 -5.487838e-05 -4.794658e-06
 7639.000000 -2.337082e-05 -2.383571e-06 -4.084267e-07 -1.369208e-07 -4.427889e-05 -3.502837e-05 -4.482690e-05 -1.160560e-05
 7644.000000 -2.343126e-05 -2.402923e-06 -4.124685e-07 -1.378806e-07 -4.340323e-05 -3.821089e-05 -3.965368e-05 -1.250786e-05
 7649.000000 -2.351946e-05 -2.422667e-06 -4.164043e-07 -1.391055e-07 -4.241766e-05 -4.947903e-05 -4.901021e-05 -1.535475e-05
 7654.000000 -2.336729e-05 -2.422489e-06 -4.170810e-07 -1.387085e-07 -4.589071e-05 -4.070991e-05 -4.875544e-05 -8.323630e-06
 7659.000000 -2.348033e-05 -2.446968e-06 -4.219523e-07 -1.400086e-07 -3.628679e-05 -3.996582e-05 -4.845507e-05 -6.613104e-06
 7664.000000 -2.354445e-05 -2.467169e-06 -4.261491e-07 -1.410408e-07 -3.477117e-05 -4.441714e-05 -5.030448e-05 -1.454418e-05
 7669.000000 -2.358482e-05 -2.484458e-06 -4.296540e-07 -1.419764e-07 -3.242128e-05 -4.972996e-05 -4.930124e-05 -1.654700e-05
 7674.000000 -2.363737e-05 -2.503436e-06 -4.334439e-07 -1.429589e-07 -3.983777e-05 -5.161115e-05 -4.487527e-05 -2.531513e-05
 7679.000000 -2.364577e-05 -2.518931e-06 -4.365777e-07 -1.437118e-07 -3.537655e-05 -4.165208e-05 -4.807082e-05 -4.829573e-05
 7683.000000 -2.366893e-05 -2.535102e-06 -4.398729e-07 -1.443464e-07 -3.413924e-05 -4.276731e-05 -5.176417e-05 -2.885067e-05
 7686.000000 -2.371395e-05 -2.546830e-06 -4.420098e-07 -1.451312e-07 -3.566114e-05 -4.391252e-05 -4.012008e-05 -1.988983e-05
 7688.000000 -2.369864e-05 -2.551674e-06 -4.430155e-07 -1.453580e-07 -3.482146e-05 -3.801726e-05 -5.172675e-05 -2.105448e-05
 7689.000000 -2.359817e-05 -2.546764e-06 -4.423460e-07 -1.448096e-07 -3.602593e-05 -4.262723e-05 -5.975519e-05 -1.723279e-05
 7689.200000 -2.354852e-05 -2.543600e-06 -4.419039e-07 -1.445160e-07 -3.300607e-05 -5.076228e-05 -6.022145e-05 -1.535854e-05
 7689.400000 -2.351050e-05 -2.541613e-06 -4.413686e-07 -1.442690e-07 -3.947397e-05 -5.009552e-05 -5.661738e-05 -2.126583e-05
 7689.600000 -2.350138e-05 -2.541716e-06 -4.414989e-07 -1.442956e-07 -3.871409e-05 -5.213764e-05 -6.339434e-05 -2.181481e-05
 7689.800000 -2.350785e-05 -2.541657e-06 -4.413704e-07 -1.443990e-07 -4.499977e-05 -5.167205e-05 -5.333321e-05 -2.075298e-05
 7690.000000 -2.360683e-05 -2.553994e-06 -4.434876e-07 -1.451820e-07 -3.706209e-05 -4.187488e-05 -5.472751e-05 -2.820810e-05
 7690.200000 -2.368421e-05 -2.557962e-06 -4.440046e-07 -1.457209e-07 -4.245842e-05 -3.772369e-05 -5.075345e-05 -3.216004e-05
 7690.400000 -2.370897e-05 -2.558620e-06 -4.440691e-07 -1.459321e-07 -4.605326e-05 -5.117979e-05 -4.428519e-05 -3.099328e-05
 7690.600000 -2.371570e-05 -2.561862e-06 -4.447961e-07 -1.458664e-07 -3.892517e-05 -4.896371e-05 -5.623891e-05 -3.490381e-05
 7690.800000 -2.378385e-05 -2.567259e-06 -4.454054e-07 -1.463617e-07 -3.526027e-05 -5.275866e-05 -5.506598e-05 -2.518942e-05
 7691.000000 -2.379277e-05 -2.568249e-06 -4.456992e-07 -1.464927e-07 -3.660814e-05 -4.787549e-05 -5.037516e-05 -2.245364e-05
 7691.200000 -2.378517e-05 -2.568695e-06 -4.458657e-07 -1.464270e-07 -3.720078e-05 -4.924626e-05 -4.175193e-05 -3.129472e-05
 7691.400000 -2.378677e-05 -2.568661e-06 -4.457784e-07 -1.465433e-07 -3.534556e-05 -4.694559e-05 -2.564558e-05 -2.414768e-05
 7691.600000 -2.370561e-05 -2.565605e-06 -4.452744e-07 -1.460107e-07 -3.710658e-05 -3.948474e-05 -2.849762e-05 -2.410036e-05
 7691.800000 -2.365576e-05 -2.559318e-06 -4.443112e-07 -1.456857e-07 -3.183233e-05 -3.918333e-05 -4.966947e-05 -4.172450e-05
 7692.000000 -2.365162e-05 -2.560529e-06 -4.444995e-07 -1.457250e-07 -2.941913e-05 -4.415858e-05 -4.596089e-05 -3.822262e-05
 7692.200000 -2.362262e-05 -2.562011e-06 -4.448744e-07 -1.455632e-07 -3.208837e-05 -4.872698e-05 -3.873304e-05 -3.411901e-05
 7692.400000 -2.366779e-05 -2.563669e-06 -4.448784e-07 -1.460367e-07 -4.706446e-05 -4.685589e-05 -4.497262e-05 -4.057131e-05
 7692.600000 -2.367618e-05 -2.564892e-06 -4.450282e-07 -1.460337e-07 -3.041807e-05 -4.766625e-05 -4.319755e-05 -4.071171e-05
