# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0033332066657
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Mn 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:48:44
# Scan.end_time: 02/21/2022  11:49:08
# Scan.duration: 00:23
# Scan.transient_id: 196786
# Scan.uid: f01dd4cc-c8a0-4023-84ff-37f872ccdef3
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.454196e-06 -1.653719e-07 -1.448439e-08 -2.316463e-09 -3.772771e-05 -1.879145e-05 -1.429616e-05 -1.833714e-05
 6444.000000 -1.285590e-05 -2.529701e-07 -2.224924e-08 -3.547465e-09 -5.244865e-05 -3.140435e-05 -2.542934e-05 -3.653567e-06
 6449.000000 -1.295692e-05 -2.578142e-07 -2.277150e-08 -3.606640e-09 -6.297016e-05 -3.652270e-05 -2.381820e-05 -1.097452e-05
 6454.000000 -1.295515e-05 -2.602381e-07 -2.306081e-08 -3.650218e-09 -6.201448e-05 -2.896355e-05 -2.066207e-05 -1.936363e-05
 6459.000000 -1.305165e-05 -2.655084e-07 -2.355898e-08 -3.714064e-09 -6.210353e-05 -3.078968e-05 -2.455304e-05 -5.427278e-06
 6464.000000 -1.313193e-05 -2.704430e-07 -2.409228e-08 -3.779251e-09 -6.221743e-05 -3.929785e-05 -2.357924e-05 -3.631109e-06
 6469.000000 -1.316674e-05 -2.744249e-07 -2.452203e-08 -3.832964e-09 -5.196309e-05 -4.166548e-05 -2.597576e-05 -1.261183e-05
 6474.000000 -1.325155e-05 -2.795146e-07 -2.503147e-08 -3.902879e-09 -5.541783e-05 -3.520916e-05 -2.381332e-05 -3.689717e-05
 6479.000000 -1.330193e-05 -2.840405e-07 -2.557923e-08 -3.959769e-09 -5.616880e-05 -3.589656e-05 -2.330655e-05 -5.659786e-05
 6484.000000 -1.336232e-05 -2.881939e-07 -2.607364e-08 -4.016928e-09 -4.977092e-05 -3.601779e-05 -2.482628e-05 -6.605052e-05
 6489.000000 -1.345802e-05 -2.931059e-07 -2.658972e-08 -4.097666e-09 -5.431403e-05 -3.703135e-05 -2.212180e-05 -6.558747e-05
 6494.000000 -1.351188e-05 -2.983627e-07 -2.713330e-08 -4.164620e-09 -6.449146e-05 -4.448948e-05 -1.731809e-05 -6.125722e-05
 6499.000000 -1.356489e-05 -3.026910e-07 -2.763715e-08 -4.234892e-09 -5.309130e-05 -3.621496e-05 -1.184516e-05 -6.922792e-05
