# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.6741523669449
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Mn 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:46:32
# Scan.end_time: 02/21/2022  11:46:55
# Scan.duration: 00:22
# Scan.transient_id: 196782
# Scan.uid: 94da7f50-f24c-4dcb-8507-33a0349c37ac
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.422938e-06 -1.644642e-07 -1.442020e-08 -2.270647e-09 -5.662402e-05 -2.187649e-05 -2.649948e-05 -4.470581e-05
 6444.000000 -1.278396e-05 -2.517403e-07 -2.214879e-08 -3.473297e-09 -7.744677e-05 -4.784837e-05 -4.597055e-05 -7.038056e-05
 6449.000000 -1.289852e-05 -2.567700e-07 -2.265879e-08 -3.543116e-09 -7.558113e-05 -5.241884e-05 -3.696427e-05 -7.027240e-05
 6454.000000 -1.290354e-05 -2.588849e-07 -2.298244e-08 -3.583992e-09 -7.488215e-05 -4.641083e-05 -4.005712e-05 -6.540314e-05
 6459.000000 -1.295882e-05 -2.629053e-07 -2.340985e-08 -3.631936e-09 -7.390459e-05 -3.543416e-05 -3.314276e-05 -5.876728e-05
 6464.000000 -1.300370e-05 -2.683375e-07 -2.398345e-08 -3.688766e-09 -6.991471e-05 -3.207503e-05 -4.082931e-05 -6.483469e-05
 6469.000000 -1.309332e-05 -2.712318e-07 -2.432804e-08 -3.756286e-09 -6.726230e-05 -3.690351e-05 -3.521409e-05 -7.035454e-05
 6474.000000 -1.314542e-05 -2.762929e-07 -2.483739e-08 -3.804848e-09 -6.985372e-05 -4.227984e-05 -3.899977e-05 -6.694648e-05
 6479.000000 -1.321574e-05 -2.800830e-07 -2.531317e-08 -3.877124e-09 -7.677151e-05 -4.185184e-05 -5.233920e-05 -5.808549e-05
 6484.000000 -1.325615e-05 -2.838557e-07 -2.576337e-08 -3.930316e-09 -7.686950e-05 -4.093773e-05 -5.117623e-05 -5.800657e-05
 6489.000000 -1.332797e-05 -2.890936e-07 -2.634872e-08 -3.997996e-09 -8.687727e-05 -3.864281e-05 -4.130618e-05 -5.950967e-05
 6494.000000 -1.340371e-05 -2.939869e-07 -2.684363e-08 -4.079052e-09 -8.603859e-05 -3.771378e-05 -4.510397e-05 -6.807768e-05
 6499.000000 -1.345208e-05 -2.983669e-07 -2.732655e-08 -4.142473e-09 -8.330859e-05 -4.571955e-05 -4.441656e-05 -6.899672e-05
 6504.000000 -1.352288e-05 -3.022138e-07 -2.775678e-08 -4.217376e-09 -7.321382e-05 -4.720343e-05 -3.198657e-05 -6.913472e-05
 6509.000000 -1.352957e-05 -3.044619e-07 -2.812195e-08 -4.282517e-09 -6.872552e-05 -4.195587e-05 -3.099179e-05 -4.027093e-05
 6513.000000 -1.350547e-05 -3.061511e-07 -2.836351e-08 -4.326803e-09 -8.141535e-05 -3.509029e-05 -3.369014e-05 -4.062145e-05
 6516.000000 -1.363304e-05 -3.088407e-07 -2.871460e-08 -4.391731e-09 -8.660055e-05 -3.946879e-05 -3.167438e-05 -7.519578e-05
 6518.000000 -1.364823e-05 -3.099322e-07 -2.890227e-08 -4.421881e-09 -8.630611e-05 -4.054156e-05 -2.753284e-05 -8.104050e-05
 6519.000000 -1.362169e-05 -3.106900e-07 -2.899835e-08 -4.430970e-09 -8.609582e-05 -4.939396e-05 -2.539067e-05 -7.605401e-05
 6519.200000 -1.362983e-05 -3.115472e-07 -2.908000e-08 -4.435259e-09 -8.234947e-05 -5.847811e-05 -2.720234e-05 -6.164097e-05
 6519.400000 -1.359984e-05 -3.104388e-07 -2.912092e-08 -4.434260e-09 -8.488139e-05 -5.828119e-05 -3.167641e-05 -5.997434e-05
 6519.600000 -1.361071e-05 -3.115539e-07 -2.903465e-08 -4.435790e-09 -9.029079e-05 -5.282737e-05 -4.570441e-05 -7.999105e-05
 6519.800000 -1.360501e-05 -3.118010e-07 -2.910819e-08 -4.438612e-09 -8.466454e-05 -5.382327e-05 -3.461215e-05 -8.806777e-05
 6520.000000 -1.361192e-05 -3.118256e-07 -2.907333e-08 -4.446000e-09 -7.338454e-05 -5.713140e-05 -3.118965e-05 -8.343000e-05
 6520.200000 -1.361983e-05 -3.120048e-07 -2.915642e-08 -4.448381e-09 -6.595848e-05 -5.296541e-05 -2.749829e-05 -9.426587e-05
 6520.400000 -1.364371e-05 -3.102900e-07 -2.900371e-08 -4.456722e-09 -6.906518e-05 -5.967566e-05 -3.452205e-05 -8.896263e-05
 6520.600000 -1.366394e-05 -3.106115e-07 -2.902721e-08 -4.454393e-09 -7.534694e-05 -6.426905e-05 -5.001396e-05 -8.917224e-05
 6520.800000 -1.364916e-05 -3.108261e-07 -2.911283e-08 -4.462638e-09 -8.395338e-05 -6.597201e-05 -4.163621e-05 -8.849570e-05
 6521.000000 -1.365404e-05 -3.102796e-07 -2.901133e-08 -4.468061e-09 -7.718590e-05 -4.957810e-05 -5.306414e-05 -8.639490e-05
 6521.200000 -1.364343e-05 -3.104254e-07 -2.901562e-08 -4.490512e-09 -8.163155e-05 -4.300285e-05 -4.413656e-05 -7.572078e-05
 6521.400000 -1.363040e-05 -3.096333e-07 -2.899519e-08 -4.480064e-09 -7.888561e-05 -3.932155e-05 -2.147565e-05 -7.156850e-05
 6521.600000 -1.361541e-05 -3.111756e-07 -2.910066e-08 -4.459162e-09 -7.987786e-05 -4.230782e-05 -1.765695e-05 -6.996038e-05
 6521.800000 -1.360948e-05 -3.093711e-07 -2.904279e-08 -4.438951e-09 -7.773228e-05 -4.395470e-05 -4.056324e-05 -6.061784e-05
 6522.000000 -1.361386e-05 -3.094642e-07 -2.897133e-08 -4.437256e-09 -7.744861e-05 -4.214063e-05 -5.048297e-05 -7.146312e-05
 6522.200000 -1.362121e-05 -3.099926e-07 -2.905427e-08 -4.459269e-09 -7.667513e-05 -3.760975e-05 -6.224849e-05 -8.056458e-05
 6522.400000 -1.364129e-05 -3.099579e-07 -2.913053e-08 -4.491603e-09 -8.154578e-05 -4.985277e-05 -4.434886e-05 -8.218869e-05
