# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.6839788201436
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Mn 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:49:17
# Scan.end_time: 02/21/2022  11:49:39
# Scan.duration: 00:22
# Scan.transient_id: 196787
# Scan.uid: 6966c07f-48ae-4059-990b-89f670b89f78
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.422242e-06 -1.660704e-07 -1.454328e-08 -2.298767e-09 -4.491801e-05 -3.025842e-05 -2.530908e-05 -3.929806e-05
 6444.000000 -1.279765e-05 -2.537422e-07 -2.231892e-08 -3.524950e-09 -6.363984e-05 -4.981914e-05 -4.155795e-05 -6.551710e-05
 6449.000000 -1.289676e-05 -2.585693e-07 -2.282583e-08 -3.596195e-09 -7.173586e-05 -5.139446e-05 -3.605105e-05 -7.226139e-05
 6454.000000 -1.292180e-05 -2.618500e-07 -2.319435e-08 -3.638483e-09 -7.490162e-05 -5.351593e-05 -2.866977e-05 -7.170655e-05
 6459.000000 -1.304325e-05 -2.663126e-07 -2.370686e-08 -3.716240e-09 -7.001434e-05 -5.766953e-05 -3.620691e-05 -6.685888e-05
 6464.000000 -1.310290e-05 -2.701961e-07 -2.410494e-08 -3.775052e-09 -7.404061e-05 -5.445804e-05 -3.883745e-05 -6.558820e-05
 6469.000000 -1.312415e-05 -2.741813e-07 -2.455778e-08 -3.822231e-09 -7.627718e-05 -4.593419e-05 -3.617634e-05 -5.860922e-05
 6474.000000 -1.322124e-05 -2.794770e-07 -2.509591e-08 -3.892671e-09 -7.500239e-05 -5.096219e-05 -3.100537e-05 -5.911902e-05
 6479.000000 -1.327194e-05 -2.840996e-07 -2.563328e-08 -3.955511e-09 -7.254081e-05 -5.484243e-05 -2.668024e-05 -6.434615e-05
 6484.000000 -1.334171e-05 -2.885552e-07 -2.612193e-08 -4.017606e-09 -7.130972e-05 -5.489592e-05 -1.536973e-05 -6.014179e-05
 6489.000000 -1.342258e-05 -2.927769e-07 -2.656974e-08 -4.093139e-09 -6.477518e-05 -5.168606e-05 -2.348682e-05 -5.622510e-05
 6494.000000 -1.345393e-05 -2.970244e-07 -2.700615e-08 -4.146487e-09 -6.336525e-05 -4.832418e-05 -2.279869e-05 -5.821619e-05
 6499.000000 -1.348026e-05 -3.010284e-07 -2.751128e-08 -4.203727e-09 -5.838102e-05 -4.405576e-05 -3.128579e-05 -6.466886e-05
 6504.000000 -1.349660e-05 -3.055622e-07 -2.803235e-08 -4.259111e-09 -5.690171e-05 -3.552132e-05 -2.925405e-05 -6.656600e-05
 6509.000000 -1.354970e-05 -3.092166e-07 -2.846055e-08 -4.340563e-09 -6.116954e-05 -3.794308e-05 -3.182926e-05 -3.391060e-05
 6513.000000 -1.352620e-05 -3.107456e-07 -2.867861e-08 -4.388411e-09 -6.518688e-05 -4.133051e-05 -2.377767e-05 -2.373449e-05
 6516.000000 -1.363854e-05 -3.161340e-07 -2.924957e-08 -4.444619e-09 -5.868104e-05 -4.827194e-05 -2.037387e-05 -1.759768e-05
 6518.000000 -1.371008e-05 -3.171751e-07 -2.935944e-08 -4.498776e-09 -6.135119e-05 -5.493454e-05 -2.053052e-05 -3.695191e-05
 6519.000000 -1.371973e-05 -3.182780e-07 -2.951318e-08 -4.527961e-09 -4.984155e-05 -5.299152e-05 -1.078772e-05 -5.589098e-05
 6519.200000 -1.374179e-05 -3.178138e-07 -2.949097e-08 -4.549203e-09 -4.628405e-05 -4.489188e-05 -1.090892e-05 -5.996395e-05
 6519.400000 -1.371005e-05 -3.183030e-07 -2.950912e-08 -4.521695e-09 -5.110907e-05 -4.197224e-05 -1.438759e-05 -6.850150e-05
 6519.600000 -1.373725e-05 -3.178503e-07 -2.950576e-08 -4.532708e-09 -5.525723e-05 -3.931817e-05 -8.349788e-06 -6.015254e-05
