# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.37240556797224
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Mn 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.7960959635
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:47:04
# Scan.end_time: 02/21/2022  11:47:28
# Scan.duration: 00:24
# Scan.transient_id: 196783
# Scan.uid: 17dab50b-ccb1-472d-8efe-aecb4d7afb5b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.450689e-06 -1.671234e-07 -1.463630e-08 -2.294544e-09 -4.099224e-05 -1.523013e-05 -2.584336e-05 -2.300260e-05
 6444.000000 -1.289411e-05 -2.559339e-07 -2.249008e-08 -3.525703e-09 -5.942179e-05 -1.868303e-05 -4.270741e-05 -3.954716e-05
 6449.000000 -1.294515e-05 -2.610169e-07 -2.304176e-08 -3.574654e-09 -7.157550e-05 -1.468992e-05 -4.077715e-05 -3.721054e-05
 6454.000000 -1.293562e-05 -2.637525e-07 -2.337497e-08 -3.608174e-09 -6.629021e-05 -1.700491e-05 -4.496812e-05 -3.966370e-05
 6459.000000 -1.306905e-05 -2.688565e-07 -2.387315e-08 -3.695993e-09 -6.669606e-05 -1.858585e-05 -4.874630e-05 -3.812134e-05
 6464.000000 -1.314871e-05 -2.735825e-07 -2.437139e-08 -3.759111e-09 -6.606601e-05 -1.871740e-05 -3.800504e-05 -4.209353e-05
 6469.000000 -1.318190e-05 -2.766591e-07 -2.475100e-08 -3.805840e-09 -7.599300e-05 -9.054963e-06 -5.013060e-05 -3.970745e-05
 6474.000000 -1.325195e-05 -2.810125e-07 -2.524331e-08 -3.872669e-09 -8.165508e-05 -1.303528e-05 -4.983874e-05 -3.624765e-05
 6479.000000 -1.334526e-05 -2.851980e-07 -2.571027e-08 -3.945383e-09 -8.054377e-05 -1.911551e-05 -4.056729e-05 -3.688340e-05
 6484.000000 -1.335897e-05 -2.888503e-07 -2.613123e-08 -3.990947e-09 -8.086659e-05 -2.003840e-05 -4.011760e-05 -3.729561e-05
 6489.000000 -1.342367e-05 -2.928849e-07 -2.663824e-08 -4.056400e-09 -7.772765e-05 -5.316222e-06 -5.591263e-05 -3.978990e-05
