# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.7271724423918
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Mn 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:47:37
# Scan.end_time: 02/21/2022  11:48:02
# Scan.duration: 00:25
# Scan.transient_id: 196784
# Scan.uid: 3b29b3bf-afa8-4055-8d73-e986d2b52cc7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.388525e-06 -1.630688e-07 -1.437555e-08 -2.280509e-09 -4.620265e-05 -4.035512e-05 -2.212791e-05 -1.116171e-05
 6444.000000 -1.273378e-05 -2.492848e-07 -2.203700e-08 -3.491768e-09 -6.568517e-05 -5.626697e-05 -3.302345e-05 -5.239776e-06
 6449.000000 -1.282524e-05 -2.528513e-07 -2.249242e-08 -3.550772e-09 -6.004414e-05 -5.420147e-05 -2.590631e-05 -6.081950e-06
 6454.000000 -1.284775e-05 -2.565556e-07 -2.286584e-08 -3.598172e-09 -5.179480e-05 -4.619975e-05 -2.025735e-05 -9.874689e-06
 6459.000000 -1.293731e-05 -2.613397e-07 -2.338988e-08 -3.666670e-09 -4.613694e-05 -4.983101e-05 -2.217421e-05 -4.398523e-06
 6464.000000 -1.304221e-05 -2.666450e-07 -2.391188e-08 -3.741863e-09 -5.045276e-05 -5.967932e-05 -2.102321e-05 -7.501972e-06
 6469.000000 -1.310453e-05 -2.709537e-07 -2.437516e-08 -3.800349e-09 -5.418342e-05 -6.658099e-05 -3.310831e-05 -8.648822e-06
 6474.000000 -1.317001e-05 -2.761621e-07 -2.490111e-08 -3.850148e-09 -5.205829e-05 -6.241133e-05 -3.048733e-05 -8.849506e-06
 6479.000000 -1.322174e-05 -2.811271e-07 -2.543292e-08 -3.912178e-09 -4.651949e-05 -5.166203e-05 -2.579707e-05 -2.113920e-06
 6484.000000 -1.329541e-05 -2.858803e-07 -2.589175e-08 -3.981677e-09 -5.164027e-05 -5.796696e-05 -2.702463e-05 6.649368e-07
 6489.000000 -1.339255e-05 -2.906359e-07 -2.644293e-08 -4.057667e-09 -5.654743e-05 -6.078848e-05 -2.638596e-05 -1.284349e-05
