# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.3814745226324
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Mn 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796115037
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:48:11
# Scan.end_time: 02/21/2022  11:48:35
# Scan.duration: 00:23
# Scan.transient_id: 196785
# Scan.uid: ba191306-f9e3-44ee-b1d8-4add313c381a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.436425e-06 -1.645107e-07 -1.442872e-08 -2.305402e-09 -4.831324e-05 -3.421092e-05 -6.432031e-06 -4.101681e-05
 6444.000000 -1.279875e-05 -2.524821e-07 -2.222091e-08 -3.515669e-09 -6.547145e-05 -4.918784e-05 -1.728901e-05 -5.400482e-05
 6449.000000 -1.291632e-05 -2.567733e-07 -2.265794e-08 -3.588530e-09 -6.325262e-05 -5.090813e-05 -1.493189e-05 -4.828529e-05
 6454.000000 -1.293702e-05 -2.586204e-07 -2.292731e-08 -3.638744e-09 -6.409633e-05 -4.339423e-05 -1.576477e-06 -5.349339e-05
 6459.000000 -1.299154e-05 -2.634763e-07 -2.344403e-08 -3.691501e-09 -7.160568e-05 -3.217266e-05 -2.681219e-06 -4.802153e-05
 6464.000000 -1.308798e-05 -2.679229e-07 -2.394519e-08 -3.760715e-09 -7.061150e-05 -2.311629e-05 -5.933823e-06 -3.070255e-05
 6469.000000 -1.309628e-05 -2.722725e-07 -2.444287e-08 -3.796342e-09 -7.566304e-05 -2.884451e-05 -1.127098e-05 -3.297485e-05
 6474.000000 -1.317312e-05 -2.772784e-07 -2.497633e-08 -3.864251e-09 -7.583357e-05 -3.968459e-05 -1.348900e-05 -4.082107e-05
 6479.000000 -1.328602e-05 -2.814279e-07 -2.543155e-08 -3.946332e-09 -6.578225e-05 -4.484191e-05 -1.075148e-05 -5.392613e-05
 6484.000000 -1.331892e-05 -2.858942e-07 -2.594331e-08 -3.998490e-09 -6.313922e-05 -3.424267e-05 -8.059503e-06 -5.137272e-05
 6489.000000 -1.334718e-05 -2.914159e-07 -2.651976e-08 -4.051321e-09 -6.568743e-05 -3.422688e-05 -5.155891e-06 -5.083689e-05
