# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4878803372347
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.0300913505
# ISS.sample_y_position: 12.096108524
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:39:24
# Scan.end_time: 02/21/2022  11:39:48
# Scan.duration: 00:24
# Scan.transient_id: 196772
# Scan.uid: 50860ca6-9749-47d0-8f68-ade1735b8cf3
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.817701e-05 -3.487745e-06 -2.196180e-07 -2.634814e-07 -4.065397e-05 -9.293894e-06 -1.302265e-05 -5.052965e-05
 8238.000000 -2.613582e-05 -5.031371e-06 -3.171910e-07 -3.789241e-07 -5.864950e-05 -1.176507e-05 -2.597688e-05 -6.912799e-05
 8243.000000 -2.618168e-05 -5.061795e-06 -3.194069e-07 -3.797249e-07 -6.492490e-05 -1.538713e-05 -2.331966e-05 -6.597581e-05
 8248.000000 -2.619692e-05 -5.089834e-06 -3.212076e-07 -3.797254e-07 -7.261307e-05 -2.462656e-05 -2.861998e-05 -7.387817e-05
 8253.000000 -2.622006e-05 -5.119216e-06 -3.228202e-07 -3.797256e-07 -7.128948e-05 -2.538607e-05 -2.599648e-05 -7.648377e-05
 8258.000000 -2.627546e-05 -5.153779e-06 -3.248776e-07 -3.797262e-07 -6.171261e-05 -2.891155e-05 -2.672226e-05 -8.184899e-05
 8263.000000 -2.622031e-05 -5.156420e-06 -3.252220e-07 -3.797280e-07 -5.840873e-05 -2.757688e-05 -3.005981e-05 -7.550303e-05
 8268.000000 -2.626122e-05 -5.190102e-06 -3.279351e-07 -3.797278e-07 -5.944009e-05 -3.093931e-05 -2.978254e-05 -5.706910e-05
 8273.000000 -2.626543e-05 -5.213774e-06 -3.305635e-07 -3.797278e-07 -5.579799e-05 -2.813864e-05 -3.449306e-05 -2.986005e-05
 8278.000000 -2.631080e-05 -5.247806e-06 -3.342943e-07 -3.797279e-07 -4.982616e-05 -2.392408e-05 -3.640962e-05 -2.168468e-05
 8283.000000 -2.628863e-05 -5.261888e-06 -3.369910e-07 -3.797276e-07 -4.590083e-05 -3.137537e-05 -3.050600e-05 -1.859494e-05
 8288.000000 -2.631767e-05 -5.286461e-06 -3.403094e-07 -3.797273e-07 -4.847241e-05 -2.552615e-05 -2.567568e-05 -2.067964e-05
 8293.000000 -2.635439e-05 -5.317975e-06 -3.440299e-07 -3.797271e-07 -5.509346e-05 -2.890475e-05 -3.057031e-05 -2.619702e-05
 8298.000000 -2.632184e-05 -5.332000e-06 -3.465564e-07 -3.797282e-07 -5.837851e-05 -4.071480e-05 -3.117985e-05 -2.513907e-05
 8303.000000 -2.630058e-05 -5.344569e-06 -3.490219e-07 -3.797298e-07 -5.555427e-05 -2.925505e-05 -3.872798e-05 -2.593992e-05
 8307.000000 -2.633686e-05 -5.366273e-06 -3.516294e-07 -3.797312e-07 -4.912521e-05 -3.202843e-05 -4.165368e-05 -3.546763e-05
 8310.000000 -2.638746e-05 -5.384737e-06 -3.537420e-07 -3.797318e-07 -4.841116e-05 -3.429320e-05 -5.056189e-05 -3.007111e-05
 8312.000000 -2.639867e-05 -5.384495e-06 -3.544153e-07 -3.797310e-07 -4.783668e-05 -3.328157e-05 -4.226150e-05 -2.262356e-05
 8313.000000 -2.640629e-05 -5.389730e-06 -3.549462e-07 -3.797342e-07 -4.977750e-05 -2.093241e-05 -4.455096e-05 -2.004929e-05
 8313.200000 -2.638694e-05 -5.381713e-06 -3.545635e-07 -3.797210e-07 -4.750124e-05 -2.125895e-05 -4.892104e-05 -1.152031e-05
 8313.400000 -2.637740e-05 -5.383835e-06 -3.546293e-07 -3.797454e-07 -5.204878e-05 -2.566785e-05 -4.840567e-05 -2.194596e-05
 8313.600000 -2.640442e-05 -5.388383e-06 -3.549914e-07 -3.797199e-07 -5.348885e-05 -2.803618e-05 -5.826516e-05 -2.756916e-05
 8313.800000 -2.644684e-05 -5.400412e-06 -3.558314e-07 -3.797343e-07 -5.475564e-05 -3.316611e-05 -6.234590e-05 -2.696676e-05
