# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.0829314389046
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 13.896112866
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:35:30
# Scan.end_time: 02/21/2022  11:35:52
# Scan.duration: 00:22
# Scan.transient_id: 196766
# Scan.uid: fe4b05ec-22e4-4835-9bc5-d3484f58b545
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.797402e-05 -1.881410e-06 -1.162887e-07 -2.626591e-07 -3.093176e-05 -2.777573e-05 -4.189289e-05 -3.034287e-05
 8238.000000 -2.598557e-05 -2.738197e-06 -1.693592e-07 -3.788645e-07 -3.990879e-05 -3.191869e-05 -6.518824e-05 -5.443493e-05
 8243.000000 -2.611738e-05 -2.769469e-06 -1.713945e-07 -3.796790e-07 -4.588846e-05 -2.818084e-05 -6.065255e-05 -5.823759e-05
 8248.000000 -2.609849e-05 -2.793309e-06 -1.729042e-07 -3.796795e-07 -3.833117e-05 -3.171923e-05 -5.551299e-05 -4.999899e-05
 8253.000000 -2.621349e-05 -2.823345e-06 -1.746855e-07 -3.796793e-07 -4.350704e-05 -2.601475e-05 -4.474722e-05 -4.612019e-05
 8258.000000 -2.608286e-05 -2.837822e-06 -1.754699e-07 -3.796794e-07 -4.756765e-05 -2.867955e-05 -4.390903e-05 -5.447079e-05
 8263.000000 -2.591505e-05 -2.846054e-06 -1.759670e-07 -3.796811e-07 -4.560081e-05 -3.576274e-05 -5.336858e-05 -3.961481e-05
 8268.000000 -2.612242e-05 -2.887365e-06 -1.788310e-07 -3.796806e-07 -3.391722e-05 -3.899128e-05 -5.353533e-05 -2.321768e-05
 8273.000000 -2.620907e-05 -2.910474e-06 -1.808694e-07 -3.796808e-07 -3.173163e-05 -3.501842e-05 -4.844942e-05 -2.445440e-05
 8278.000000 -2.614632e-05 -2.916851e-06 -1.822059e-07 -3.796809e-07 -3.670694e-05 -3.936705e-05 -4.575864e-05 -2.731911e-05
 8283.000000 -2.618088e-05 -2.928865e-06 -1.839765e-07 -3.796804e-07 -2.589952e-05 -3.474213e-05 -3.810221e-05 -2.652274e-05
 8288.000000 -2.616290e-05 -2.944844e-06 -1.859235e-07 -3.796809e-07 -2.088524e-05 -4.011905e-05 -3.910379e-05 -2.297603e-05
 8293.000000 -2.628929e-05 -2.974301e-06 -1.886668e-07 -3.796808e-07 -2.654685e-05 -3.619814e-05 -3.959745e-05 -1.463088e-05
 8298.000000 -2.629384e-05 -2.989457e-06 -1.906267e-07 -3.796803e-07 -2.920202e-05 -2.810391e-05 -4.661110e-05 -2.040415e-05
 8303.000000 -2.633393e-05 -3.014334e-06 -1.930966e-07 -3.796808e-07 -3.672935e-05 -2.688517e-05 -4.710415e-05 -2.030832e-05
 8307.000000 -2.637718e-05 -3.033081e-06 -1.949201e-07 -3.796821e-07 -3.651024e-05 -3.557623e-05 -5.298809e-05 -7.186442e-06
 8310.000000 -2.634626e-05 -3.034490e-06 -1.954608e-07 -3.796827e-07 -2.931754e-05 -3.358974e-05 -5.227196e-05 -8.706734e-06
 8312.000000 -2.639635e-05 -3.038469e-06 -1.960613e-07 -3.796832e-07 -2.692369e-05 -4.251324e-05 -5.396488e-05 -1.598485e-05
 8313.000000 -2.641129e-05 -3.041108e-06 -1.963206e-07 -3.796826e-07 -2.306208e-05 -4.688928e-05 -6.483515e-05 -1.216009e-05
 8313.200000 -2.645043e-05 -3.041636e-06 -1.962659e-07 -3.796767e-07 -2.381945e-05 -4.151703e-05 -6.754357e-05 -5.689070e-06
 8313.400000 -2.641908e-05 -3.040942e-06 -1.963026e-07 -3.796757e-07 -2.276929e-05 -4.401243e-05 -6.628422e-05 -5.170323e-06
 8313.600000 -2.645111e-05 -3.046004e-06 -1.967223e-07 -3.796561e-07 -2.586228e-05 -3.903059e-05 -6.681438e-05 -1.215082e-05
 8313.800000 -2.645777e-05 -3.043376e-06 -1.966719e-07 -3.797368e-07 -3.296352e-05 -4.804992e-05 -6.873477e-05 -1.824507e-05
 8314.000000 -2.643278e-05 -3.038490e-06 -1.964100e-07 -3.796466e-07 -2.746700e-05 -5.183700e-05 -5.607334e-05 -7.975573e-06
 8314.200000 -2.645718e-05 -3.042669e-06 -1.965769e-07 -3.796686e-07 -3.170442e-05 -5.712809e-05 -5.919702e-05 -1.011024e-05
 8314.400000 -2.641485e-05 -3.036381e-06 -1.962091e-07 -3.797204e-07 -2.993472e-05 -5.267217e-05 -5.996806e-05 -2.878959e-06
 8314.600000 -2.644320e-05 -3.035020e-06 -1.961756e-07 -3.796733e-07 -3.077006e-05 -4.809517e-05 -5.845023e-05 -3.925940e-06
 8314.800000 -2.640135e-05 -3.031431e-06 -1.959401e-07 -3.796771e-07 -1.631483e-05 -5.139690e-05 -5.706728e-05 2.431377e-09
 8315.000000 -2.640315e-05 -3.035746e-06 -1.964352e-07 -3.797308e-07 -1.564803e-05 -5.678137e-05 -5.761810e-05 -7.832904e-06
 8315.200000 -2.640018e-05 -3.030156e-06 -1.961255e-07 -3.796215e-07 -1.807101e-05 -5.400328e-05 -6.282008e-05 -8.719261e-06
 8315.400000 -2.639555e-05 -3.030677e-06 -1.961195e-07 -3.797062e-07 -2.418295e-05 -5.995651e-05 -6.496203e-05 -1.191999e-05
 8315.600000 -2.641160e-05 -3.035549e-06 -1.964017e-07 -3.796923e-07 -1.726596e-05 -5.863538e-05 -6.692734e-05 -5.826313e-06
 8315.800000 -2.641973e-05 -3.032577e-06 -1.962192e-07 -3.796708e-07 -2.323469e-05 -5.913621e-05 -6.871652e-05 -1.391951e-05
 8316.000000 -2.637223e-05 -3.029690e-06 -1.962403e-07 -3.797102e-07 -1.884364e-05 -5.448069e-05 -5.738115e-05 -1.019693e-05
