# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.17007642050675
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.0300532035
# ISS.sample_y_position: 12.096108524
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:39:56
# Scan.end_time: 02/21/2022  11:40:20
# Scan.duration: 00:24
# Scan.transient_id: 196773
# Scan.uid: 838c84e7-acc0-473e-94be-840f6d0bf6db
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.798585e-05 -3.447217e-06 -2.172271e-07 -2.629799e-07 -5.012608e-05 -1.912905e-05 -3.692874e-05 -6.497590e-05
 8238.000000 -2.587735e-05 -4.972299e-06 -3.137200e-07 -3.789287e-07 -7.519419e-05 -1.797303e-05 -6.010377e-05 -9.181302e-05
 8243.000000 -2.600961e-05 -5.025811e-06 -3.174260e-07 -3.797375e-07 -7.192472e-05 -1.383327e-05 -5.711189e-05 -9.311168e-05
 8248.000000 -2.604102e-05 -5.049176e-06 -3.191029e-07 -3.797380e-07 -7.297825e-05 -2.514337e-05 -6.431916e-05 -1.031259e-04
 8253.000000 -2.599873e-05 -5.054237e-06 -3.193125e-07 -3.797390e-07 -8.476047e-05 -2.539469e-05 -6.413726e-05 -9.165772e-05
 8258.000000 -2.599110e-05 -5.077293e-06 -3.205148e-07 -3.797389e-07 -7.882089e-05 -2.235280e-05 -5.722131e-05 -8.147165e-05
 8263.000000 -2.608851e-05 -5.127039e-06 -3.237038e-07 -3.797396e-07 -6.972425e-05 -2.356594e-05 -5.215598e-05 -8.466235e-05
 8268.000000 -2.605063e-05 -5.139573e-06 -3.250699e-07 -3.797394e-07 -6.670655e-05 -1.595389e-05 -4.806294e-05 -7.861323e-05
 8273.000000 -2.600079e-05 -5.143883e-06 -3.265305e-07 -3.797384e-07 -6.960021e-05 -1.830833e-05 -5.822545e-05 -8.438523e-05
 8278.000000 -2.609946e-05 -5.179864e-06 -3.306068e-07 -3.797382e-07 -6.542746e-05 -2.463062e-05 -5.748153e-05 -8.927462e-05
 8283.000000 -2.616840e-05 -5.208637e-06 -3.344715e-07 -3.797383e-07 -5.882625e-05 -1.484169e-05 -6.643113e-05 -8.961574e-05
