# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.7550716142818
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 13.8961319395
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:36:00
# Scan.end_time: 02/21/2022  11:36:25
# Scan.duration: 00:25
# Scan.transient_id: 196767
# Scan.uid: ab0e2997-23d5-4def-9d10-45e8d26b5ac1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.813723e-05 -1.903147e-06 -1.176040e-07 -2.633586e-07 -3.048509e-05 -1.579878e-05 -2.754332e-05 -2.443859e-05
 8238.000000 -2.601110e-05 -2.741586e-06 -1.696585e-07 -3.789019e-07 -3.840652e-05 -2.447969e-05 -4.107719e-05 -3.529316e-05
 8243.000000 -2.615927e-05 -2.765476e-06 -1.713306e-07 -3.797046e-07 -2.836187e-05 -2.457168e-05 -4.214198e-05 -3.385428e-05
 8248.000000 -2.622696e-05 -2.790081e-06 -1.728978e-07 -3.797040e-07 -4.228324e-05 -2.870308e-05 -4.535881e-05 -3.363260e-05
 8253.000000 -2.609839e-05 -2.802212e-06 -1.735344e-07 -3.797043e-07 -4.907156e-05 -2.859951e-05 -5.066729e-05 -3.267153e-05
 8258.000000 -2.614998e-05 -2.817452e-06 -1.743902e-07 -3.797045e-07 -3.896418e-05 -2.877671e-05 -3.688618e-05 -3.413282e-05
 8263.000000 -2.624509e-05 -2.835496e-06 -1.756382e-07 -3.797056e-07 -2.667602e-05 -2.540494e-05 -3.557533e-05 -3.386038e-05
 8268.000000 -2.620318e-05 -2.855460e-06 -1.771942e-07 -3.797052e-07 -3.101544e-05 -3.591636e-05 -3.050966e-05 -4.265590e-05
 8273.000000 -2.627675e-05 -2.880505e-06 -1.793527e-07 -3.797036e-07 -3.538477e-05 -3.943564e-05 -3.068660e-05 -3.652458e-05
 8278.000000 -2.611539e-05 -2.888472e-06 -1.806859e-07 -3.797056e-07 -3.481001e-05 -4.007170e-05 -4.996175e-05 -3.238471e-05
 8283.000000 -2.615451e-05 -2.909768e-06 -1.829699e-07 -3.797053e-07 -4.611624e-05 -4.137997e-05 -4.980458e-05 -3.459325e-05
 8288.000000 -2.633930e-05 -2.945539e-06 -1.861242e-07 -3.797049e-07 -4.484404e-05 -4.186296e-05 -5.121786e-05 -3.994328e-05
 8293.000000 -2.613861e-05 -2.952811e-06 -1.874772e-07 -3.797059e-07 -3.825303e-05 -4.405683e-05 -4.188424e-05 -4.958369e-05
 8298.000000 -2.624019e-05 -2.978020e-06 -1.900039e-07 -3.797051e-07 -3.740681e-05 -3.003507e-05 -4.358933e-05 -5.408660e-05
 8303.000000 -2.630829e-05 -3.005646e-06 -1.926284e-07 -3.797037e-07 -3.955307e-05 -2.532519e-05 -4.593254e-05 -5.708615e-05
 8307.000000 -2.633997e-05 -3.025440e-06 -1.945304e-07 -3.797036e-07 -3.752906e-05 -2.285099e-05 -4.368445e-05 -4.953839e-05
 8310.000000 -2.640495e-05 -3.040374e-06 -1.959361e-07 -3.797049e-07 -3.408049e-05 -2.552633e-05 -3.758297e-05 -3.144302e-05
 8312.000000 -2.648259e-05 -3.046255e-06 -1.966375e-07 -3.797032e-07 -3.099971e-05 -2.914832e-05 -3.529274e-05 -1.227582e-05
 8313.000000 -2.647736e-05 -3.044037e-06 -1.966284e-07 -3.797036e-07 -2.864501e-05 -2.874260e-05 -2.645225e-05 -8.084348e-06
 8313.200000 -2.646844e-05 -3.043700e-06 -1.966354e-07 -3.797458e-07 -3.154814e-05 -2.751760e-05 -2.004077e-05 -7.255596e-06
 8313.400000 -2.637944e-05 -3.039877e-06 -1.964103e-07 -3.796863e-07 -5.065513e-05 -3.222141e-05 -2.208613e-05 -1.452218e-05
 8313.600000 -2.642857e-05 -3.050067e-06 -1.972027e-07 -3.796867e-07 -5.283443e-05 -3.657867e-05 -2.283467e-05 -4.894734e-06
 8313.800000 -2.636031e-05 -3.033688e-06 -1.961329e-07 -3.797355e-07 -4.620489e-05 -3.858847e-05 -3.768840e-05 -1.684747e-05
 8314.000000 -2.632332e-05 -3.035726e-06 -1.962393e-07 -3.797014e-07 -3.861116e-05 -3.288663e-05 -4.685926e-05 -1.784121e-05
 8314.200000 -2.622566e-05 -3.028622e-06 -1.957804e-07 -3.796863e-07 -4.075894e-05 -3.313438e-05 -5.241443e-05 -2.929966e-05
 8314.400000 -2.623599e-05 -3.007741e-06 -1.944789e-07 -3.797138e-07 -3.621932e-05 -3.087164e-05 -4.241288e-05 -2.411794e-05
 8314.600000 -2.625163e-05 -2.997998e-06 -1.941488e-07 -3.797252e-07 -4.093096e-05 -2.609273e-05 -4.523347e-05 -1.720443e-05
 8314.800000 -2.628791e-05 -3.011332e-06 -1.950487e-07 -3.797080e-07 -3.324912e-05 -2.023556e-05 -3.290457e-05 -1.970928e-05
 8315.000000 -2.633537e-05 -3.016356e-06 -1.953715e-07 -3.796803e-07 -3.717101e-05 -2.483152e-05 -3.513788e-05 -2.130962e-05
 8315.200000 -2.626767e-05 -3.006399e-06 -1.947944e-07 -3.797218e-07 -3.410275e-05 -2.039618e-05 -2.551922e-05 -1.310163e-05
 8315.400000 -2.631034e-05 -3.007182e-06 -1.947759e-07 -3.797275e-07 -4.059062e-05 -2.205360e-05 -2.485906e-05 -2.025941e-05
 8315.600000 -2.622081e-05 -2.993969e-06 -1.938680e-07 -3.797203e-07 -4.715866e-05 -2.896527e-05 -2.772172e-05 -2.637280e-05
 8315.800000 -2.628378e-05 -2.996805e-06 -1.942264e-07 -3.796895e-07 -4.731437e-05 -2.797866e-05 -1.657208e-05 -2.597135e-05
 8316.000000 -2.623886e-05 -3.007188e-06 -1.949100e-07 -3.797090e-07 -5.115535e-05 -1.819802e-05 -2.834926e-05 -1.267633e-05
 8316.200000 -2.632096e-05 -3.012534e-06 -1.952243e-07 -3.797002e-07 -5.386078e-05 -2.361778e-05 -1.980493e-05 -1.093652e-05
 8316.400000 -2.636613e-05 -3.014532e-06 -1.954498e-07 -3.797111e-07 -4.288906e-05 -1.924429e-05 -2.766407e-05 -1.154867e-05
 8316.600000 -2.641289e-05 -3.019686e-06 -1.957897e-07 -3.797317e-07 -4.417780e-05 -1.950832e-05 -3.397356e-05 -1.097388e-05
 8316.800000 -2.641395e-05 -3.011568e-06 -1.952900e-07 -3.797144e-07 -4.098623e-05 -2.252779e-05 -4.070221e-05 -1.584351e-05
 8317.000000 -2.642078e-05 -3.019261e-06 -1.957207e-07 -3.796895e-07 -3.708371e-05 -2.129347e-05 -2.351234e-05 -7.818238e-06
 8317.200000 -2.641199e-05 -3.013649e-06 -1.955464e-07 -3.797223e-07 -3.807851e-05 -1.144116e-05 -1.802144e-05 -4.936791e-06
 8317.400000 -2.639805e-05 -3.019542e-06 -1.958809e-07 -3.797041e-07 -3.806860e-05 -7.239670e-06 -2.566570e-05 -1.855790e-06
 8317.600000 -2.639155e-05 -3.021868e-06 -1.961403e-07 -3.797192e-07 -3.595650e-05 -1.179695e-05 -2.597041e-05 -2.122557e-05
 8317.800000 -2.631379e-05 -3.025313e-06 -1.962652e-07 -3.796648e-07 -4.301358e-05 -1.400158e-05 -1.850916e-05 -4.389546e-06
 8318.000000 -2.625805e-05 -3.027405e-06 -1.963849e-07 -3.797596e-07 -5.241479e-05 -1.891762e-05 -3.058491e-05 -6.938913e-06
 8318.200000 -2.620928e-05 -3.007591e-06 -1.953244e-07 -3.797007e-07 -4.332066e-05 -2.186625e-05 -2.969620e-05 -8.033743e-06
 8318.400000 -2.624694e-05 -3.004863e-06 -1.951751e-07 -3.797001e-07 -3.029867e-05 -1.963242e-05 -3.098424e-05 -1.235707e-05
 8318.600000 -2.622992e-05 -3.006167e-06 -1.952871e-07 -3.796973e-07 -3.150945e-05 -1.463487e-05 -2.501314e-05 -1.059820e-05
 8318.800000 -2.626071e-05 -3.006114e-06 -1.953171e-07 -3.796959e-07 -4.102467e-05 -1.975388e-05 -2.060279e-05 -1.180462e-05
