# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8248107737215
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 12.096108524
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:40:28
# Scan.end_time: 02/21/2022  11:40:54
# Scan.duration: 00:25
# Scan.transient_id: 196774
# Scan.uid: edb26f4e-dc5c-4c03-b2e1-86202bb91ac6
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.810205e-05 -3.468000e-06 -2.185385e-07 -2.635817e-07 -5.153560e-05 -2.400069e-05 -1.713367e-05 -2.441723e-05
 8238.000000 -2.606473e-05 -5.011184e-06 -3.162066e-07 -3.789524e-07 -8.181626e-05 -2.172823e-05 -2.223436e-05 -1.700332e-05
 8243.000000 -2.609540e-05 -5.034158e-06 -3.180039e-07 -3.797513e-07 -8.561078e-05 -1.878897e-05 -3.414395e-05 -2.242823e-05
 8248.000000 -2.609819e-05 -5.052570e-06 -3.192488e-07 -3.797518e-07 -7.653885e-05 -3.232119e-05 -3.531989e-05 -1.238829e-05
 8253.000000 -2.611481e-05 -5.081105e-06 -3.208410e-07 -3.797528e-07 -7.362587e-05 -3.650449e-05 -3.335694e-05 -1.184140e-05
 8258.000000 -2.615121e-05 -5.114832e-06 -3.227856e-07 -3.797519e-07 -7.173962e-05 -3.822365e-05 -2.859170e-05 -9.945688e-06
 8263.000000 -2.621011e-05 -5.151357e-06 -3.251798e-07 -3.797512e-07 -6.157729e-05 -3.353979e-05 -2.783680e-05 -1.275354e-05
 8268.000000 -2.616550e-05 -5.163039e-06 -3.264411e-07 -3.797524e-07 -6.649372e-05 -3.813614e-05 -1.934268e-05 -1.161191e-05
 8273.000000 -2.620556e-05 -5.195101e-06 -3.296336e-07 -3.797529e-07 -7.603753e-05 -2.882720e-05 -2.211253e-05 -4.411139e-06
 8278.000000 -2.613507e-05 -5.202328e-06 -3.316212e-07 -3.797544e-07 -7.729697e-05 -3.050149e-05 -2.060511e-05 -4.160792e-06
 8283.000000 -2.614558e-05 -5.224333e-06 -3.347586e-07 -3.797535e-07 -8.112277e-05 -3.546952e-05 -2.124646e-05 -7.795320e-06
 8288.000000 -2.625653e-05 -5.268564e-06 -3.393802e-07 -3.797528e-07 -7.378169e-05 -2.880046e-05 -1.768828e-05 -1.399004e-05
 8293.000000 -2.618527e-05 -5.272212e-06 -3.412219e-07 -3.797534e-07 -7.747175e-05 -2.404251e-05 -1.909546e-05 -4.894442e-05
 8298.000000 -2.623668e-05 -5.305879e-06 -3.450819e-07 -3.797535e-07 -8.477403e-05 -2.667949e-05 -3.665065e-05 -5.210264e-05
 8303.000000 -2.636809e-05 -5.358207e-06 -3.501292e-07 -3.797542e-07 -7.650816e-05 -3.102748e-05 -4.924406e-05 -4.292467e-05
 8307.000000 -2.638919e-05 -5.377117e-06 -3.525486e-07 -3.797545e-07 -7.493042e-05 -3.856121e-05 -3.696314e-05 -6.629956e-06
 8310.000000 -2.635494e-05 -5.377981e-06 -3.534035e-07 -3.797554e-07 -8.891675e-05 -2.732781e-05 -2.856500e-05 9.655152e-07
 8312.000000 -2.628964e-05 -5.366150e-06 -3.530997e-07 -3.797559e-07 -9.146260e-05 -3.134049e-05 -2.505609e-05 -5.152153e-07
 8313.000000 -2.630971e-05 -5.371051e-06 -3.537549e-07 -3.797620e-07 -9.099240e-05 -4.010726e-05 -2.149156e-05 3.068615e-06
 8313.200000 -2.629490e-05 -5.368709e-06 -3.536543e-07 -3.797657e-07 -9.566987e-05 -4.078007e-05 -3.004590e-05 5.590568e-06
