# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.3133338692497
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 13.896112866
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:36:34
# Scan.end_time: 02/21/2022  11:36:57
# Scan.duration: 00:23
# Scan.transient_id: 196768
# Scan.uid: 13572fdd-ada2-4823-9d6d-2c189e888dbf
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.805350e-05 -1.889314e-06 -1.167992e-07 -2.631559e-07 -2.655928e-05 -2.212252e-05 -2.563460e-05 -2.571902e-05
 8238.000000 -2.602591e-05 -2.721066e-06 -1.685473e-07 -3.789160e-07 -4.503162e-05 -2.802110e-05 -4.550429e-05 -3.619687e-05
 8243.000000 -2.606510e-05 -2.737870e-06 -1.697234e-07 -3.797227e-07 -4.346822e-05 -3.890692e-05 -4.257185e-05 -3.655194e-05
 8248.000000 -2.602860e-05 -2.754132e-06 -1.707849e-07 -3.797233e-07 -3.590693e-05 -4.662887e-05 -4.715744e-05 -3.942143e-05
 8253.000000 -2.613465e-05 -2.776923e-06 -1.721421e-07 -3.797240e-07 -3.605696e-05 -4.682006e-05 -4.953166e-05 -4.120012e-05
 8258.000000 -2.612200e-05 -2.796463e-06 -1.732137e-07 -3.797232e-07 -3.024438e-05 -4.288706e-05 -4.288422e-05 -3.861618e-05
 8263.000000 -2.616180e-05 -2.821936e-06 -1.748540e-07 -3.797238e-07 -2.565885e-05 -3.354207e-05 -3.667026e-05 -3.539352e-05
 8268.000000 -2.615792e-05 -2.840158e-06 -1.762878e-07 -3.797246e-07 -1.978038e-05 -3.477689e-05 -3.146070e-05 -2.920352e-05
 8273.000000 -2.611827e-05 -2.853288e-06 -1.777754e-07 -3.797241e-07 -1.438959e-05 -3.593213e-05 -3.155849e-05 -2.908366e-05
 8278.000000 -2.621094e-05 -2.875641e-06 -1.800281e-07 -3.797232e-07 -9.484340e-06 -3.572314e-05 -3.915951e-05 -2.709155e-05
 8283.000000 -2.624422e-05 -2.896315e-06 -1.822298e-07 -3.797226e-07 -2.230770e-05 -2.797754e-05 -4.174284e-05 -3.447344e-05
 8288.000000 -2.622874e-05 -2.913849e-06 -1.842933e-07 -3.797220e-07 -2.915187e-05 -3.039799e-05 -3.970779e-05 -3.486528e-05
 8293.000000 -2.625907e-05 -2.921936e-06 -1.858129e-07 -3.797235e-07 -2.474868e-05 -2.849624e-05 -3.999348e-05 -2.898267e-05
 8298.000000 -2.626840e-05 -2.937828e-06 -1.877663e-07 -3.797244e-07 -2.777440e-05 -2.041075e-05 -3.676805e-05 -3.303589e-05
 8303.000000 -2.620226e-05 -2.955811e-06 -1.897608e-07 -3.797248e-07 -3.760714e-05 -2.102462e-05 -3.210589e-05 -3.567069e-05
 8307.000000 -2.633947e-05 -2.974876e-06 -1.916719e-07 -3.797247e-07 -4.207438e-05 -2.746115e-05 -3.734464e-05 -3.584244e-05
 8310.000000 -2.632746e-05 -2.976493e-06 -1.922801e-07 -3.797249e-07 -4.751856e-05 -3.211559e-05 -3.894842e-05 -2.725351e-05
 8312.000000 -2.637900e-05 -2.987525e-06 -1.932533e-07 -3.797241e-07 -4.092401e-05 -3.839689e-05 -4.557586e-05 -2.199001e-05
 8313.000000 -2.638660e-05 -2.990190e-06 -1.935390e-07 -3.797280e-07 -4.048048e-05 -4.518067e-05 -4.289655e-05 -2.634476e-05
 8313.200000 -2.635471e-05 -2.986530e-06 -1.933377e-07 -3.796881e-07 -4.379386e-05 -5.036471e-05 -4.188407e-05 -3.300430e-05
 8313.400000 -2.639826e-05 -2.989158e-06 -1.935757e-07 -3.797587e-07 -4.052337e-05 -5.073012e-05 -4.891342e-05 -3.993717e-05
 8313.600000 -2.638862e-05 -2.981043e-06 -1.932830e-07 -3.796793e-07 -4.641505e-05 -4.128774e-05 -4.774636e-05 -2.815642e-05
 8313.800000 -2.641044e-05 -2.987910e-06 -1.936641e-07 -3.797235e-07 -4.098949e-05 -3.519388e-05 -3.897495e-05 -2.728524e-05
 8314.000000 -2.642117e-05 -2.991584e-06 -1.937318e-07 -3.797478e-07 -3.991972e-05 -3.640701e-05 -4.413594e-05 -2.902262e-05
 8314.200000 -2.642925e-05 -2.992426e-06 -1.938021e-07 -3.797409e-07 -4.646846e-05 -4.680595e-05 -5.159612e-05 -3.587349e-05
 8314.400000 -2.642334e-05 -2.990370e-06 -1.936820e-07 -3.797067e-07 -3.987496e-05 -5.245907e-05 -5.630346e-05 -3.834111e-05
 8314.600000 -2.641129e-05 -2.992404e-06 -1.939914e-07 -3.797450e-07 -3.698106e-05 -4.759455e-05 -4.642457e-05 -3.385129e-05
 8314.800000 -2.639210e-05 -2.985579e-06 -1.936754e-07 -3.797058e-07 -4.097251e-05 -4.357416e-05 -4.558683e-05 -3.469720e-05
 8315.000000 -2.641062e-05 -2.995971e-06 -1.942555e-07 -3.797477e-07 -4.342394e-05 -4.470615e-05 -5.324005e-05 -3.275026e-05
 8315.200000 -2.638498e-05 -2.986314e-06 -1.936657e-07 -3.797052e-07 -3.300354e-05 -3.963212e-05 -5.419986e-05 -3.373832e-05
 8315.400000 -2.634548e-05 -2.986013e-06 -1.935210e-07 -3.797374e-07 -3.538021e-05 -3.849205e-05 -5.360251e-05 -3.600267e-05
 8315.600000 -2.632728e-05 -2.985839e-06 -1.936485e-07 -3.797447e-07 -3.373676e-05 -3.731748e-05 -6.138567e-05 -2.629454e-05
 8315.800000 -2.636771e-05 -2.991186e-06 -1.939612e-07 -3.797258e-07 -3.896167e-05 -3.796920e-05 -5.569572e-05 -2.981797e-05
 8316.000000 -2.629035e-05 -2.978514e-06 -1.933524e-07 -3.796930e-07 -3.651570e-05 -3.389835e-05 -4.351896e-05 -2.131313e-05
 8316.200000 -2.626078e-05 -2.974220e-06 -1.931126e-07 -3.797437e-07 -3.295719e-05 -3.441333e-05 -5.114661e-05 -1.020306e-05
 8316.400000 -2.631335e-05 -2.977617e-06 -1.933700e-07 -3.797362e-07 -3.236721e-05 -3.545618e-05 -5.231400e-05 -2.239696e-05
 8316.600000 -2.635857e-05 -2.979266e-06 -1.932948e-07 -3.796826e-07 -3.190541e-05 -2.687313e-05 -5.002156e-05 -2.380712e-05
 8316.800000 -2.636811e-05 -2.982658e-06 -1.936234e-07 -3.797378e-07 -2.073497e-05 -2.215958e-05 -4.162121e-05 -1.964511e-05
 8317.000000 -2.636261e-05 -2.981533e-06 -1.935230e-07 -3.797011e-07 -2.793077e-05 -2.514278e-05 -4.167008e-05 -2.690125e-05
 8317.200000 -2.638594e-05 -2.987975e-06 -1.940373e-07 -3.797398e-07 -2.209851e-05 -3.276664e-05 -3.437918e-05 -1.601457e-05
 8317.400000 -2.635146e-05 -2.986123e-06 -1.939959e-07 -3.797487e-07 -1.951141e-05 -3.097456e-05 -3.773166e-05 -2.485203e-05
 8317.600000 -2.636562e-05 -2.978620e-06 -1.935366e-07 -3.796632e-07 -2.879119e-05 -2.682318e-05 -4.495712e-05 -3.817701e-05
 8317.800000 -2.642693e-05 -2.995490e-06 -1.945527e-07 -3.797489e-07 -3.769103e-05 -1.865838e-05 -4.310716e-05 -4.153355e-05
 8318.000000 -2.641429e-05 -2.995093e-06 -1.944434e-07 -3.797344e-07 -3.196265e-05 -1.475066e-05 -5.506998e-05 -4.214135e-05
 8318.200000 -2.629375e-05 -2.988804e-06 -1.941490e-07 -3.797033e-07 -3.461621e-05 -2.273553e-05 -4.770721e-05 -3.354066e-05
 8318.400000 -2.632072e-05 -2.991088e-06 -1.943056e-07 -3.797521e-07 -3.972363e-05 -3.234404e-05 -3.477436e-05 -2.753729e-05
 8318.600000 -2.636912e-05 -3.001411e-06 -1.950266e-07 -3.797235e-07 -4.063517e-05 -2.682777e-05 -3.153301e-05 -2.800385e-05
 8318.800000 -2.637056e-05 -3.005749e-06 -1.953593e-07 -3.797107e-07 -3.383283e-05 -3.114137e-05 -4.951596e-05 -4.321235e-05
