# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4494026035633
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 12.096108524
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:41:02
# Scan.end_time: 02/21/2022  11:41:26
# Scan.duration: 00:23
# Scan.transient_id: 196775
# Scan.uid: 91ba4a3a-70c2-431b-be36-268c285a8fb7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.814746e-05 -3.477632e-06 -2.189702e-07 -2.638892e-07 -5.767887e-05 -2.612035e-05 -2.678929e-05 -4.363727e-05
 8238.000000 -2.604209e-05 -5.006140e-06 -3.155975e-07 -3.789646e-07 -8.733072e-05 -3.908001e-05 -3.916407e-05 -6.112804e-05
 8243.000000 -2.601901e-05 -5.020039e-06 -3.167428e-07 -3.797576e-07 -8.700152e-05 -3.394168e-05 -3.005784e-05 -5.669389e-05
 8248.000000 -2.608639e-05 -5.054584e-06 -3.190553e-07 -3.797579e-07 -8.425132e-05 -3.996887e-05 -3.511005e-05 -5.294482e-05
 8253.000000 -2.618196e-05 -5.093458e-06 -3.214831e-07 -3.797583e-07 -8.397037e-05 -4.493436e-05 -4.028335e-05 -5.474543e-05
 8258.000000 -2.608482e-05 -5.093975e-06 -3.212663e-07 -3.797598e-07 -9.052020e-05 -3.870056e-05 -4.352428e-05 -5.600877e-05
 8263.000000 -2.615459e-05 -5.134560e-06 -3.238648e-07 -3.797603e-07 -8.686069e-05 -3.534154e-05 -4.658960e-05 -5.873023e-05
 8268.000000 -2.619834e-05 -5.168521e-06 -3.265787e-07 -3.797597e-07 -8.403089e-05 -4.011137e-05 -4.449123e-05 -6.357456e-05
 8273.000000 -2.625780e-05 -5.206562e-06 -3.301138e-07 -3.797593e-07 -8.487700e-05 -3.631310e-05 -5.013442e-05 -5.310436e-05
 8278.000000 -2.627589e-05 -5.234661e-06 -3.334243e-07 -3.797587e-07 -8.313716e-05 -3.922494e-05 -5.339856e-05 -2.913791e-05
 8283.000000 -2.632998e-05 -5.269418e-06 -3.373784e-07 -3.797586e-07 -8.273230e-05 -4.150453e-05 -4.483572e-05 -1.361932e-05
