# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.00258249521266
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -30.2300288405
# ISS.sample_y_position: 13.8961319395
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:37:05
# Scan.end_time: 02/21/2022  11:37:31
# Scan.duration: 00:25
# Scan.transient_id: 196769
# Scan.uid: 60b2e66c-9655-43c6-b596-bce840e03195
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.803361e-05 -1.647160e-06 -1.016502e-07 -2.631141e-07 -3.866329e-05 -1.417870e-05 -2.054098e-05 -3.991795e-05
 8238.000000 -2.594094e-05 -2.377436e-06 -1.469266e-07 -3.789262e-07 -5.622030e-05 -2.188438e-05 -2.970131e-05 -5.227200e-05
 8243.000000 -2.610002e-05 -2.403402e-06 -1.487235e-07 -3.797334e-07 -5.946398e-05 -2.529793e-05 -3.183442e-05 -4.738131e-05
 8248.000000 -2.618800e-05 -2.424884e-06 -1.500753e-07 -3.797344e-07 -6.202971e-05 -2.199140e-05 -2.784719e-05 -5.856969e-05
 8253.000000 -2.618417e-05 -2.445898e-06 -1.512552e-07 -3.797353e-07 -5.217203e-05 -1.801843e-05 -4.105368e-05 -6.135099e-05
 8258.000000 -2.604265e-05 -2.455658e-06 -1.516854e-07 -3.797356e-07 -5.418529e-05 -3.159202e-05 -3.971613e-05 -6.086070e-05
 8263.000000 -2.610713e-05 -2.468498e-06 -1.525307e-07 -3.797351e-07 -4.832625e-05 -2.627546e-05 -3.493356e-05 -6.226341e-05
 8268.000000 -2.620642e-05 -2.477728e-06 -1.535992e-07 -3.797335e-07 -4.678408e-05 -2.470985e-05 -3.046274e-05 -5.333689e-05
 8273.000000 -2.626723e-05 -2.501458e-06 -1.556585e-07 -3.797327e-07 -4.757068e-05 -2.533788e-05 -3.953731e-05 -2.608002e-05
 8278.000000 -2.607496e-05 -2.509006e-06 -1.567215e-07 -3.797340e-07 -4.042174e-05 -2.095661e-05 -3.819479e-05 -2.279119e-05
 8283.000000 -2.615680e-05 -2.531062e-06 -1.588964e-07 -3.797337e-07 -3.851146e-05 -1.998945e-05 -2.581532e-05 -2.121669e-05
 8288.000000 -2.624231e-05 -2.531070e-06 -1.598710e-07 -3.797337e-07 -4.144847e-05 -1.964716e-05 -2.158450e-05 -2.287293e-05
 8293.000000 -2.622059e-05 -2.525591e-06 -1.604601e-07 -3.797327e-07 -4.448260e-05 -2.464018e-05 -2.418476e-05 -1.155377e-05
 8298.000000 -2.623941e-05 -2.532772e-06 -1.617950e-07 -3.797325e-07 -4.391972e-05 -2.735671e-05 -3.392477e-05 -8.081946e-06
 8303.000000 -2.626738e-05 -2.532260e-06 -1.625883e-07 -3.797318e-07 -3.886536e-05 -3.801101e-05 -4.230357e-05 -1.121236e-05
 8307.000000 -2.625426e-05 -2.527627e-06 -1.629305e-07 -3.797331e-07 -3.538828e-05 -3.898232e-05 -4.313314e-05 -2.438453e-05
 8310.000000 -2.624097e-05 -2.526345e-06 -1.632432e-07 -3.797337e-07 -4.774777e-05 -2.941562e-05 -4.308681e-05 -5.510709e-05
 8312.000000 -2.619607e-05 -2.516100e-06 -1.628606e-07 -3.797341e-07 -5.439656e-05 -3.395738e-05 -3.538502e-05 -5.837955e-05
 8313.000000 -2.626236e-05 -2.513740e-06 -1.629690e-07 -3.797351e-07 -5.853215e-05 -3.904913e-05 -3.640443e-05 -5.891292e-05
 8313.200000 -2.629773e-05 -2.525285e-06 -1.637731e-07 -3.797115e-07 -6.237842e-05 -3.166640e-05 -3.931143e-05 -5.039353e-05
 8313.400000 -2.624631e-05 -2.510435e-06 -1.627945e-07 -3.797786e-07 -6.846240e-05 -4.102556e-05 -3.922029e-05 -6.378972e-05
 8313.600000 -2.620326e-05 -2.501749e-06 -1.621128e-07 -3.797027e-07 -7.177436e-05 -4.345939e-05 -3.581625e-05 -6.735980e-05
 8313.800000 -2.618234e-05 -2.511733e-06 -1.626866e-07 -3.797284e-07 -6.709016e-05 -3.644299e-05 -2.600748e-05 -6.453041e-05
 8314.000000 -2.616791e-05 -2.504624e-06 -1.624005e-07 -3.797663e-07 -6.992142e-05 -3.085310e-05 -4.624816e-05 -6.187305e-05
 8314.200000 -2.615114e-05 -2.503262e-06 -1.622878e-07 -3.797560e-07 -7.125584e-05 -3.307151e-05 -4.612359e-05 -6.408204e-05
 8314.400000 -2.607482e-05 -2.519957e-06 -1.632685e-07 -3.796739e-07 -7.593932e-05 -3.845907e-05 -4.637883e-05 -6.008511e-05
 8314.600000 -2.610112e-05 -2.505448e-06 -1.624982e-07 -3.798016e-07 -6.700262e-05 -4.038172e-05 -3.073322e-05 -6.186453e-05
 8314.800000 -2.610737e-05 -2.513510e-06 -1.630364e-07 -3.797009e-07 -6.671261e-05 -4.433401e-05 -2.579949e-05 -7.015580e-05
 8315.000000 -2.607642e-05 -2.517829e-06 -1.632368e-07 -3.797762e-07 -6.406514e-05 -5.060303e-05 -3.008449e-05 -5.979695e-05
 8315.200000 -2.605528e-05 -2.526990e-06 -1.637379e-07 -3.797237e-07 -6.574095e-05 -5.457180e-05 -4.159645e-05 -5.663608e-05
 8315.400000 -2.604752e-05 -2.524593e-06 -1.636408e-07 -3.797439e-07 -6.456847e-05 -5.448444e-05 -4.617819e-05 -6.089244e-05
 8315.600000 -2.606315e-05 -2.503774e-06 -1.625676e-07 -3.797535e-07 -5.480858e-05 -5.134888e-05 -1.747055e-05 -5.080488e-05
 8315.800000 -2.609091e-05 -2.517960e-06 -1.633030e-07 -3.797179e-07 -5.884428e-05 -5.821932e-05 -2.180046e-05 -4.967909e-05
 8316.000000 -2.616274e-05 -2.517004e-06 -1.633369e-07 -3.797327e-07 -6.894701e-05 -5.165340e-05 -3.854478e-05 -6.262505e-05
 8316.200000 -2.619196e-05 -2.523965e-06 -1.639492e-07 -3.798029e-07 -5.373470e-05 -5.113036e-05 -4.155628e-05 -5.980974e-05
 8316.400000 -2.620536e-05 -2.519029e-06 -1.635472e-07 -3.796973e-07 -6.157455e-05 -4.771567e-05 -4.865150e-05 -4.680308e-05
 8316.600000 -2.618601e-05 -2.526104e-06 -1.640244e-07 -3.797399e-07 -5.518234e-05 -5.143082e-05 -3.771752e-05 -5.265581e-05
 8316.800000 -2.622495e-05 -2.536977e-06 -1.647416e-07 -3.797805e-07 -5.890988e-05 -5.278055e-05 -2.737314e-05 -3.863746e-05
 8317.000000 -2.620270e-05 -2.512985e-06 -1.634079e-07 -3.797246e-07 -5.661081e-05 -4.324411e-05 -2.514584e-05 -4.650937e-05
 8317.200000 -2.625042e-05 -2.520569e-06 -1.638337e-07 -3.797175e-07 -5.510738e-05 -4.128508e-05 -3.332406e-05 -4.695451e-05
 8317.400000 -2.618395e-05 -2.514337e-06 -1.633317e-07 -3.798265e-07 -5.343962e-05 -4.001601e-05 -2.253318e-05 -4.020959e-05
 8317.600000 -2.611292e-05 -2.501485e-06 -1.625820e-07 -3.796700e-07 -5.873906e-05 -3.509820e-05 -1.904156e-05 -3.966138e-05
 8317.800000 -2.604865e-05 -2.526139e-06 -1.639125e-07 -3.797401e-07 -5.097104e-05 -2.659850e-05 -2.317098e-05 -5.435925e-05
 8318.000000 -2.604826e-05 -2.508226e-06 -1.629133e-07 -3.797876e-07 -5.081462e-05 -2.312057e-05 -2.286951e-05 -5.076492e-05
 8318.200000 -2.593604e-05 -2.500673e-06 -1.624954e-07 -3.797287e-07 -4.707067e-05 -3.010933e-05 -2.042042e-05 -4.459858e-05
 8318.400000 -2.597443e-05 -2.497918e-06 -1.624140e-07 -3.796745e-07 -4.909684e-05 -2.974460e-05 -1.097010e-05 -4.355185e-05
