# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.1115261288178
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 12.096108524
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:41:34
# Scan.end_time: 02/21/2022  11:41:59
# Scan.duration: 00:25
# Scan.transient_id: 196776
# Scan.uid: 2e8ca0d2-a766-461b-b488-50e2b52519d4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.816686e-05 -3.479288e-06 -2.193158e-07 -2.636811e-07 -3.902786e-05 -2.942724e-05 -2.259192e-05 -5.173712e-05
 8238.000000 -2.613661e-05 -5.028688e-06 -3.172762e-07 -3.789629e-07 -5.066336e-05 -3.158566e-05 -3.944535e-05 -7.542492e-05
 8243.000000 -2.614821e-05 -5.051771e-06 -3.189842e-07 -3.797600e-07 -4.595763e-05 -3.481431e-05 -3.456108e-05 -6.774787e-05
 8248.000000 -2.619726e-05 -5.084126e-06 -3.211178e-07 -3.797610e-07 -5.398024e-05 -3.992770e-05 -2.709935e-05 -4.910262e-05
 8253.000000 -2.624520e-05 -5.119529e-06 -3.231892e-07 -3.797623e-07 -5.955143e-05 -4.455574e-05 -3.243535e-05 -5.237566e-05
 8258.000000 -2.620921e-05 -5.135747e-06 -3.239403e-07 -3.797625e-07 -5.796573e-05 -4.572151e-05 -2.729825e-05 -6.095763e-05
 8263.000000 -2.622683e-05 -5.163211e-06 -3.257194e-07 -3.797634e-07 -5.628687e-05 -4.880749e-05 -2.935015e-05 -6.489302e-05
 8268.000000 -2.630320e-05 -5.204638e-06 -3.289366e-07 -3.797637e-07 -5.353759e-05 -4.777962e-05 -3.273762e-05 -6.379988e-05
 8273.000000 -2.635477e-05 -5.237515e-06 -3.322718e-07 -3.797645e-07 -5.717462e-05 -4.454842e-05 -4.852993e-05 -6.278262e-05
 8278.000000 -2.635054e-05 -5.258212e-06 -3.351467e-07 -3.797649e-07 -7.192923e-05 -4.968555e-05 -4.284531e-05 -6.170094e-05
 8283.000000 -2.635701e-05 -5.282925e-06 -3.384133e-07 -3.797646e-07 -6.757183e-05 -3.580381e-05 -3.510644e-05 -6.025927e-05
