# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.63698999670737
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -32.4297374485
# ISS.sample_y_position: 13.896112866
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:37:39
# Scan.end_time: 02/21/2022  11:38:03
# Scan.duration: 00:23
# Scan.transient_id: 196770
# Scan.uid: 311448b5-3451-4080-9231-bab5510432a9
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.806094e-05 -2.604955e-06 -1.638533e-07 -2.626612e-07 -3.177963e-05 -1.544667e-05 -2.477715e-05 -5.613096e-05
 8238.000000 -2.610374e-05 -3.777506e-06 -2.379214e-07 -3.789213e-07 -5.318973e-05 -2.248432e-05 -4.321541e-05 -7.420669e-05
 8243.000000 -2.611922e-05 -3.798214e-06 -2.395193e-07 -3.797382e-07 -4.785160e-05 -2.618474e-05 -4.439737e-05 -7.343828e-05
 8248.000000 -2.618134e-05 -3.826486e-06 -2.413202e-07 -3.797378e-07 -4.641436e-05 -2.700363e-05 -2.897578e-05 -6.697338e-05
 8253.000000 -2.623172e-05 -3.854810e-06 -2.428858e-07 -3.797364e-07 -4.761577e-05 -3.380119e-05 -2.660795e-05 -7.162895e-05
 8258.000000 -2.619672e-05 -3.869353e-06 -2.436493e-07 -3.797374e-07 -5.052697e-05 -3.607788e-05 -2.700745e-05 -7.341708e-05
 8263.000000 -2.615410e-05 -3.884515e-06 -2.446721e-07 -3.797399e-07 -3.757573e-05 -3.291421e-05 -2.937316e-05 -6.549656e-05
 8268.000000 -2.601056e-05 -3.882963e-06 -2.450150e-07 -3.797407e-07 -3.806286e-05 -3.374777e-05 -2.791904e-05 -5.974676e-05
 8273.000000 -2.615820e-05 -3.920497e-06 -2.482866e-07 -3.797384e-07 -3.600434e-05 -2.655914e-05 -2.235380e-05 -6.532955e-05
 8278.000000 -2.624414e-05 -3.948181e-06 -2.511999e-07 -3.797384e-07 -4.658121e-05 -2.095988e-05 -3.780041e-05 -7.141264e-05
 8283.000000 -2.613143e-05 -3.951465e-06 -2.527195e-07 -3.797382e-07 -4.537052e-05 -2.729818e-05 -3.552082e-05 -7.549293e-05
 8288.000000 -2.626593e-05 -3.986490e-06 -2.562832e-07 -3.797377e-07 -4.021332e-05 -3.749669e-05 -3.073773e-05 -7.418650e-05
 8293.000000 -2.624902e-05 -3.998415e-06 -2.584235e-07 -3.797417e-07 -3.804574e-05 -3.491409e-05 -3.472972e-05 -7.247809e-05
 8298.000000 -2.633893e-05 -4.027122e-06 -2.615052e-07 -3.797490e-07 -3.897392e-05 -2.959598e-05 -2.820478e-05 -7.392535e-05
 8303.000000 -2.633256e-05 -4.039353e-06 -2.636541e-07 -3.797553e-07 -4.026562e-05 -2.360464e-05 -2.735067e-05 -4.788801e-05
 8307.000000 -2.637652e-05 -4.054284e-06 -2.655399e-07 -3.797609e-07 -4.077987e-05 -6.970093e-06 -2.908888e-05 -3.149247e-05
 8310.000000 -2.637009e-05 -4.060675e-06 -2.665341e-07 -3.797640e-07 -3.675666e-05 -1.296879e-05 -2.840559e-05 -4.582579e-05
 8312.000000 -2.640119e-05 -4.070161e-06 -2.675640e-07 -3.797667e-07 -4.354584e-05 -4.442730e-06 -2.260070e-05 -6.553469e-05
 8313.000000 -2.641346e-05 -4.075330e-06 -2.680433e-07 -3.797663e-07 -3.038910e-05 1.047871e-05 -2.127509e-05 -7.325440e-05
 8313.200000 -2.640416e-05 -4.074008e-06 -2.680057e-07 -3.797968e-07 -2.700849e-05 2.707673e-06 -1.995302e-05 -7.511864e-05
 8313.400000 -2.637702e-05 -4.071843e-06 -2.679454e-07 -3.797576e-07 -3.549086e-05 5.309952e-06 -2.621557e-05 -7.798884e-05
 8313.600000 -2.642088e-05 -4.079374e-06 -2.683604e-07 -3.797666e-07 -3.462683e-05 -7.720810e-07 -3.600444e-05 -7.890244e-05
 8313.800000 -2.638293e-05 -4.072511e-06 -2.679828e-07 -3.797499e-07 -3.952906e-05 -8.682864e-06 -2.064338e-05 -7.958575e-05
 8314.000000 -2.636273e-05 -4.071269e-06 -2.678964e-07 -3.798025e-07 -3.530323e-05 -1.107943e-05 -1.293441e-05 -6.679406e-05
 8314.200000 -2.636613e-05 -4.073127e-06 -2.679994e-07 -3.797518e-07 -3.476930e-05 -1.030296e-05 -2.552281e-05 -7.312135e-05
 8314.400000 -2.637113e-05 -4.073858e-06 -2.681749e-07 -3.797943e-07 -4.583760e-05 -7.209877e-06 -2.557209e-05 -8.221389e-05
 8314.600000 -2.640786e-05 -4.076295e-06 -2.684315e-07 -3.797393e-07 -4.078569e-05 -1.289018e-05 -2.751850e-05 -8.282195e-05
 8314.800000 -2.640430e-05 -4.080049e-06 -2.686412e-07 -3.797641e-07 -3.902686e-05 -1.969674e-05 -1.152489e-05 -8.145820e-05
 8315.000000 -2.642738e-05 -4.078599e-06 -2.686158e-07 -3.797858e-07 -4.820304e-05 -1.297483e-05 1.487087e-06 -7.614040e-05
 8315.200000 -2.645678e-05 -4.083798e-06 -2.689577e-07 -3.797770e-07 -3.767338e-05 -1.133098e-05 -1.451587e-05 -8.538925e-05
 8315.400000 -2.646548e-05 -4.086863e-06 -2.691579e-07 -3.797841e-07 -3.905893e-05 -8.897803e-06 -4.070368e-06 -7.899600e-05
 8315.600000 -2.644616e-05 -4.084361e-06 -2.690369e-07 -3.797405e-07 -3.788114e-05 -1.491781e-05 -1.674385e-05 -7.408868e-05
 8315.800000 -2.645478e-05 -4.083686e-06 -2.689799e-07 -3.797769e-07 -3.781258e-05 -8.943165e-06 -2.198100e-05 -8.442862e-05
 8316.000000 -2.645081e-05 -4.085274e-06 -2.692207e-07 -3.797527e-07 -3.641502e-05 -9.680500e-06 -2.616507e-05 -9.242385e-05
 8316.200000 -2.643094e-05 -4.081997e-06 -2.690225e-07 -3.798134e-07 -3.787603e-05 -8.136999e-06 -2.654980e-06 -4.244851e-05
