# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.5813144668534
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni run 2 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796115037
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:43:46
# Scan.end_time: 02/21/2022  11:44:10
# Scan.duration: 00:23
# Scan.transient_id: 196778
# Scan.uid: fa37f154-43fc-494d-853f-12728e215c6a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.810458e-05 -1.799663e-06 -1.119419e-07 -2.635844e-07 -4.031016e-05 -2.115518e-05 -3.411371e-05 -4.855562e-05
 8238.000000 -2.602263e-05 -2.596448e-06 -1.617194e-07 -3.789320e-07 -5.478268e-05 -2.328029e-05 -5.152822e-05 -7.222849e-05
 8243.000000 -2.603669e-05 -2.615823e-06 -1.630859e-07 -3.797303e-07 -5.957286e-05 -1.993654e-05 -5.445979e-05 -7.215992e-05
 8248.000000 -2.611210e-05 -2.640459e-06 -1.646137e-07 -3.797310e-07 -5.633287e-05 -1.839603e-05 -4.770885e-05 -6.805548e-05
 8253.000000 -2.618574e-05 -2.662157e-06 -1.658616e-07 -3.797302e-07 -6.257642e-05 -2.166813e-05 -5.057954e-05 -6.873116e-05
 8258.000000 -2.619969e-05 -2.676888e-06 -1.667404e-07 -3.797312e-07 -6.600780e-05 -2.965610e-05 -5.154914e-05 -6.163782e-05
 8263.000000 -2.617320e-05 -2.691771e-06 -1.677120e-07 -3.797320e-07 -6.121132e-05 -2.878110e-05 -4.403581e-05 -7.043635e-05
 8268.000000 -2.605203e-05 -2.699056e-06 -1.684909e-07 -3.797321e-07 -5.410115e-05 -2.910242e-05 -4.320353e-05 -7.208177e-05
 8273.000000 -2.614998e-05 -2.724157e-06 -1.706003e-07 -3.797320e-07 -5.557189e-05 -3.096031e-05 -3.653417e-05 -7.350908e-05
 8278.000000 -2.623075e-05 -2.746145e-06 -1.727675e-07 -3.797318e-07 -6.205737e-05 -3.252858e-05 -3.573566e-05 -7.428864e-05
 8283.000000 -2.624488e-05 -2.762393e-06 -1.747335e-07 -3.797305e-07 -6.142302e-05 -2.669114e-05 -4.452170e-05 -6.784453e-05
 8288.000000 -2.626888e-05 -2.781833e-06 -1.768348e-07 -3.797314e-07 -5.864824e-05 -3.483808e-05 -4.100724e-05 -7.965884e-05
 8293.000000 -2.625409e-05 -2.797231e-06 -1.786775e-07 -3.797313e-07 -6.055342e-05 -2.883659e-05 -2.081292e-05 -7.850802e-05
 8298.000000 -2.632688e-05 -2.815317e-06 -1.807451e-07 -3.797312e-07 -5.385970e-05 -2.887584e-05 -3.396514e-05 -7.811668e-05
 8303.000000 -2.637277e-05 -2.832271e-06 -1.827198e-07 -3.797319e-07 -5.616853e-05 -1.990258e-05 -4.968486e-05 -7.533991e-05
 8307.000000 -2.640044e-05 -2.842360e-06 -1.840134e-07 -3.797325e-07 -5.957674e-05 -1.808293e-05 -5.888098e-05 -6.450737e-05
 8310.000000 -2.642506e-05 -2.847823e-06 -1.848263e-07 -3.797330e-07 -5.538040e-05 -1.466397e-05 -3.205803e-05 -6.256228e-05
 8312.000000 -2.641422e-05 -2.849556e-06 -1.852411e-07 -3.797319e-07 -5.323888e-05 -1.289122e-05 -2.664215e-05 -6.179827e-05
 8313.000000 -2.641990e-05 -2.850898e-06 -1.854396e-07 -3.797315e-07 -5.949665e-05 -1.316781e-05 -3.718214e-05 -6.105429e-05
 8313.200000 -2.642170e-05 -2.853762e-06 -1.855249e-07 -3.797297e-07 -6.103584e-05 -2.012935e-05 -3.194237e-05 -5.779104e-05
 8313.400000 -2.641848e-05 -2.851145e-06 -1.855459e-07 -3.797412e-07 -5.134499e-05 -1.743124e-05 -4.741120e-05 -6.885693e-05
 8313.600000 -2.642744e-05 -2.855033e-06 -1.858090e-07 -3.797019e-07 -5.643861e-05 -2.225545e-05 -5.812237e-05 -7.669893e-05
 8313.800000 -2.641956e-05 -2.854079e-06 -1.857941e-07 -3.797328e-07 -6.021419e-05 -2.042923e-05 -5.981828e-05 -7.417535e-05
 8314.000000 -2.642944e-05 -2.856229e-06 -1.858964e-07 -3.797349e-07 -5.667240e-05 -1.740264e-05 -5.585296e-05 -7.475800e-05
 8314.200000 -2.641029e-05 -2.856473e-06 -1.858097e-07 -3.797148e-07 -5.825447e-05 -4.861997e-06 -6.645437e-05 -7.345317e-05
 8314.400000 -2.640993e-05 -2.851821e-06 -1.856132e-07 -3.797251e-07 -5.534371e-05 -1.060950e-05 -7.722871e-05 -8.941834e-05
 8314.600000 -2.644092e-05 -2.856635e-06 -1.860747e-07 -3.797653e-07 -6.136151e-05 -1.689637e-05 -6.373589e-05 -8.184876e-05
 8314.800000 -2.639082e-05 -2.854545e-06 -1.859600e-07 -3.797241e-07 -5.573003e-05 -1.619624e-05 -6.876286e-05 -8.530320e-05
 8315.000000 -2.636518e-05 -2.847269e-06 -1.856041e-07 -3.797057e-07 -4.898135e-05 -1.584589e-05 -7.917952e-05 -8.339121e-05
 8315.200000 -2.635084e-05 -2.848495e-06 -1.856364e-07 -3.797409e-07 -5.602155e-05 -1.088216e-05 -8.392722e-05 -7.813266e-05
 8315.400000 -2.631923e-05 -2.845705e-06 -1.854768e-07 -3.797453e-07 -6.223742e-05 -1.013962e-05 -6.945616e-05 -6.434677e-05
 8315.600000 -2.631773e-05 -2.847657e-06 -1.855596e-07 -3.797439e-07 -6.279971e-05 -1.497506e-05 -6.349932e-05 -6.285199e-05
 8315.800000 -2.631599e-05 -2.847400e-06 -1.855810e-07 -3.797102e-07 -5.978999e-05 -1.283681e-05 -4.398392e-05 -6.228952e-05
 8316.000000 -2.632414e-05 -2.844850e-06 -1.854975e-07 -3.797267e-07 -6.184462e-05 -1.003844e-05 -4.594564e-05 -5.243853e-05
 8316.200000 -2.637832e-05 -2.852842e-06 -1.861723e-07 -3.797779e-07 -6.365208e-05 -7.286632e-06 -5.174783e-05 -6.792723e-05
 8316.400000 -2.640681e-05 -2.857003e-06 -1.862252e-07 -3.796852e-07 -5.373310e-05 -1.442466e-06 -5.469517e-05 -7.371701e-05
 8316.600000 -2.644226e-05 -2.858372e-06 -1.863716e-07 -3.797312e-07 -5.160978e-05 -4.012034e-06 -4.451217e-05 -7.117441e-05
 8316.800000 -2.646143e-05 -2.861863e-06 -1.865862e-07 -3.797274e-07 -5.645616e-05 -5.421438e-06 -3.653981e-05 -6.588058e-05
 8317.000000 -2.645468e-05 -2.860840e-06 -1.865648e-07 -3.797776e-07 -5.806801e-05 -8.096341e-06 -5.366368e-05 -7.138336e-05
 8317.200000 -2.640258e-05 -2.854934e-06 -1.862583e-07 -3.797102e-07 -5.895830e-05 -1.149413e-05 -3.600491e-05 -6.686787e-05
 8317.400000 -2.640212e-05 -2.850064e-06 -1.860651e-07 -3.797639e-07 -5.608288e-05 -1.758208e-05 -2.269578e-05 -6.651410e-05
