# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.2639375702281
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni run 2 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.7960959635
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:44:18
# Scan.end_time: 02/21/2022  11:44:43
# Scan.duration: 00:25
# Scan.transient_id: 196779
# Scan.uid: aced0551-11f1-4e88-9d71-054312d26905
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.798453e-05 -1.771511e-06 -1.104884e-07 -2.631731e-07 -5.320434e-05 -9.282276e-06 -2.273025e-05 -3.886598e-05
 8238.000000 -2.598686e-05 -2.572717e-06 -1.606343e-07 -3.789381e-07 -7.082165e-05 -8.232412e-06 -3.284032e-05 -6.267177e-05
 8243.000000 -2.599753e-05 -2.593007e-06 -1.619901e-07 -3.797451e-07 -6.521081e-05 -1.461829e-05 -3.564684e-05 -7.247792e-05
 8248.000000 -2.614346e-05 -2.626417e-06 -1.640246e-07 -3.797446e-07 -6.457209e-05 -1.975905e-05 -2.706915e-05 -6.869280e-05
 8253.000000 -2.628334e-05 -2.657779e-06 -1.658688e-07 -3.797445e-07 -6.865099e-05 -2.394713e-05 -2.913443e-05 -5.952603e-05
 8258.000000 -2.628084e-05 -2.675170e-06 -1.668095e-07 -3.797451e-07 -7.237552e-05 -2.281457e-05 -3.857302e-05 -5.859087e-05
 8263.000000 -2.628478e-05 -2.693258e-06 -1.680158e-07 -3.797445e-07 -7.720000e-05 -1.358636e-05 -3.794848e-05 -6.360639e-05
 8268.000000 -2.623804e-05 -2.705310e-06 -1.690287e-07 -3.797438e-07 -7.002471e-05 -1.222494e-05 -3.706552e-05 -6.877650e-05
 8273.000000 -2.620599e-05 -2.719320e-06 -1.705183e-07 -3.797443e-07 -6.316830e-05 -1.310553e-05 -4.690378e-05 -7.185182e-05
 8278.000000 -2.625958e-05 -2.740463e-06 -1.726746e-07 -3.797440e-07 -5.457631e-05 -6.713087e-06 -5.161829e-05 -7.091176e-05
 8283.000000 -2.627001e-05 -2.753954e-06 -1.744168e-07 -3.797450e-07 -5.934329e-05 -8.720648e-06 -4.986847e-05 -7.351363e-05
 8288.000000 -2.611777e-05 -2.748382e-06 -1.750895e-07 -3.797455e-07 -6.994499e-05 -2.071120e-05 -5.047874e-05 -7.255047e-05
 8293.000000 -2.618617e-05 -2.767335e-06 -1.772091e-07 -3.797464e-07 -6.114288e-05 -2.109171e-05 -5.389924e-05 -7.226591e-05
 8298.000000 -2.624079e-05 -2.784616e-06 -1.792221e-07 -3.797459e-07 -5.800423e-05 -1.434753e-05 -4.455966e-05 -6.431389e-05
 8303.000000 -2.631951e-05 -2.799676e-06 -1.811264e-07 -3.797455e-07 -5.960518e-05 -2.142014e-05 -3.865903e-05 -6.758814e-05
 8307.000000 -2.628583e-05 -2.799908e-06 -1.818496e-07 -3.797471e-07 -6.247008e-05 -2.782435e-05 -4.292576e-05 -7.166495e-05
 8310.000000 -2.613907e-05 -2.787043e-06 -1.814977e-07 -3.797489e-07 -5.803221e-05 -2.344929e-05 -5.213753e-05 -7.382113e-05
 8312.000000 -2.598244e-05 -2.778005e-06 -1.811825e-07 -3.797494e-07 -6.337986e-05 -2.209500e-05 -5.839248e-05 -6.859315e-05
 8313.000000 -2.604156e-05 -2.783191e-06 -1.816029e-07 -3.797517e-07 -7.119816e-05 -2.487175e-05 -5.920311e-05 -7.005576e-05
 8313.200000 -2.600603e-05 -2.780076e-06 -1.815304e-07 -3.797647e-07 -7.477107e-05 -1.994623e-05 -5.548588e-05 -6.750203e-05
 8313.400000 -2.597027e-05 -2.780532e-06 -1.816178e-07 -3.797160e-07 -7.472553e-05 -1.294888e-05 -4.600113e-05 -6.752217e-05
 8313.600000 -2.593670e-05 -2.777698e-06 -1.813618e-07 -3.797614e-07 -7.472215e-05 -2.056968e-05 -5.010728e-05 -6.173716e-05
 8313.800000 -2.612169e-05 -2.791009e-06 -1.823259e-07 -3.797680e-07 -7.746868e-05 -2.480184e-05 -5.769602e-05 -6.495964e-05
 8314.000000 -2.626651e-05 -2.804912e-06 -1.832077e-07 -3.797174e-07 -7.499846e-05 -2.396715e-05 -4.583379e-05 -6.349964e-05
 8314.200000 -2.629743e-05 -2.803857e-06 -1.831963e-07 -3.797700e-07 -6.384953e-05 -2.041492e-05 -3.509248e-05 -5.980957e-05
 8314.400000 -2.624032e-05 -2.799982e-06 -1.828655e-07 -3.797205e-07 -6.808160e-05 -3.165507e-05 -4.724348e-05 -7.268788e-05
 8314.600000 -2.631724e-05 -2.807549e-06 -1.834834e-07 -3.798049e-07 -6.729396e-05 -2.448017e-05 -4.921040e-05 -7.428080e-05
 8314.800000 -2.630540e-05 -2.818064e-06 -1.839165e-07 -3.796864e-07 -6.210908e-05 -1.748364e-05 -5.638573e-05 -7.329011e-05
 8315.000000 -2.633813e-05 -2.812792e-06 -1.837612e-07 -3.798062e-07 -6.600757e-05 -7.587258e-06 -4.396970e-05 -7.004683e-05
 8315.200000 -2.635003e-05 -2.817528e-06 -1.840508e-07 -3.797502e-07 -6.570144e-05 -1.054333e-05 -4.551580e-05 -7.012799e-05
 8315.400000 -2.633742e-05 -2.811731e-06 -1.839934e-07 -3.797446e-07 -6.414689e-05 -1.318610e-05 -5.209217e-05 -7.407863e-05
 8315.600000 -2.639598e-05 -2.820989e-06 -1.844769e-07 -3.797327e-07 -6.815423e-05 -9.609717e-06 -5.972051e-05 -6.904465e-05
 8315.800000 -2.641471e-05 -2.825668e-06 -1.847281e-07 -3.797813e-07 -7.181738e-05 -4.388906e-06 -6.602834e-05 -7.389518e-05
 8316.000000 -2.643375e-05 -2.826104e-06 -1.848601e-07 -3.797549e-07 -6.325811e-05 -4.911388e-06 -5.379919e-05 -7.638339e-05
 8316.200000 -2.640527e-05 -2.824485e-06 -1.847097e-07 -3.797423e-07 -6.176794e-05 -7.923307e-06 -5.373875e-05 -7.167798e-05
 8316.400000 -2.644155e-05 -2.828909e-06 -1.850796e-07 -3.797799e-07 -6.438623e-05 -3.011569e-06 -5.205624e-05 -7.154517e-05
 8316.600000 -2.639315e-05 -2.822508e-06 -1.845899e-07 -3.797594e-07 -6.782671e-05 3.835784e-06 -5.201405e-05 -7.619174e-05
 8316.800000 -2.635308e-05 -2.819244e-06 -1.843477e-07 -3.797344e-07 -6.572785e-05 3.399786e-06 -4.045352e-05 -7.861077e-05
 8317.000000 -2.625250e-05 -2.812920e-06 -1.838773e-07 -3.797557e-07 -6.182681e-05 -3.302060e-06 -4.823320e-05 -8.473516e-05
 8317.200000 -2.628833e-05 -2.814241e-06 -1.841896e-07 -3.797339e-07 -5.263853e-05 -8.633325e-06 -3.984226e-05 -6.904777e-05
 8317.400000 -2.618691e-05 -2.802184e-06 -1.835210e-07 -3.797799e-07 -5.170663e-05 -1.081153e-05 -3.708373e-05 -6.640211e-05
 8317.600000 -2.618383e-05 -2.804688e-06 -1.836553e-07 -3.797430e-07 -4.959571e-05 -5.736226e-06 -3.593031e-05 -7.120345e-05
 8317.800000 -2.621577e-05 -2.809543e-06 -1.839802e-07 -3.797472e-07 -5.112942e-05 2.679643e-06 -3.189075e-05 -7.696389e-05
 8318.000000 -2.628782e-05 -2.813227e-06 -1.841509e-07 -3.797624e-07 -5.382794e-05 -4.285785e-07 -4.268475e-05 -8.174776e-05
 8318.200000 -2.633553e-05 -2.816203e-06 -1.844911e-07 -3.797118e-07 -5.097040e-05 -8.464036e-06 -4.259913e-05 -8.384224e-05
 8318.400000 -2.636840e-05 -2.823190e-06 -1.848903e-07 -3.797573e-07 -5.371495e-05 -9.937464e-06 -4.605958e-05 -7.817624e-05
 8318.600000 -2.642618e-05 -2.826938e-06 -1.852006e-07 -3.797423e-07 -5.812136e-05 -8.781823e-06 -4.272855e-05 -7.084846e-05
 8318.800000 -2.640180e-05 -2.826336e-06 -1.851481e-07 -3.797575e-07 -5.737784e-05 -3.004518e-06 -3.998241e-05 -7.498890e-05
 8319.000000 -2.635996e-05 -2.819161e-06 -1.847355e-07 -3.797366e-07 -6.442985e-05 -4.705996e-06 -3.068675e-05 -8.183739e-05
 8319.200000 -2.631682e-05 -2.819076e-06 -1.847233e-07 -3.797457e-07 -7.236259e-05 -7.358466e-06 -3.744204e-05 -8.303158e-05
 8319.400000 -2.633289e-05 -2.817941e-06 -1.846537e-07 -3.797652e-07 -7.234419e-05 -5.085966e-06 -2.290161e-05 -7.081318e-05
 8319.600000 -2.634561e-05 -2.821378e-06 -1.850678e-07 -3.797466e-07 -6.625880e-05 -4.918267e-06 -1.977949e-05 -7.396322e-05
 8319.800000 -2.637348e-05 -2.825922e-06 -1.853455e-07 -3.797695e-07 -7.054304e-05 -4.952953e-06 -2.789205e-05 -8.105875e-05
 8320.000000 -2.631995e-05 -2.816326e-06 -1.847552e-07 -3.797190e-07 -6.659405e-05 -1.169388e-05 -3.995589e-05 -7.860842e-05
 8320.200000 -2.631403e-05 -2.814936e-06 -1.846328e-07 -3.797635e-07 -6.312070e-05 -1.220422e-05 -4.325368e-05 -8.187108e-05
 8320.400000 -2.636103e-05 -2.819734e-06 -1.850292e-07 -3.797358e-07 -6.365340e-05 -4.420245e-06 -4.060624e-05 -8.042223e-05
 8320.600000 -2.636546e-05 -2.823506e-06 -1.853466e-07 -3.797666e-07 -6.617966e-05 -1.063540e-05 -3.716793e-05 -7.750741e-05
 8320.800000 -2.642171e-05 -2.829652e-06 -1.856595e-07 -3.797396e-07 -6.421118e-05 -1.534430e-05 -3.481259e-05 -7.265897e-05
 8321.000000 -2.640753e-05 -2.827731e-06 -1.855717e-07 -3.797465e-07 -7.225199e-05 -1.434279e-05 -3.379423e-05 -7.372491e-05
 8321.200000 -2.640428e-05 -2.828206e-06 -1.855260e-07 -3.797223e-07 -7.144754e-05 -1.536409e-05 -3.188946e-05 -7.175123e-05
 8321.400000 -2.642887e-05 -2.831618e-06 -1.856727e-07 -3.797939e-07 -6.424788e-05 -1.461173e-05 -3.473080e-05 -7.452459e-05
 8321.600000 -2.644799e-05 -2.836302e-06 -1.860711e-07 -3.797290e-07 -5.778600e-05 -1.045481e-05 -3.314791e-05 -7.085438e-05
 8321.800000 -2.642482e-05 -2.828872e-06 -1.856865e-07 -3.796888e-07 -5.452182e-05 -7.909959e-06 -2.587623e-05 -6.079649e-05
 8322.000000 -2.636524e-05 -2.824120e-06 -1.855000e-07 -3.797893e-07 -5.883087e-05 -5.438669e-06 -3.594748e-05 -7.088906e-05
 8322.200000 -2.642739e-05 -2.830960e-06 -1.859493e-07 -3.797534e-07 -6.139606e-05 -3.826404e-06 -4.000234e-05 -7.462892e-05
 8322.400000 -2.642415e-05 -2.830101e-06 -1.858832e-07 -3.797379e-07 -6.858865e-05 -1.231279e-06 -3.983912e-05 -7.941828e-05
 8322.600000 -2.639718e-05 -2.831158e-06 -1.859000e-07 -3.797394e-07 -6.051331e-05 8.642313e-07 -4.840356e-05 -8.276640e-05
 8322.800000 -2.633061e-05 -2.820359e-06 -1.852179e-07 -3.796996e-07 -5.079392e-05 -6.407967e-06 -4.795904e-05 -7.740220e-05
 8323.000000 -2.629970e-05 -2.817474e-06 -1.851002e-07 -3.797434e-07 -6.026435e-05 -9.394675e-06 -4.519634e-05 -7.064769e-05
 8323.200000 -2.609422e-05 -2.792788e-06 -1.836909e-07 -3.797570e-07 -5.328883e-05 -8.383342e-06 -3.652942e-05 -7.539511e-05
 8323.400000 -2.604930e-05 -2.784413e-06 -1.831849e-07 -3.797193e-07 -6.142020e-05 -1.467651e-05 -4.975638e-05 -7.810742e-05
 8323.600000 -2.595128e-05 -2.784803e-06 -1.833086e-07 -3.797491e-07 -6.151279e-05 -1.116505e-05 -4.853526e-05 -7.787456e-05
 8323.800000 -2.603481e-05 -2.785996e-06 -1.833124e-07 -3.797687e-07 -5.910344e-05 -9.453310e-06 -3.786355e-05 -7.906945e-05
 8324.000000 -2.602443e-05 -2.781735e-06 -1.830831e-07 -3.797135e-07 -5.833493e-05 -1.339855e-05 -3.466977e-05 -6.211805e-05
 8324.200000 -2.606500e-05 -2.794796e-06 -1.838349e-07 -3.797760e-07 -6.066445e-05 -1.834972e-05 -3.939548e-05 -5.501368e-05
 8324.400000 -2.592048e-05 -2.774370e-06 -1.827289e-07 -3.797323e-07 -5.308758e-05 -1.882738e-05 -4.383728e-05 -5.935958e-05
 8324.600000 -2.604372e-05 -2.786863e-06 -1.835189e-07 -3.797455e-07 -5.254684e-05 -1.705750e-05 -4.496767e-05 -3.865147e-05
 8324.800000 -2.619183e-05 -2.797613e-06 -1.842285e-07 -3.797122e-07 -5.093838e-05 -1.037920e-05 -4.855186e-05 -2.560664e-05
 8325.000000 -2.628704e-05 -2.810582e-06 -1.849251e-07 -3.797750e-07 -6.025579e-05 -1.122502e-05 -3.333052e-05 -1.819178e-05
 8325.200000 -2.631235e-05 -2.818931e-06 -1.854806e-07 -3.797438e-07 -6.538223e-05 -1.999168e-05 -4.374507e-05 -1.820346e-05
 8325.400000 -2.623162e-05 -2.799016e-06 -1.843067e-07 -3.797645e-07 -6.141663e-05 -1.097966e-05 -4.117921e-05 -2.233657e-05
 8325.600000 -2.626005e-05 -2.809640e-06 -1.849694e-07 -3.797529e-07 -5.682922e-05 -1.218495e-05 -4.090556e-05 -2.657092e-05
 8325.800000 -2.620139e-05 -2.806921e-06 -1.847449e-07 -3.797547e-07 -5.744818e-05 -1.491633e-05 -3.526330e-05 -2.867216e-05
 8326.000000 -2.629359e-05 -2.813554e-06 -1.852729e-07 -3.797532e-07 -6.052367e-05 -2.692313e-05 -4.888049e-05 -4.438831e-05
 8326.200000 -2.638914e-05 -2.820176e-06 -1.857780e-07 -3.797415e-07 -5.426344e-05 -2.195403e-05 -3.973062e-05 -3.274525e-05
 8326.400000 -2.640890e-05 -2.824913e-06 -1.860303e-07 -3.797807e-07 -5.128565e-05 -1.156012e-05 -4.467861e-05 -3.177088e-05
 8326.600000 -2.644201e-05 -2.828930e-06 -1.863552e-07 -3.797813e-07 -6.038090e-05 -1.130450e-05 -5.851979e-05 -3.250083e-05
 8326.800000 -2.635551e-05 -2.818159e-06 -1.857597e-07 -3.797286e-07 -5.827260e-05 -3.184694e-05 -4.552859e-05 -3.643692e-05
 8327.000000 -2.642295e-05 -2.822872e-06 -1.861502e-07 -3.797916e-07 -5.625730e-05 -2.869181e-05 -5.031427e-05 -3.998013e-05
 8327.200000 -2.637380e-05 -2.819820e-06 -1.857249e-07 -3.797550e-07 -6.119674e-05 -2.423237e-05 -5.250623e-05 -3.592252e-05
 8327.400000 -2.635341e-05 -2.817371e-06 -1.856164e-07 -3.797593e-07 -5.697701e-05 -2.684459e-05 -6.587072e-05 -3.950388e-05
 8327.600000 -2.637472e-05 -2.814003e-06 -1.855758e-07 -3.797934e-07 -5.353604e-05 -2.166295e-05 -6.726842e-05 -3.089281e-05
 8327.800000 -2.639879e-05 -2.816537e-06 -1.857521e-07 -3.797730e-07 -5.728877e-05 -2.409038e-05 -7.776876e-05 -3.853432e-05
 8328.000000 -2.642596e-05 -2.817468e-06 -1.858945e-07 -3.797763e-07 -6.656072e-05 -2.941801e-05 -6.813770e-05 -2.812564e-05
 8328.200000 -2.640041e-05 -2.813857e-06 -1.856358e-07 -3.797714e-07 -6.179386e-05 -3.522950e-05 -5.769140e-05 -1.944360e-05
 8328.400000 -2.641016e-05 -2.813039e-06 -1.855577e-07 -3.797413e-07 -5.705440e-05 -3.236020e-05 -5.596063e-05 -9.558271e-06
 8328.600000 -2.643452e-05 -2.815429e-06 -1.858962e-07 -3.797529e-07 -6.134671e-05 -2.538075e-05 -6.141035e-05 -1.537814e-05
 8328.800000 -2.643871e-05 -2.814973e-06 -1.858149e-07 -3.798164e-07 -6.530437e-05 -2.491545e-05 -6.583722e-05 -1.648738e-05
 8329.000000 -2.639125e-05 -2.802323e-06 -1.850946e-07 -3.797412e-07 -6.256783e-05 -2.046088e-05 -6.145296e-05 -1.176734e-05
 8329.200000 -2.629272e-05 -2.788529e-06 -1.842626e-07 -3.797783e-07 -6.699585e-05 -2.340622e-05 -5.362993e-05 -4.264045e-06
 8329.400000 -2.635833e-05 -2.796052e-06 -1.846737e-07 -3.798025e-07 -6.810443e-05 -2.247289e-05 -5.954554e-05 -1.084038e-05
 8329.600000 -2.629179e-05 -2.788398e-06 -1.841600e-07 -3.797477e-07 -6.653643e-05 -2.776056e-05 -5.539749e-05 -1.063964e-06
 8329.800000 -2.625917e-05 -2.789073e-06 -1.841658e-07 -3.797735e-07 -6.842615e-05 -2.414200e-05 -6.115621e-05 -6.948131e-06
 8330.000000 -2.628372e-05 -2.778402e-06 -1.835691e-07 -3.797831e-07 -7.021439e-05 -2.430713e-05 -6.190177e-05 -1.673003e-05
 8330.200000 -2.629769e-05 -2.772627e-06 -1.832588e-07 -3.797594e-07 -7.518332e-05 -3.028374e-05 -5.772061e-05 -1.498712e-05
 8330.400000 -2.631833e-05 -2.772472e-06 -1.832441e-07 -3.797951e-07 -6.832143e-05 -2.505087e-05 -5.527727e-05 -1.445226e-05
 8330.600000 -2.629341e-05 -2.765926e-06 -1.827401e-07 -3.797990e-07 -6.744670e-05 -1.680537e-05 -5.897813e-05 -1.977017e-05
 8330.800000 -2.631094e-05 -2.764418e-06 -1.826578e-07 -3.797513e-07 -6.834274e-05 -8.427982e-06 -5.683618e-05 -2.046954e-05
 8331.000000 -2.631796e-05 -2.750026e-06 -1.817697e-07 -3.797554e-07 -6.277689e-05 -5.227246e-06 -3.232695e-05 -1.256016e-05
 8331.200000 -2.621457e-05 -2.726960e-06 -1.803292e-07 -3.798126e-07 -6.507246e-05 -1.114149e-05 -4.115696e-05 -1.571109e-05
 8331.400000 -2.622539e-05 -2.710999e-06 -1.793592e-07 -3.797680e-07 -6.959383e-05 -2.122276e-05 -4.971150e-05 -2.229023e-05
 8331.600000 -2.621234e-05 -2.698604e-06 -1.785612e-07 -3.797772e-07 -7.497187e-05 -2.285056e-05 -5.509484e-05 -2.794783e-05
 8331.800000 -2.622123e-05 -2.683235e-06 -1.775503e-07 -3.797871e-07 -7.407537e-05 -2.523902e-05 -3.976429e-05 -2.756400e-05
 8332.000000 -2.610461e-05 -2.660668e-06 -1.759514e-07 -3.797652e-07 -7.235422e-05 -2.448430e-05 -4.244708e-05 -2.875857e-05
 8332.200000 -2.626825e-05 -2.660915e-06 -1.759781e-07 -3.797918e-07 -6.836923e-05 -2.232400e-05 -5.676983e-05 -2.963271e-05
 8332.400000 -2.614430e-05 -2.639965e-06 -1.746632e-07 -3.797881e-07 -6.450224e-05 -2.045401e-05 -4.718073e-05 -2.821048e-05
 8332.600000 -2.622794e-05 -2.644811e-06 -1.749270e-07 -3.798070e-07 -5.681626e-05 -1.322260e-05 -4.755382e-05 -2.632590e-05
 8332.800000 -2.611456e-05 -2.621196e-06 -1.735951e-07 -3.797463e-07 -6.263447e-05 -1.568027e-05 -4.989387e-05 -2.989991e-05
 8333.000000 -2.625373e-05 -2.628730e-06 -1.742745e-07 -3.797652e-07 -5.913958e-05 -1.922648e-05 -4.382396e-05 -2.783015e-05
 8333.200000 -2.623797e-05 -2.632647e-06 -1.743005e-07 -3.798209e-07 -5.497685e-05 -1.874559e-05 -5.511669e-05 -3.110005e-05
 8333.400000 -2.631243e-05 -2.635068e-06 -1.744197e-07 -3.797485e-07 -5.364654e-05 -2.463008e-05 -5.124648e-05 -2.336971e-05
 8333.600000 -2.638586e-05 -2.642001e-06 -1.748937e-07 -3.797988e-07 -5.685735e-05 -2.274142e-05 -5.156067e-05 -1.946357e-05
 8333.800000 -2.637808e-05 -2.641873e-06 -1.749490e-07 -3.797597e-07 -5.235975e-05 -1.993892e-05 -4.023816e-05 -1.447852e-05
 8334.000000 -2.637068e-05 -2.640045e-06 -1.749732e-07 -3.798267e-07 -5.311876e-05 -1.669192e-05 -3.998065e-05 -1.427773e-05
 8334.200000 -2.642099e-05 -2.649304e-06 -1.754552e-07 -3.797596e-07 -5.920575e-05 -2.189051e-05 -3.426262e-05 -1.514440e-05
 8334.400000 -2.632344e-05 -2.635380e-06 -1.746425e-07 -3.797382e-07 -7.330793e-05 -1.890482e-05 -2.805727e-05 -2.207515e-05
