# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.7123003414196
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni run 2 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:44:51
# Scan.end_time: 02/21/2022  11:45:17
# Scan.duration: 00:25
# Scan.transient_id: 196780
# Scan.uid: 6f0f4d1e-deb6-43e9-9185-3502a663c871
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.812276e-05 -1.796688e-06 -1.117924e-07 -2.633846e-07 -3.138322e-05 -2.521292e-05 -1.425784e-05 -2.282041e-05
 8238.000000 -2.601579e-05 -2.590254e-06 -1.614099e-07 -3.789573e-07 -4.399017e-05 -2.881284e-05 -1.918170e-05 -3.034031e-05
 8243.000000 -2.601526e-05 -2.609437e-06 -1.627528e-07 -3.797607e-07 -4.705614e-05 -2.053026e-05 -1.106941e-05 -4.798538e-05
 8248.000000 -2.611254e-05 -2.632455e-06 -1.642298e-07 -3.797605e-07 -4.434881e-05 -1.666197e-05 -1.388051e-05 -5.252207e-05
 8253.000000 -2.612370e-05 -2.643330e-06 -1.648485e-07 -3.797598e-07 -4.260239e-05 -1.674336e-05 -1.672134e-05 -5.657611e-05
 8258.000000 -2.598429e-05 -2.648629e-06 -1.651280e-07 -3.797602e-07 -4.779524e-05 -2.661060e-05 -2.002844e-05 -5.284820e-05
 8263.000000 -2.611531e-05 -2.676956e-06 -1.669512e-07 -3.797592e-07 -5.110061e-05 -3.615492e-05 -2.205874e-05 -5.539702e-05
 8268.000000 -2.622439e-05 -2.701717e-06 -1.688231e-07 -3.797586e-07 -5.635889e-05 -3.743058e-05 -1.703480e-05 -5.647256e-05
 8273.000000 -2.620322e-05 -2.711557e-06 -1.701171e-07 -3.797593e-07 -5.140628e-05 -3.632460e-05 -8.610334e-06 -5.815047e-05
 8278.000000 -2.605853e-05 -2.711282e-06 -1.709274e-07 -3.797599e-07 -3.989744e-05 -3.448428e-05 -5.508659e-06 -5.679343e-05
 8283.000000 -2.608556e-05 -2.730378e-06 -1.729861e-07 -3.797598e-07 -4.137388e-05 -3.297292e-05 -1.130970e-05 -5.436859e-05
 8288.000000 -2.618397e-05 -2.756691e-06 -1.755026e-07 -3.797594e-07 -4.945794e-05 -2.448511e-05 -1.351872e-05 -4.826492e-05
 8293.000000 -2.627013e-05 -2.779910e-06 -1.778640e-07 -3.797595e-07 -5.243136e-05 -3.190448e-05 -1.480027e-05 -4.830975e-05
