# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.37883202534255
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 pristine  Ni run 2 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -28.03003413
# ISS.sample_y_position: 14.796115037
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:45:25
# Scan.end_time: 02/21/2022  11:45:49
# Scan.duration: 00:23
# Scan.transient_id: 196781
# Scan.uid: 1c2f0a08-8f2c-4a4f-9114-e452a4691857
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.809969e-05 -1.798928e-06 -1.119387e-07 -2.633905e-07 -4.525724e-05 -3.060432e-05 -2.229742e-05 -4.483817e-05
 8238.000000 -2.606741e-05 -2.604265e-06 -1.622390e-07 -3.789652e-07 -6.708067e-05 -4.377986e-05 -2.473132e-05 -5.724661e-05
 8243.000000 -2.611941e-05 -2.624085e-06 -1.636173e-07 -3.797683e-07 -7.156849e-05 -4.221637e-05 -2.818659e-05 -3.229245e-05
 8248.000000 -2.617650e-05 -2.643677e-06 -1.648525e-07 -3.797696e-07 -8.069305e-05 -3.794920e-05 -2.468095e-05 -2.278582e-05
 8253.000000 -2.619562e-05 -2.663462e-06 -1.660386e-07 -3.797698e-07 -7.967411e-05 -4.279437e-05 -9.495577e-06 -2.089410e-05
 8258.000000 -2.615929e-05 -2.674809e-06 -1.666959e-07 -3.797710e-07 -7.614979e-05 -3.928220e-05 -8.136879e-06 -2.142514e-05
 8263.000000 -2.622790e-05 -2.695357e-06 -1.680243e-07 -3.797719e-07 -7.754169e-05 -4.405180e-05 -7.136598e-06 -2.278459e-05
 8268.000000 -2.617939e-05 -2.705942e-06 -1.690373e-07 -3.797719e-07 -8.201108e-05 -5.574373e-05 -5.522175e-07 -2.472614e-05
 8273.000000 -2.607412e-05 -2.712787e-06 -1.700568e-07 -3.797722e-07 -7.868839e-05 -5.406206e-05 -1.347063e-06 -2.458763e-05
 8278.000000 -2.611757e-05 -2.732669e-06 -1.720607e-07 -3.797730e-07 -8.060154e-05 -4.289364e-05 -1.992085e-06 -2.845627e-05
 8283.000000 -2.630431e-05 -2.766804e-06 -1.750749e-07 -3.797716e-07 -8.098318e-05 -5.331626e-05 5.375442e-06 -2.332094e-05
 8288.000000 -2.633379e-05 -2.784763e-06 -1.771404e-07 -3.797711e-07 -7.003707e-05 -5.417631e-05 2.298502e-06 -2.279682e-05
 8293.000000 -2.620088e-05 -2.784674e-06 -1.781035e-07 -3.797707e-07 -6.994590e-05 -4.778479e-05 -8.742315e-06 -5.487091e-05
 8298.000000 -2.627433e-05 -2.803316e-06 -1.801790e-07 -3.797700e-07 -7.075761e-05 -4.406524e-05 -1.312521e-05 -5.879563e-05
 8303.000000 -2.633841e-05 -2.821761e-06 -1.821734e-07 -3.797708e-07 -6.111420e-05 -4.918171e-05 -1.479820e-05 -5.497803e-05
 8307.000000 -2.636391e-05 -2.832877e-06 -1.835782e-07 -3.797720e-07 -6.177753e-05 -4.785090e-05 -2.033390e-05 -5.785549e-05
 8310.000000 -2.634899e-05 -2.834240e-06 -1.841714e-07 -3.797718e-07 -6.609844e-05 -4.950840e-05 -1.801656e-06 -5.911275e-05
 8312.000000 -2.632110e-05 -2.832623e-06 -1.843242e-07 -3.797720e-07 -6.927609e-05 -5.151777e-05 1.266308e-05 -6.611648e-05
 8313.000000 -2.623234e-05 -2.822133e-06 -1.838683e-07 -3.797727e-07 -6.671618e-05 -4.594857e-05 4.890502e-06 -6.500623e-05
 8313.200000 -2.623460e-05 -2.831048e-06 -1.843602e-07 -3.797072e-07 -6.384412e-05 -4.254463e-05 -2.281095e-07 -6.214688e-05
 8313.400000 -2.624959e-05 -2.819605e-06 -1.837483e-07 -3.798242e-07 -5.961193e-05 -3.820720e-05 2.782934e-06 -6.530877e-05
 8313.600000 -2.616752e-05 -2.819632e-06 -1.837047e-07 -3.797520e-07 -6.245641e-05 -3.869188e-05 1.154947e-05 -6.546712e-05
 8313.800000 -2.626753e-05 -2.828417e-06 -1.844164e-07 -3.797951e-07 -6.152221e-05 -4.405676e-05 2.090605e-05 -4.904067e-05
 8314.000000 -2.631689e-05 -2.835567e-06 -1.847652e-07 -3.797544e-07 -7.122827e-05 -4.633357e-05 1.752703e-05 -5.278276e-05
 8314.200000 -2.640233e-05 -2.845385e-06 -1.853249e-07 -3.797899e-07 -6.992297e-05 -5.112289e-05 -3.834381e-07 -6.011158e-05
 8314.400000 -2.642273e-05 -2.845054e-06 -1.854527e-07 -3.797540e-07 -6.406919e-05 -5.063018e-05 -9.525209e-06 -4.673553e-05
 8314.600000 -2.643704e-05 -2.844667e-06 -1.855333e-07 -3.797589e-07 -6.567531e-05 -4.856835e-05 -2.988609e-06 -4.123701e-05
 8314.800000 -2.639876e-05 -2.840788e-06 -1.851893e-07 -3.798192e-07 -6.614154e-05 -5.147497e-05 7.140236e-06 -4.588059e-05
 8315.000000 -2.633921e-05 -2.836340e-06 -1.849704e-07 -3.797410e-07 -6.047971e-05 -5.028825e-05 -1.897466e-05 -5.636481e-05
 8315.200000 -2.634713e-05 -2.840167e-06 -1.852892e-07 -3.797555e-07 -5.805565e-05 -5.519655e-05 -1.177725e-05 -5.058401e-05
 8315.400000 -2.629556e-05 -2.828596e-06 -1.846515e-07 -3.798251e-07 -5.961620e-05 -5.620850e-05 -8.968730e-06 -5.758925e-05
 8315.600000 -2.633057e-05 -2.834572e-06 -1.849462e-07 -3.797618e-07 -6.888153e-05 -6.631424e-05 1.542969e-06 -5.405332e-05
 8315.800000 -2.636809e-05 -2.838042e-06 -1.852750e-07 -3.797376e-07 -5.976798e-05 -6.461767e-05 -1.875626e-05 -6.251213e-05
 8316.000000 -2.636707e-05 -2.834858e-06 -1.850874e-07 -3.797928e-07 -5.739866e-05 -6.853994e-05 1.402033e-05 -6.075438e-05
 8316.200000 -2.626467e-05 -2.827715e-06 -1.847233e-07 -3.797381e-07 -4.944371e-05 -6.571607e-05 1.098014e-05 -6.064393e-05
 8316.400000 -2.633236e-05 -2.831286e-06 -1.849466e-07 -3.797765e-07 -5.163250e-05 -6.156993e-05 -4.024730e-06 -4.995696e-05
 8316.600000 -2.618571e-05 -2.815704e-06 -1.840200e-07 -3.798014e-07 -5.986046e-05 -5.551907e-05 3.609582e-06 -6.250081e-05
 8316.800000 -2.619857e-05 -2.821926e-06 -1.843447e-07 -3.797477e-07 -6.645064e-05 -5.235162e-05 -3.794165e-06 -6.523777e-05
 8317.000000 -2.619051e-05 -2.819221e-06 -1.842873e-07 -3.797657e-07 -6.474278e-05 -5.736070e-05 3.204137e-06 -5.738509e-05
 8317.200000 -2.622743e-05 -2.825218e-06 -1.846343e-07 -3.797549e-07 -6.215390e-05 -5.244601e-05 3.310476e-06 -5.542838e-05
 8317.400000 -2.619797e-05 -2.818437e-06 -1.843253e-07 -3.797707e-07 -6.801540e-05 -4.868194e-05 -2.678290e-06 -4.976531e-05
 8317.600000 -2.622953e-05 -2.818875e-06 -1.843658e-07 -3.797921e-07 -7.458774e-05 -5.040893e-05 -1.492081e-05 -5.346586e-05
 8317.800000 -2.617750e-05 -2.805171e-06 -1.836260e-07 -3.797799e-07 -7.574505e-05 -5.394144e-05 -1.730417e-05 -5.926514e-05
 8318.000000 -2.619319e-05 -2.813426e-06 -1.841145e-07 -3.797352e-07 -7.443569e-05 -6.282499e-05 -9.649990e-06 -5.570561e-05
 8318.200000 -2.625712e-05 -2.822158e-06 -1.846255e-07 -3.797744e-07 -7.532604e-05 -6.201420e-05 -6.766378e-06 -5.402085e-05
 8318.400000 -2.625581e-05 -2.816130e-06 -1.843231e-07 -3.797876e-07 -6.917284e-05 -5.757187e-05 1.087860e-05 -4.468862e-05
 8318.600000 -2.631505e-05 -2.822380e-06 -1.848882e-07 -3.797674e-07 -6.549150e-05 -5.401161e-05 6.525697e-06 -4.240807e-05
 8318.800000 -2.631263e-05 -2.820066e-06 -1.846366e-07 -3.797693e-07 -6.568670e-05 -5.226042e-05 3.739650e-06 -4.259803e-05
 8319.000000 -2.628172e-05 -2.812207e-06 -1.842101e-07 -3.797456e-07 -6.345561e-05 -4.970321e-05 8.511875e-06 -4.095459e-05
 8319.200000 -2.627403e-05 -2.814371e-06 -1.843636e-07 -3.797771e-07 -6.225362e-05 -4.980084e-05 -9.720468e-07 -5.440728e-05
 8319.400000 -2.625814e-05 -2.812203e-06 -1.843948e-07 -3.797958e-07 -5.861760e-05 -4.680450e-05 1.381507e-06 -5.009813e-05
 8319.600000 -2.626405e-05 -2.815238e-06 -1.845461e-07 -3.797525e-07 -5.691622e-05 -4.890870e-05 -1.512797e-05 -4.367553e-05
 8319.800000 -2.622019e-05 -2.807686e-06 -1.841070e-07 -3.797904e-07 -5.301932e-05 -5.191606e-05 -6.009719e-06 -3.772187e-05
 8320.000000 -2.623482e-05 -2.810092e-06 -1.842472e-07 -3.797617e-07 -5.227254e-05 -4.993596e-05 -5.172228e-06 -3.979104e-05
 8320.200000 -2.624910e-05 -2.813060e-06 -1.845227e-07 -3.797808e-07 -5.782338e-05 -4.629600e-05 -1.168481e-05 -4.117651e-05
 8320.400000 -2.631442e-05 -2.819270e-06 -1.848446e-07 -3.797738e-07 -5.451137e-05 -5.436777e-05 -5.216669e-06 -5.067013e-05
 8320.600000 -2.633106e-05 -2.824051e-06 -1.851150e-07 -3.797986e-07 -6.268871e-05 -5.549821e-05 4.378569e-06 -4.030473e-05
 8320.800000 -2.633493e-05 -2.819122e-06 -1.850469e-07 -3.797279e-07 -7.062651e-05 -5.460207e-05 -1.905206e-07 -3.943993e-05
 8321.000000 -2.633854e-05 -2.820249e-06 -1.849822e-07 -3.797932e-07 -7.114886e-05 -5.326530e-05 7.073446e-06 -2.890780e-05
 8321.200000 -2.637166e-05 -2.822022e-06 -1.852978e-07 -3.797917e-07 -7.009919e-05 -5.547785e-05 -2.893918e-06 -3.637914e-05
 8321.400000 -2.629251e-05 -2.811639e-06 -1.846038e-07 -3.797431e-07 -6.910967e-05 -5.697592e-05 -6.127552e-06 -4.193105e-05
 8321.600000 -2.631399e-05 -2.812995e-06 -1.846527e-07 -3.797730e-07 -6.068350e-05 -5.311464e-05 -1.093527e-05 -4.764673e-05
 8321.800000 -2.628885e-05 -2.809151e-06 -1.844538e-07 -3.797770e-07 -5.427889e-05 -4.989244e-05 -1.243216e-05 -3.902862e-05
 8322.000000 -2.627633e-05 -2.811815e-06 -1.847375e-07 -3.798145e-07 -6.267967e-05 -5.548860e-05 -1.838764e-05 -4.829234e-05
 8322.200000 -2.620694e-05 -2.799418e-06 -1.839963e-07 -3.797409e-07 -5.314547e-05 -5.061226e-05 -1.740563e-05 -4.698600e-05
